"butik","vecka","datum","antal_kvitton","zoner_count_TOTAL","zoner_convrate_TOTAL","zoner_count_Inkastare_entré","zoner_convrate_Inkastare_entré","zoner_count_F&G","zoner_convrate_F&G","zoner_count_Bröd","zoner_convrate_Bröd","zoner_count_Bake_off","zoner_convrate_Bake_off","zoner_count_Fisk_endast_manuell_disk","zoner_convrate_Fisk_endast_manuell_disk","zoner_count_Deli_endast_manuell","zoner_convrate_Deli_endast_manuell","zoner_count_Frys","zoner_convrate_Frys","zoner_count_Mejeri","zoner_convrate_Mejeri","zoner_count_Gavel_1","zoner_convrate_Gavel_1","zoner_count_Gavel_2","zoner_convrate_Gavel_2","zoner_count_Gavel_3","zoner_convrate_Gavel_3","kampanj_count_TOTAL","kampanj_convrate_TOTAL","skylttyp_count_kampanjvara","skylttyp_convrate_kampanjvara","kampanj_count_Kampanj_1_F&G_1","kampanj_convrate_Kampanj_1_F&G_1","kampanj_count_Kampanj_2_F&G_2","kampanj_convrate_Kampanj_2_F&G_2","kampanj_count_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_convrate_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_count_Kampanj_2_om_vi_inte_har_två_kör_vi_Garant_hamburgerbröd_Brioche_ord_pris_ABP?","kampanj_convrate_Kampanj_2_om_vi_inte_har_två_kör_vi_Garant_hamburgerbröd_Brioche_ord_pris_ABP?","kampanj_count_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_convrate_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_count_Kampanj_2_om_ej_två_kampanjer_multi_ABP","kampanj_convrate_Kampanj_2_om_ej_två_kampanjer_multi_ABP","kampanj_count_Kampanj_1_bladet_eller_skagen","kampanj_convrate_Kampanj_1_bladet_eller_skagen","kampanj_count_Kampanj_1_Triangeln_Mölnlycke_Dala_Järna","kampanj_convrate_Kampanj_1_Triangeln_Mölnlycke_Dala_Järna","kampanj_count_Kampanj_1_Frys","kampanj_convrate_Kampanj_1_Frys","kampanj_count_Kampanj_1_Mejeri","kampanj_convrate_Kampanj_1_Mejeri","kampanj_count_Kampanj_2_Mejeri","kampanj_convrate_Kampanj_2_Mejeri","kampanj_count_Kampanj_3_Bomben","kampanj_convrate_Kampanj_3_Bomben","kampanj_count_ABP","kampanj_convrate_ABP","kampanj_count_Kampanj_1_dryck","kampanj_convrate_Kampanj_1_dryck","kampanj_count_Kampanj_2_Snacks_choklad_ABP_om_det_finns","kampanj_convrate_Kampanj_2_Snacks_choklad_ABP_om_det_finns","skylttyp_count_TOTAL","skylttyp_convrate_TOTAL","skylttyp_count_klubbvara","skylttyp_convrate_klubbvara","skylttyp_count_veckans_klipp","skylttyp_convrate_veckans_klipp","skylttyp_count_alltid_bra_pris","skylttyp_convrate_alltid_bra_pris","skylttyp_count_klubbpris","skylttyp_convrate_klubbpris","skylttyp_count_ordinarie","skylttyp_convrate_ordinarie"
"VENDELSÖ SÅGEN",202234,2022-08-28,999,454,0.454454454454454,164,0.164164164164164,72,0.0720720720720721,2,0.002002002002002,26,0.026026026026026,0,0,0,0,0,0,18,0.018018018018018,135,0.135135135135135,2,0.002002002002002,35,0.035035035035035,425,0.425425425425425,215,0.215215215215215,164,0.164164164164164,43,0.043043043043043,1,0.001001001001001,1,0.001001001001001,25,0.025025025025025,1,0.001001001001001,0,0,0,0,0,0,10,0.01001001001001,8,0.00800800800800801,135,0.135135135135135,2,0.002002002002002,12,0.012012012012012,23,0.023023023023023,425,0.425425425425425,29,0.029029029029029,135,0.135135135135135,27,0.027027027027027,19,0.019019019019019,0,0
"VENDELSÖ SÅGEN",202234,2022-08-27,1227,382,0.311328443357783,112,0.091279543602282,69,0.0562347188264059,5,0.00407497962510187,61,0.0497147514262429,0,0,0,0,0,0,4,0.0032599837000815,67,0.0546047269763651,2,0.00162999185004075,62,0.0505297473512632,337,0.274653626731866,158,0.128769356153219,112,0.091279543602282,24,0.019559902200489,5,0.00407497962510187,0,0,58,0.0472697636511817,3,0.00244498777506112,0,0,0,0,0,0,0,0,4,0.0032599837000815,67,0.0546047269763651,2,0.00162999185004075,17,0.0138549307253464,45,0.0366748166259169,337,0.274653626731866,45,0.0366748166259169,67,0.0546047269763651,60,0.0488997555012225,7,0.00570497147514262,0,0
"VENDELSÖ SÅGEN",202234,2022-08-26,1240,444,0.358064516129032,106,0.0854838709677419,53,0.042741935483871,12,0.00967741935483871,61,0.0491935483870968,0,0,0,0,0,0,15,0.0120967741935484,76,0.0612903225806452,0,0,121,0.0975806451612903,414,0.333870967741935,232,0.187096774193548,106,0.0854838709677419,23,0.0185483870967742,9,0.00725806451612903,3,0.00241935483870968,59,0.0475806451612903,2,0.00161290322580645,0,0,0,0,0,0,7,0.00564516129032258,8,0.00645161290322581,76,0.0612903225806452,0,0,27,0.0217741935483871,94,0.0758064516129032,414,0.333870967741935,30,0.0241935483870968,76,0.0612903225806452,59,0.0475806451612903,17,0.0137096774193548,0,0
"VENDELSÖ SÅGEN",202234,2022-08-25,1068,416,0.389513108614232,140,0.131086142322097,49,0.0458801498127341,12,0.0112359550561798,34,0.0318352059925094,0,0,0,0,0,0,20,0.0187265917602996,113,0.105805243445693,0,0,48,0.0449438202247191,389,0.364232209737828,195,0.182584269662921,140,0.131086142322097,22,0.0205992509363296,10,0.00936329588014981,2,0.00187265917602996,31,0.0290262172284644,3,0.00280898876404494,0,0,0,0,0,0,10,0.00936329588014981,10,0.00936329588014981,113,0.105805243445693,0,0,19,0.0177902621722846,29,0.0271535580524345,389,0.364232209737828,27,0.0252808988764045,113,0.105805243445693,31,0.0290262172284644,23,0.0215355805243446,0,0
"VENDELSÖ SÅGEN",202234,2022-08-24,1144,377,0.329545454545455,121,0.105769230769231,75,0.0655594405594406,12,0.0104895104895105,36,0.0314685314685315,0,0,0,0,0,0,17,0.0148601398601399,89,0.0777972027972028,2,0.00174825174825175,25,0.0218531468531469,345,0.301573426573427,169,0.147727272727273,121,0.105769230769231,43,0.0375874125874126,10,0.00874125874125874,2,0.00174825174825175,34,0.0297202797202797,2,0.00174825174825175,0,0,0,0,0,0,13,0.0113636363636364,4,0.0034965034965035,89,0.0777972027972028,2,0.00174825174825175,13,0.0113636363636364,12,0.0104895104895105,345,0.301573426573427,32,0.027972027972028,89,0.0777972027972028,36,0.0314685314685315,19,0.0166083916083916,0,0
"VENDELSÖ SÅGEN",202234,2022-08-23,1086,456,0.419889502762431,158,0.14548802946593,84,0.0773480662983425,17,0.0156537753222836,30,0.0276243093922652,0,0,0,0,0,0,16,0.0147329650092081,119,0.109576427255985,0,0,32,0.0294659300184162,417,0.383977900552486,213,0.196132596685083,158,0.14548802946593,45,0.0414364640883978,14,0.0128913443830571,3,0.00276243093922652,30,0.0276243093922652,0,0,0,0,0,0,0,0,6,0.00552486187845304,10,0.00920810313075507,119,0.109576427255985,0,0,10,0.00920810313075507,22,0.0202578268876611,417,0.383977900552486,39,0.0359116022099447,119,0.109576427255985,30,0.0276243093922652,16,0.0147329650092081,0,0
"VENDELSÖ SÅGEN",202234,2022-08-22,1071,565,0.527544351073763,206,0.19234360410831,41,0.03828197945845,11,0.0102707749766573,49,0.0457516339869281,0,0,0,0,1,0.000933706816059757,36,0.0336134453781513,189,0.176470588235294,2,0.00186741363211951,30,0.0280112044817927,548,0.511671335200747,255,0.238095238095238,206,0.19234360410831,24,0.0224089635854342,7,0.0065359477124183,4,0.00373482726423903,49,0.0457516339869281,0,0,0,0,0,0,1,0.000933706816059757,19,0.0177404295051354,17,0.0158730158730159,189,0.176470588235294,2,0.00186741363211951,16,0.0149393090569561,14,0.0130718954248366,548,0.511671335200747,17,0.0158730158730159,189,0.176470588235294,51,0.0476190476190476,36,0.0336134453781513,0,0
"VENDELSÖ SÅGEN",202233,2022-08-21,1077,134,0.124419684308264,23,0.021355617455896,14,0.0129990714948932,2,0.00185701021355617,38,0.0352831940575673,0,0,0,0,0,0,6,0.00557103064066852,21,0.0194986072423398,2,0.00185701021355617,28,0.0259981429897864,132,0.122562674094708,63,0.0584958217270195,23,0.021355617455896,12,0.011142061281337,2,0.00185701021355617,0,0,38,0.0352831940575673,0,0,0,0,0,0,0,0,6,0.00557103064066852,0,0,21,0.0194986072423398,2,0.00185701021355617,10,0.00928505106778087,18,0.0167130919220056,132,0.122562674094708,2,0.00185701021355617,21,0.0194986072423398,40,0.0371402042711235,6,0.00557103064066852,0,0
"VENDELSÖ SÅGEN",202233,2022-08-20,1203,144,0.119700748129676,13,0.0108063175394846,11,0.00914380714879468,1,0.000831255195344971,47,0.0390689941812136,0,0,0,0,0,0,5,0.00415627597672485,10,0.00831255195344971,2,0.00166251039068994,55,0.0457190357439734,141,0.117206982543641,74,0.0615128844555278,13,0.0108063175394846,8,0.00665004156275977,1,0.000831255195344971,0,0,47,0.0390689941812136,0,0,0,0,0,0,0,0,4,0.00332502078137988,1,0.000831255195344971,10,0.00831255195344971,2,0.00166251039068994,15,0.0124688279301746,40,0.0332502078137988,141,0.117206982543641,3,0.00249376558603491,10,0.00831255195344971,49,0.0407315045719036,5,0.00415627597672485,0,0
"VENDELSÖ SÅGEN",202233,2022-08-19,1345,198,0.147211895910781,14,0.0104089219330855,14,0.0104089219330855,3,0.00223048327137546,60,0.0446096654275093,0,0,0,0,2,0.00148698884758364,6,0.00446096654275093,4,0.00297397769516729,0,0,95,0.0706319702602231,188,0.139776951672862,108,0.0802973977695167,14,0.0104089219330855,4,0.00297397769516729,2,0.00148698884758364,1,0.000743494423791822,60,0.0446096654275093,0,0,0,0,0,0,2,0.00148698884758364,3,0.00223048327137546,3,0.00223048327137546,4,0.00297397769516729,0,0,34,0.0252788104089219,61,0.0453531598513011,188,0.139776951672862,10,0.00743494423791822,4,0.00297397769516729,60,0.0446096654275093,6,0.00446096654275093,0,0
