"butik","vecka","datum","antal_kvitton","zoner_count_TOTAL","zoner_convrate_TOTAL","zoner_count_Inkastare_entré","zoner_convrate_Inkastare_entré","zoner_count_F&G","zoner_convrate_F&G","zoner_count_Bröd","zoner_convrate_Bröd","zoner_count_Bake_off","zoner_convrate_Bake_off","zoner_count_Fisk","zoner_convrate_Fisk","zoner_count_Deli","zoner_convrate_Deli","zoner_count_Frys","zoner_convrate_Frys","zoner_count_Mejeri","zoner_convrate_Mejeri","zoner_count_Gavel_1","zoner_convrate_Gavel_1","zoner_count_Gavel_2","zoner_convrate_Gavel_2","zoner_count_Gavel_3","zoner_convrate_Gavel_3","kampanj_count_TOTAL","kampanj_convrate_TOTAL","skylttyp_count_kampanjvara","skylttyp_convrate_kampanjvara","kampanj_count_Kampanj_1_F&G_1","kampanj_convrate_Kampanj_1_F&G_1","kampanj_count_Kampanj_2_Hero_protein","kampanj_convrate_Kampanj_2_Hero_protein","kampanj_count_Kampanj_3_Bomben","kampanj_convrate_Kampanj_3_Bomben","kampanj_count_Kampanj_2_F&G_2","kampanj_convrate_Kampanj_2_F&G_2","kampanj_count_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_convrate_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_count_Kampanj_2_om_vi_inte_har_två_kör_vi_Garant_hamburgerbröd_Brioche_ord_pris_ABP?","kampanj_convrate_Kampanj_2_om_vi_inte_har_två_kör_vi_Garant_hamburgerbröd_Brioche_ord_pris_ABP?","kampanj_count_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_convrate_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_count_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_convrate_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_count_Kampanj_1_bladet_eller_Lax","kampanj_convrate_Kampanj_1_bladet_eller_Lax","kampanj_count_Mölnlycke","kampanj_convrate_Mölnlycke","kampanj_count_Triangeln","kampanj_convrate_Triangeln","kampanj_count_Trianglen","kampanj_convrate_Trianglen","kampanj_count_Dala_Järna","kampanj_convrate_Dala_Järna","kampanj_count_Kampanj_1","kampanj_convrate_Kampanj_1","kampanj_count_Kampanj_2","kampanj_convrate_Kampanj_2","kampanj_count_ABP_3_för_25","kampanj_convrate_ABP_3_för_25","kampanj_count_ABP_2_för_28","kampanj_convrate_ABP_2_för_28","kampanj_count_Kampanj_1_snacks","kampanj_convrate_Kampanj_1_snacks","kampanj_count_Kampanj_2_Snacks_choklad_ABP_om_det_finns","kampanj_convrate_Kampanj_2_Snacks_choklad_ABP_om_det_finns","skylttyp_count_TOTAL","skylttyp_convrate_TOTAL","skylttyp_count_klubbpris","skylttyp_convrate_klubbpris","skylttyp_count_veckans_klipp","skylttyp_convrate_veckans_klipp","skylttyp_count_ABP","skylttyp_convrate_ABP","skylttyp_count_ordinarie","skylttyp_convrate_ordinarie","skylttyp_count_Deli","skylttyp_convrate_Deli","skylttyp_count_alltid_bra_pris","skylttyp_convrate_alltid_bra_pris"
"VENDELSÖ SÅGEN",202235,2022-09-04,1078,404.182,0.374936920222635,47.182,0.0437680890538033,52,0.0482374768089054,4,0.00371057513914657,192,0.178107606679035,0,0,0,0,20,0.0185528756957328,14,0.012987012987013,18,0.0166975881261596,4,0.00371057513914657,53,0.049165120593692,375.182,0.348035250463822,199,0.184601113172542,29,0.0269016697588126,18.182,0.0168664192949907,0,0,23,0.0213358070500928,3,0.00278293135435993,1,0.000927643784786642,121,0.112244897959184,71,0.0658627087198516,0,0,0,0,0,0,0,0,0,0,30,0.0278293135435993,4,0.00371057513914657,18,0.0166975881261596,4,0.00371057513914657,9,0.00834879406307978,44,0.0408163265306122,375.182,0.348035250463822,83.182,0.0771632653061225,0,0,71,0.0658627087198516,0,0,0,0,22,0.0204081632653061
"VENDELSÖ SÅGEN",202235,2022-09-03,1125,398.536,0.354254222222222,74.536,0.0662542222222222,37,0.0328888888888889,12,0.0106666666666667,156,0.138666666666667,0,0,0,0,4,0.00355555555555556,14,0.0124444444444444,10,0.00888888888888889,2,0.00177777777777778,89,0.0791111111111111,382.536,0.340032,154,0.136888888888889,16,0.0142222222222222,58.536,0.052032,0,0,21,0.0186666666666667,1,0.000888888888888889,11,0.00977777777777778,78,0.0693333333333333,78,0.0693333333333333,0,0,0,0,0,0,0,0,0,0,14,0.0124444444444444,4,0.00355555555555556,10,0.00888888888888889,2,0.00177777777777778,24,0.0213333333333333,65,0.0577777777777778,382.536,0.340032,138.536,0.123143111111111,0,0,78,0.0693333333333333,0,0,0,0,12,0.0106666666666667
"VENDELSÖ SÅGEN",202235,2022-09-02,1178,607.735,0.515904074702886,94.735,0.0804202037351443,76,0.0645161290322581,14,0.0118845500848896,276,0.234295415959253,0,0,0,0,10,0.00848896434634975,14,0.0118845500848896,3,0.00254668930390492,0,0,120,0.101867572156197,565.735,0.480250424448217,383,0.325127334465195,42,0.0356536502546689,50.735,0.0430687606112054,2,0.00169779286926995,34,0.0288624787775891,1,0.000848896434634975,13,0.0110356536502547,239,0.202886247877759,37,0.0314091680814941,0,0,0,0,0,0,0,0,0,0,22,0.0186757215619694,2,0.00169779286926995,3,0.00254668930390492,0,0,53,0.0449915110356537,67,0.0568760611205433,565.735,0.480250424448217,140.735,0.119469439728353,2,0.00169779286926995,37,0.0314091680814941,0,0,0,0,3,0.00254668930390492
"VENDELSÖ SÅGEN",202235,2022-09-01,986,520.497,0.527887423935091,62.497,0.0633843813387424,62,0.0628803245436105,5,0.0050709939148073,291,0.295131845841785,0,0,0,0,8,0.00811359026369168,16,0.0162271805273834,9,0.00912778904665314,0,0,67,0.0679513184584179,482.497,0.489347870182556,368,0.373225152129817,38,0.0385395537525355,11.497,0.0116602434077079,13,0.013184584178499,24,0.0243407707910751,0,0,5,0.0050709939148073,278,0.281947261663286,13,0.013184584178499,0,0,0,0,0,0,0,0,0,0,16,0.0162271805273834,8,0.00811359026369168,9,0.00912778904665314,0,0,12,0.0121703853955375,55,0.0557809330628803,482.497,0.489347870182556,79.497,0.0806257606490872,13,0.013184584178499,13,0.013184584178499,0,0,0,0,9,0.00912778904665314
"VENDELSÖ SÅGEN",202235,2022-08-31,1020,445.989,0.437244117647059,59.989,0.0588127450980392,59,0.057843137254902,8,0.00784313725490196,219,0.214705882352941,0,0,0,0,15,0.0147058823529412,18,0.0176470588235294,4,0.00392156862745098,6,0.00588235294117647,57,0.0558823529411765,405.989,0.398028431372549,281,0.275490196078431,40,0.0392156862745098,7.989,0.00783235294117647,12,0.0117647058823529,19,0.0186274509803922,2,0.00196078431372549,6,0.00588235294117647,194,0.190196078431373,25,0.0245098039215686,0,0,0,0,0,0,0,0,0,0,23,0.0225490196078431,10,0.00980392156862745,4,0.00392156862745098,6,0.00588235294117647,8,0.00784313725490196,49,0.0480392156862745,405.989,0.398028431372549,77.989,0.0764598039215686,12,0.0117647058823529,25,0.0245098039215686,0,0,0,0,10,0.00980392156862745
"VENDELSÖ SÅGEN",202235,2022-08-30,955,467.536,0.489566492146597,59.536,0.0623413612565445,67,0.0701570680628272,6,0.00628272251308901,238,0.249214659685864,0,0,0,0,14,0.0146596858638743,12,0.012565445026178,6,0.00628272251308901,1,0.00104712041884817,64,0.0670157068062827,426.536,0.446634554973822,299,0.313089005235602,41,0.0429319371727749,6.536,0.00684397905759162,12,0.012565445026178,26,0.0272251308900524,0,0,6,0.00628272251308901,216,0.226178010471204,22,0.0230366492146597,0,0,0,0,0,0,0,0,0,0,19,0.0198952879581152,7,0.00732984293193717,6,0.00628272251308901,1,0.00104712041884817,4,0.00418848167539267,60,0.06282722513089,426.536,0.446634554973822,86.536,0.090613612565445,12,0.012565445026178,22,0.0230366492146597,0,0,0,0,7,0.00732984293193717
"VENDELSÖ SÅGEN",202235,2022-08-29,1016,514.871,0.506762795275591,71.871,0.0707391732283465,55,0.0541338582677165,6,0.00590551181102362,260,0.255905511811024,0,0,0,0,22,0.0216535433070866,19,0.0187007874015748,11,0.0108267716535433,2,0.00196850393700787,68,0.0669291338582677,483.871,0.476250984251968,317,0.312007874015748,31,0.030511811023622,27.871,0.0274320866141732,13,0.0127952755905512,24,0.0236220472440945,0,0,6,0.00590551181102362,235,0.231299212598425,25,0.0246062992125984,0,0,0,0,0,0,0,0,0,0,32,0.031496062992126,9,0.00885826771653543,11,0.0108267716535433,2,0.00196850393700787,8,0.0078740157480315,60,0.0590551181102362,483.871,0.476250984251968,115.871,0.11404625984252,13,0.0127952755905512,25,0.0246062992125984,0,0,0,0,13,0.0127952755905512
"VENDELSÖ SÅGEN",202233,2022-08-21,1077,224,0.207985143918292,5,0.00464252553389044,14,0.0129990714948932,4,0.00371402042711235,143,0.132776230269266,0,0,0,0,0,0,5,0.00464252553389044,29,0.0269266480965645,2,0.00185701021355617,22,0.0204271123491179,219,0.203342618384401,48,0.0445682451253482,5,0.00464252553389044,0,0,0,0,9,0.00835654596100279,0,0,4,0.00371402042711235,23,0.021355617455896,120,0.11142061281337,0,0,0,0,0,0,0,0,0,0,1,0.000928505106778087,4,0.00371402042711235,29,0.0269266480965645,2,0.00185701021355617,6,0.00557103064066852,16,0.0148560817084494,219,0.203342618384401,20,0.0185701021355617,0,0,120,0.11142061281337,0,0,0,0,31,0.0287836583101207
"VENDELSÖ SÅGEN",202233,2022-08-20,1203,174,0.144638403990025,0,0,16,0.0133000831255195,2,0.00166251039068994,93,0.0773067331670823,0,0,0,0,0,0,8,0.00665004156275977,15,0.0124688279301746,2,0.00166251039068994,38,0.0315876974231089,174,0.144638403990025,54,0.0448877805486284,0,0,0,0,0,0,16,0.0133000831255195,0,0,2,0.00166251039068994,22,0.0182876142975894,71,0.0590191188694929,0,0,0,0,0,0,0,0,0,0,2,0.00166251039068994,6,0.00498753117206983,15,0.0124688279301746,2,0.00166251039068994,8,0.00665004156275977,30,0.0249376558603491,174,0.144638403990025,32,0.0266001662510391,0,0,71,0.0590191188694929,0,0,0,0,17,0.0141313383208645
"VENDELSÖ SÅGEN",202233,2022-08-19,1345,258.331,0.192067657992565,5.331,0.0039635687732342,13,0.00966542750929368,1,0.000743494423791822,162,0.120446096654275,0,0,0,0,0,0,6,0.00446096654275093,6,0.00446096654275093,0,0,65,0.0483271375464684,256.331,0.190580669144981,85,0.0631970260223048,2,0.00148698884758364,3.331,0.00247657992565056,0,0,11,0.00817843866171004,0,0,1,0.000743494423791822,37,0.0275092936802974,125,0.0929368029739777,0,0,0,0,0,0,0,0,0,0,1,0.000743494423791822,5,0.00371747211895911,6,0.00446096654275093,0,0,29,0.0215613382899628,36,0.0267657992565056,256.331,0.190580669144981,40.331,0.029985873605948,0,0,125,0.0929368029739777,0,0,0,0,6,0.00446096654275093
