"butik","vecka","datum","antal_kvitton","zoner_count_TOTAL","zoner_convrate_TOTAL","zoner_count_Inkastare_entré","zoner_convrate_Inkastare_entré","zoner_count_F&G","zoner_convrate_F&G","zoner_count_Bröd","zoner_convrate_Bröd","zoner_count_Bake_off","zoner_convrate_Bake_off","zoner_count_Fisk","zoner_convrate_Fisk","zoner_count_Deli","zoner_convrate_Deli","zoner_count_Frys","zoner_convrate_Frys","zoner_count_Mejeri","zoner_convrate_Mejeri","zoner_count_Gavel_1","zoner_convrate_Gavel_1","zoner_count_Gavel_2","zoner_convrate_Gavel_2","zoner_count_Gavel_3","zoner_convrate_Gavel_3","kampanj_count_TOTAL","kampanj_convrate_TOTAL","skylttyp_count_kampanjvara","skylttyp_convrate_kampanjvara","kampanj_count_Kampanj_1_F&G_1","kampanj_convrate_Kampanj_1_F&G_1","kampanj_count_Kampanj_2_Hero_protein","kampanj_convrate_Kampanj_2_Hero_protein","kampanj_count_Kampanj_3_Bomben","kampanj_convrate_Kampanj_3_Bomben","kampanj_count_Kampanj_2_F&G_2","kampanj_convrate_Kampanj_2_F&G_2","kampanj_count_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_convrate_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_count_Kampanj_2_om_vi_inte_har_två_kör_vi_Garant_hamburgerbröd_Brioche_ord_pris_ABP?","kampanj_convrate_Kampanj_2_om_vi_inte_har_två_kör_vi_Garant_hamburgerbröd_Brioche_ord_pris_ABP?","kampanj_count_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_convrate_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_count_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_convrate_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_count_Kampanj_1_bladet_eller_Lax","kampanj_convrate_Kampanj_1_bladet_eller_Lax","kampanj_count_Mölnlycke","kampanj_convrate_Mölnlycke","kampanj_count_Triangeln","kampanj_convrate_Triangeln","kampanj_count_Trianglen","kampanj_convrate_Trianglen","kampanj_count_Dala_Järna","kampanj_convrate_Dala_Järna","kampanj_count_Kampanj_1","kampanj_convrate_Kampanj_1","kampanj_count_Kampanj_2","kampanj_convrate_Kampanj_2","kampanj_count_ABP_3_för_25","kampanj_convrate_ABP_3_för_25","kampanj_count_ABP_2_för_28","kampanj_convrate_ABP_2_för_28","kampanj_count_Kampanj_1_snacks","kampanj_convrate_Kampanj_1_snacks","kampanj_count_Kampanj_2_Snacks_choklad_ABP_om_det_finns","kampanj_convrate_Kampanj_2_Snacks_choklad_ABP_om_det_finns","skylttyp_count_TOTAL","skylttyp_convrate_TOTAL","skylttyp_count_klubbpris","skylttyp_convrate_klubbpris","skylttyp_count_veckans_klipp","skylttyp_convrate_veckans_klipp","skylttyp_count_alltid_bra_pris","skylttyp_convrate_alltid_bra_pris","skylttyp_count_ordinariepris","skylttyp_convrate_ordinariepris"
"VENDELSÖ SÅGEN",202236,2022-09-11,1217,472,0.387838948233361,129,0.105998356614626,19,0.0156121610517666,27,0.0221857025472473,182,0.149548069022186,1,0.000821692686935086,0,0,4,0.00328677074774034,69,0.056696795398521,11,0.00903861955628595,3,0.00246507806080526,27,0.0221857025472473,472,0.387838948233361,62,0.0509449465899754,0,0,0,0,129,0.105998356614626,19,0.0156121610517666,12,0.00986031224322103,15,0.0123253903040263,57,0.0468364831552999,125,0.102711585866886,1,0.000821692686935086,0,0,0,0,0,0,0,0,17,0.0139687756778965,56,0.0460147904683648,11,0.00903861955628595,3,0.00246507806080526,12,0.00986031224322103,15,0.0123253903040263,472,0.387838948233361,73,0.0599835661462613,129,0.105998356614626,208,0.170912078882498,0,0
"VENDELSÖ SÅGEN",202236,2022-09-10,1098,342,0.311475409836066,86,0.0783242258652095,13,0.01183970856102,39,0.0355191256830601,115,0.104735883424408,2,0.00182149362477231,0,0,2,0.00182149362477231,55,0.0500910746812386,10,0.00910746812386157,0,0,20,0.0182149362477231,342,0.311475409836066,70,0.063752276867031,0,0,8,0.00728597449908925,78,0.0710382513661202,13,0.01183970856102,23,0.0209471766848816,16,0.0145719489981785,33,0.0300546448087432,82,0.0746812386156648,2,0.00182149362477231,0,0,0,0,0,0,0,0,21,0.0191256830601093,36,0.0327868852459016,10,0.00910746812386157,0,0,4,0.00364298724954463,16,0.0145719489981785,342,0.311475409836066,65,0.0591985428051002,78,0.0710382513661202,129,0.117486338797814,0,0
"VENDELSÖ SÅGEN",202236,2022-09-09,1249,441,0.353082465972778,118,0.0944755804643715,17,0.0136108887109688,44,0.0352281825460368,151,0.120896717373899,1,0.000800640512409928,0,0,3,0.00240192153722978,62,0.0496397117694155,8,0.00640512409927942,1,0.000800640512409928,36,0.0288230584467574,441,0.353082465972778,85,0.0680544435548439,0,0,9,0.00720576461168935,109,0.0872698158526821,17,0.0136108887109688,31,0.0248198558847078,13,0.0104083266613291,35,0.0280224179343475,116,0.0928742994395516,1,0.000800640512409928,0,0,0,0,0,0,0,0,25,0.0200160128102482,40,0.0320256204963971,8,0.00640512409927942,1,0.000800640512409928,13,0.0104083266613291,23,0.0184147317854283,441,0.353082465972778,74,0.0592473979183347,109,0.0872698158526821,173,0.138510808646918,0,0
"VENDELSÖ SÅGEN",202236,2022-09-08,1053,431,0.409306742640076,178,0.169040835707502,20,0.0189933523266857,33,0.0313390313390313,122,0.115859449192783,1,0.000949667616334283,0,0,2,0.00189933523266857,50,0.0474833808167142,8,0.00759734093067426,7,0.00664767331433998,10,0.00949667616334283,431,0.409306742640076,61,0.0579297245963913,0,0,27,0.0256410256410256,151,0.143399810066477,20,0.0189933523266857,23,0.0218423551756885,10,0.00949667616334283,37,0.0351377018043685,85,0.0807217473884141,1,0.000949667616334283,0,0,0,0,0,0,0,0,18,0.0170940170940171,34,0.0322886989553656,8,0.00759734093067426,7,0.00664767331433998,3,0.00284900284900285,7,0.00664767331433998,431,0.409306742640076,79,0.0750237416904084,151,0.143399810066477,140,0.1329534662868,0,0
"VENDELSÖ SÅGEN",202236,2022-09-07,1028,403,0.392023346303502,168,0.163424124513619,31,0.0301556420233463,42,0.0408560311284047,98,0.0953307392996109,2,0.00194552529182879,0,0,6,0.00583657587548638,49,0.0476653696498054,3,0.00291828793774319,0,0,4,0.00389105058365759,386,0.375486381322957,78,0.075875486381323,17,0.0165369649805447,12,0.0116731517509728,139,0.135214007782101,14,0.0136186770428016,31,0.0301556420233463,11,0.0107003891050584,39,0.0379377431906615,59,0.0573929961089494,2,0.00194552529182879,0,0,0,0,0,0,0,0,25,0.0243190661478599,30,0.0291828793774319,3,0.00291828793774319,0,0,1,0.000972762645914397,3,0.00291828793774319,386,0.375486381322957,67,0.0651750972762646,139,0.135214007782101,102,0.0992217898832685,0,0
"VENDELSÖ SÅGEN",202236,2022-09-06,1063,468,0.440263405456256,183,0.172154280338664,36,0.0338664158043274,49,0.0460959548447789,109,0.102539981185325,1,0.000940733772342427,0,0,7,0.00658513640639699,53,0.0498588899341486,18,0.0169332079021637,3,0.00282220131702728,9,0.00846660395108184,448,0.421448730009407,91,0.0856067732831609,20,0.0188146754468485,9,0.00846660395108184,154,0.144873000940734,16,0.0150517403574788,38,0.0357478833490122,11,0.0103480714957667,38,0.0357478833490122,71,0.0667920978363123,1,0.000940733772342427,0,0,0,0,0,0,0,0,18,0.0169332079021637,42,0.0395108184383819,18,0.0169332079021637,3,0.00282220131702728,4,0.00376293508936971,5,0.00470366886171214,448,0.421448730009407,69,0.0649106302916275,154,0.144873000940734,134,0.126058325493885,0,0
"VENDELSÖ SÅGEN",202236,2022-09-05,1001,509,0.508491508491508,239,0.238761238761239,43,0.042957042957043,54,0.0539460539460539,81,0.0809190809190809,1,0.000999000999000999,0,0,11,0.010989010989011,51,0.050949050949051,18,0.017982017982018,0,0,11,0.010989010989011,483,0.482517482517482,103,0.102897102897103,26,0.025974025974026,39,0.038961038961039,174,0.173826173826174,17,0.016983016983017,44,0.043956043956044,10,0.00999000999000999,27,0.026973026973027,54,0.0539460539460539,1,0.000999000999000999,0,0,0,0,0,0,0,0,27,0.026973026973027,35,0.034965034965035,18,0.017982017982018,0,0,6,0.00599400599400599,5,0.004995004995005,483,0.482517482517482,101,0.100899100899101,174,0.173826173826174,105,0.104895104895105,0,0
"VENDELSÖ SÅGEN",202233,2022-08-21,1077,324,0.3008356545961,50,0.0464252553389044,54,0.0501392757660167,12,0.011142061281337,158,0.146703806870938,0,0,0,0,0,0,13,0.0120705663881151,29,0.0269266480965645,2,0.00185701021355617,6,0.00557103064066852,278,0.258124419684308,70,0.0649953574744661,46,0.042711234911792,0,0,4,0.00371402042711235,8,0.0074280408542247,0,0,12,0.011142061281337,38,0.0352831940575673,120,0.11142061281337,0,0,0,0,0,0,0,0,0,0,1,0.000928505106778087,12,0.011142061281337,29,0.0269266480965645,2,0.00185701021355617,2,0.00185701021355617,4,0.00371402042711235,278,0.258124419684308,13,0.0120705663881151,4,0.00371402042711235,191,0.177344475394615,0,0
"VENDELSÖ SÅGEN",202233,2022-08-20,1203,264,0.219451371571072,43,0.0357439733998337,38,0.0315876974231089,5,0.00415627597672485,118,0.0980881130507066,3,0.00249376558603491,0,0,0,0,16,0.0133000831255195,15,0.0124688279301746,2,0.00166251039068994,24,0.0199501246882793,233,0.193682460515378,63,0.0523690773067332,31,0.0257689110556941,4,0.00332502078137988,8,0.00665004156275977,7,0.0058187863674148,0,0,5,0.00415627597672485,47,0.0390689941812136,71,0.0590191188694929,3,0.00249376558603491,0,0,0,0,0,0,0,0,5,0.00415627597672485,11,0.00914380714879468,15,0.0124688279301746,2,0.00166251039068994,7,0.0058187863674148,17,0.0141313383208645,233,0.193682460515378,20,0.0166251039068994,8,0.00665004156275977,142,0.118038237738986,0,0
"VENDELSÖ SÅGEN",202233,2022-08-19,1345,373,0.277323420074349,61,0.0453531598513011,58,0.0431226765799256,2,0.00148698884758364,185,0.137546468401487,2,0.00148698884758364,0,0,0,0,23,0.0171003717472119,6,0.00446096654275093,0,0,36,0.0267657992565056,320,0.237918215613383,82,0.0609665427509294,53,0.0394052044609665,0,0,8,0.00594795539033457,5,0.00371747211895911,0,0,2,0.00148698884758364,60,0.0446096654275093,125,0.0929368029739777,2,0.00148698884758364,0,0,0,0,0,0,0,0,2,0.00148698884758364,21,0.0156133828996283,6,0.00446096654275093,0,0,16,0.0118959107806691,20,0.0148698884758364,320,0.237918215613383,23,0.0171003717472119,8,0.00594795539033457,207,0.153903345724907,0,0
