"butik","vecka","datum","antal_kvitton","zoner_count_TOTAL","zoner_convrate_TOTAL","zoner_count_Inkastare_entré","zoner_convrate_Inkastare_entré","zoner_count_F&G","zoner_convrate_F&G","zoner_count_Bröd","zoner_convrate_Bröd","zoner_count_Bake_off","zoner_convrate_Bake_off","zoner_count_Fisk","zoner_convrate_Fisk","zoner_count_Deli","zoner_convrate_Deli","zoner_count_Frys","zoner_convrate_Frys","zoner_count_Mejeri","zoner_convrate_Mejeri","zoner_count_Gavel_1","zoner_convrate_Gavel_1","zoner_count_Gavel_2","zoner_convrate_Gavel_2","zoner_count_Gavel_3","zoner_convrate_Gavel_3","kampanj_count_TOTAL","kampanj_convrate_TOTAL","skylttyp_count_kampanjvara","skylttyp_convrate_kampanjvara","kampanj_count_Kampanj_1_F&G_1","kampanj_convrate_Kampanj_1_F&G_1","kampanj_count_Kampanj_2_Hero_protein","kampanj_convrate_Kampanj_2_Hero_protein","kampanj_count_Kampanj_3_Bomben","kampanj_convrate_Kampanj_3_Bomben","kampanj_count_Kampanj_2_F&G_2","kampanj_convrate_Kampanj_2_F&G_2","kampanj_count_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_convrate_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_count_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_convrate_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_count_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_convrate_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_count_Kampanj_1_bladet_eller_Lax","kampanj_convrate_Kampanj_1_bladet_eller_Lax","kampanj_count_Deli-Mölnlycke","kampanj_convrate_Deli-Mölnlycke","kampanj_count_Deli-Triangeln","kampanj_convrate_Deli-Triangeln","kampanj_count_Deli-Trianglen","kampanj_convrate_Deli-Trianglen","kampanj_count_Deli-Dala_Järna","kampanj_convrate_Deli-Dala_Järna","kampanj_count_Kampanj_1","kampanj_convrate_Kampanj_1","kampanj_count_Kampanj_2","kampanj_convrate_Kampanj_2","kampanj_count_Vara_1","kampanj_convrate_Vara_1","kampanj_count_Vara_2","kampanj_convrate_Vara_2","kampanj_count_Kampanj_1_snacks","kampanj_convrate_Kampanj_1_snacks","kampanj_count_Kampanj_2_Snacks_choklad_ABP_om_det_finns","kampanj_convrate_Kampanj_2_Snacks_choklad_ABP_om_det_finns","skylttyp_count_TOTAL","skylttyp_convrate_TOTAL","skylttyp_count_klubbpris","skylttyp_convrate_klubbpris","skylttyp_count_veckans_klipp","skylttyp_convrate_veckans_klipp","skylttyp_count_alltid_bra_pris","skylttyp_convrate_alltid_bra_pris","skylttyp_count_ordinariepris","skylttyp_convrate_ordinariepris"
"VENDELSÖ SÅGEN",202242,2022-10-23,1025,279.758,0.272934634146341,92.226,0.0899765853658537,41,0.04,8,0.00780487804878049,67,0.0653658536585366,0,0,0,0,4,0.00390243902439024,20,0.0195121951219512,4,0.00390243902439024,18,0.0175609756097561,25.532,0.0249092682926829,264.758,0.258300487804878,71,0.0692682926829268,15,0.0146341463414634,12.226,0.0119278048780488,65,0.0634146341463415,26,0.0253658536585366,8,0.00780487804878049,37,0.0360975609756098,30,0.0292682926829268,0,0,0,0,0,0,0,0,0,0,4,0.00390243902439024,20,0.0195121951219512,6,0.00585365853658537,16,0.015609756097561,2.532,0.00247024390243902,23,0.0224390243902439,264.758,0.258300487804878,72.758,0.0709834146341463,65,0.0634146341463415,52,0.0507317073170732,4,0.00390243902439024
"VENDELSÖ SÅGEN",202242,2022-10-22,1109,299.566,0.270122633002705,125.81,0.113444544634806,45,0.0405770964833183,16,0.0144274120829576,34,0.0306582506762849,1,0.000901713255184851,0,0,14,0.0126239855725879,26,0.0234445446348061,4,0.0036068530207394,4,0.0036068530207394,29.756,0.0268313796212804,285.566,0.257498647430117,73,0.0658250676284941,14,0.0126239855725879,18.81,0.0169612263300271,93,0.0838593327321912,31,0.0279531109107304,16,0.0144274120829576,25,0.0225428313796213,9,0.00811541929666366,1,0.000901713255184851,0,0,0,0,0,0,0,0,23,0.0207394048692516,17,0.0153291253381425,4,0.0036068530207394,4,0.0036068530207394,3.756,0.0033868349864743,26,0.0234445446348061,285.566,0.257498647430117,90.566,0.0816645626690712,93,0.0838593327321912,17,0.0153291253381425,12,0.0108205590622182
"VENDELSÖ SÅGEN",202242,2022-10-21,1229,335.506,0.272991049633849,101.446,0.0825435313262815,61,0.0496338486574451,11,0.00895036615134255,51,0.0414971521562246,0,0,0,0,21,0.0170870626525631,37,0.0301057770545159,2,0.0016273393002441,12,0.00976403580146461,39.06,0.0317819365337673,311.506,0.253462978030919,85,0.0691619202603743,24,0.0195280716029292,15.446,0.0125679414157852,62,0.0504475183075671,37,0.0301057770545159,11,0.00895036615134255,37,0.0301057770545159,14,0.0113913751017087,0,0,0,0,0,0,0,0,0,0,33,0.0268510984540277,25,0.0203417412530513,0,0,14,0.0113913751017087,15.06,0.0122538649308381,24,0.0195280716029292,311.506,0.253462978030919,118.506,0.0964247355573637,62,0.0504475183075671,28,0.0227827502034174,18,0.0146460537021969
"VENDELSÖ SÅGEN",202242,2022-10-20,1049,299.005,0.285038131553861,78.713,0.0750362249761678,67,0.0638703527168732,13,0.0123927550047664,54,0.0514775977121068,3,0.00285986653956149,0,0,19,0.0181124880838894,29,0.0276453765490944,0,0,14,0.0133460438512869,21.292,0.0202974261201144,277.005,0.26406577693041,85,0.0810295519542421,22,0.0209723546234509,21.713,0.0206987607244995,35,0.0333651096282174,45,0.0428979980934223,13,0.0123927550047664,24,0.0228789323164919,30,0.0285986653956149,3,0.00285986653956149,0,0,0,0,0,0,0,0,33,0.0314585319351764,15,0.0142993326978074,3,0.00285986653956149,11,0.0104861773117255,7.292,0.00695138226882745,14,0.0133460438512869,277.005,0.26406577693041,99.005,0.0943803622497617,35,0.0333651096282174,44,0.0419447092469018,14,0.0133460438512869
"VENDELSÖ SÅGEN",202242,2022-10-19,1006,253.496,0.251984095427435,86.3,0.0857852882703777,49,0.0487077534791252,6,0.00596421471172962,30,0.0298210735586481,0,0,0,0,15,0.0149105367793241,35,0.0347912524850895,4,0.00397614314115308,6,0.00596421471172962,22.196,0.0220636182902584,239.496,0.2380675944334,62,0.0616302186878728,14,0.0139165009940358,20.3,0.0201789264413519,52,0.0516898608349901,35,0.0347912524850895,6,0.00596421471172962,21,0.0208747514910537,9,0.00894632206759443,0,0,0,0,0,0,0,0,0,0,28,0.0278330019880716,22,0.0218687872763419,2,0.00198807157057654,8,0.00795228628230616,7.196,0.00715308151093439,15,0.0149105367793241,239.496,0.2380675944334,93.496,0.0929383697813121,52,0.0516898608349901,19,0.0188866799204771,13,0.0129224652087475
"VENDELSÖ SÅGEN",202242,2022-10-18,1022,314.521,0.307750489236791,114.297,0.111836594911937,63,0.0616438356164384,12,0.0117416829745597,41,0.0401174168297456,0,0,0,0,6,0.00587084148727984,44,0.0430528375733855,2,0.00195694716242661,9,0.00880626223091976,23.224,0.0227240704500978,287.521,0.281331702544031,68,0.0665362035225049,27,0.0264187866927593,17.297,0.0169246575342466,70,0.0684931506849315,36,0.0352250489236791,12,0.0117416829745597,20,0.0195694716242661,21,0.0205479452054795,0,0,0,0,0,0,0,0,0,0,19,0.0185909980430528,31,0.0303326810176125,2,0.00195694716242661,9,0.00880626223091976,5.224,0.00511154598825832,18,0.0176125244618395,287.521,0.281331702544031,113.521,0.111077299412916,70,0.0684931506849315,32,0.0313111545988258,4,0.00391389432485323
"VENDELSÖ SÅGEN",202242,2022-10-17,974,301.644,0.309696098562628,96.652,0.0992320328542095,66,0.0677618069815195,12,0.0123203285420945,34,0.0349075975359343,1,0.00102669404517454,0,0,9,0.00924024640657084,39,0.040041067761807,8,0.0082135523613963,21,0.0215605749486653,14.992,0.0153921971252567,274.644,0.281975359342916,76,0.0780287474332649,27,0.0277207392197125,5.652,0.00580287474332649,64,0.0657084188911704,39,0.040041067761807,12,0.0123203285420945,24,0.0246406570841889,10,0.0102669404517454,1,0.00102669404517454,0,0,0,0,0,0,0,0,22,0.0225872689938398,26,0.026694045174538,6,0.00616016427104723,23,0.0236139630390144,5.992,0.00615195071868583,9,0.00924024640657084,274.644,0.281975359342916,90.644,0.0930636550308008,64,0.0657084188911704,39,0.040041067761807,5,0.00513347022587269
"VENDELSÖ SÅGEN",202233,2022-08-21,1077,79.938,0.0742228412256267,3.884,0.00360631383472609,0,0,4,0.00371402042711235,23,0.021355617455896,0,0,0,0,15,0.0139275766016713,12,0.011142061281337,2,0.00185701021355617,11,0.010213556174559,9.054,0.0084066852367688,79.938,0.0742228412256267,22,0.0204271123491179,0,0,3.884,0.00360631383472609,0,0,0,0,4,0.00371402042711235,18,0.0167130919220056,5,0.00464252553389044,0,0,0,0,0,0,0,0,0,0,26,0.0241411327762303,1,0.000928505106778087,2,0.00185701021355617,11,0.010213556174559,7.054,0.00654967502321263,2,0.00185701021355617,79.938,0.0742228412256267,25.938,0.02408356545961,0,0,18,0.0167130919220056,14,0.0129990714948932
"VENDELSÖ SÅGEN",202233,2022-08-20,1203,104.601,0.0869501246882793,3.995,0.00332086450540316,1,0.000831255195344971,2,0.00166251039068994,48,0.0399002493765586,0,0,0,0,13,0.0108063175394846,16,0.0133000831255195,2,0.00166251039068994,7,0.0058187863674148,11.606,0.00964754779717373,103.601,0.0861188694929343,48,0.0399002493765586,1,0.000831255195344971,0.995,0.000827098919368246,2,0.00166251039068994,0,0,2,0.00166251039068994,46,0.0382377389858687,2,0.00166251039068994,0,0,0,0,0,0,0,0,0,0,27,0.0224438902743142,2,0.00166251039068994,2,0.00166251039068994,7,0.0058187863674148,10.606,0.00881629260182876,1,0.000831255195344971,103.601,0.0861188694929343,34.601,0.0287622610141313,2,0.00166251039068994,11,0.00914380714879468,8,0.00665004156275977
"VENDELSÖ SÅGEN",202233,2022-08-19,1345,86.556,0.0643539033457249,4.026,0.00299330855018587,2,0.00148698884758364,0,0,23,0.0171003717472119,0,0,0,0,26,0.0193308550185874,13,0.00966542750929368,0,0,7,0.00520446096654275,11.53,0.0085724907063197,84.556,0.0628669144981413,16,0.0118959107806691,2,0.00148698884758364,1.026,0.000762825278810409,1,0.000743494423791822,0,0,0,0,16,0.0118959107806691,7,0.00520446096654275,0,0,0,0,0,0,0,0,0,0,38,0.0282527881040892,1,0.000743494423791822,2,0.00148698884758364,5,0.00371747211895911,9.53,0.00708550185873606,2,0.00148698884758364,84.556,0.0628669144981413,31.556,0.0234617100371747,1,0.000743494423791822,14,0.0104089219330855,22,0.0163568773234201
