"butik","vecka","datum","antal_kvitton","zoner_count_TOTAL","zoner_convrate_TOTAL","zoner_count_Inkastare_entré","zoner_convrate_Inkastare_entré","zoner_count_F_G","zoner_convrate_F_G","zoner_count_Bröd","zoner_convrate_Bröd","zoner_count_Bake_off","zoner_convrate_Bake_off","zoner_count_Fisk","zoner_convrate_Fisk","zoner_count_Deli","zoner_convrate_Deli","zoner_count_Frys","zoner_convrate_Frys","zoner_count_Mejeri","zoner_convrate_Mejeri","zoner_count_Gavel_1","zoner_convrate_Gavel_1","zoner_count_Gavel_2","zoner_convrate_Gavel_2","zoner_count_Gavel_3","zoner_convrate_Gavel_3","kampanj_count_TOTAL","kampanj_convrate_TOTAL","skylttyp_count_kampanjvara","skylttyp_convrate_kampanjvara","kampanj_count_Kampanj_1_F_G_1","kampanj_convrate_Kampanj_1_F_G_1","kampanj_count_Kampanj_2_Hero_protein","kampanj_convrate_Kampanj_2_Hero_protein","kampanj_count_Kampanj_3_Bomben","kampanj_convrate_Kampanj_3_Bomben","kampanj_count_Kampanj_2_F_G_2","kampanj_convrate_Kampanj_2_F_G_2","kampanj_count_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_convrate_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_count_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_convrate_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_count_Kampanj_1_bladet_eller_Lax","kampanj_convrate_Kampanj_1_bladet_eller_Lax","kampanj_count_Deli-Mölnlycke","kampanj_convrate_Deli-Mölnlycke","kampanj_count_Deli-Triangeln","kampanj_convrate_Deli-Triangeln","kampanj_count_Deli-Trianglen","kampanj_convrate_Deli-Trianglen","kampanj_count_Deli-Dala_Järna","kampanj_convrate_Deli-Dala_Järna","kampanj_count_Kampanj_1","kampanj_convrate_Kampanj_1","kampanj_count_Ordinariepris_test_(endast_produkt_ej_pris)","kampanj_convrate_Ordinariepris_test_(endast_produkt_ej_pris)","kampanj_count_Kampanj_2","kampanj_convrate_Kampanj_2","kampanj_count_Vara_1","kampanj_convrate_Vara_1","kampanj_count_Vara_2","kampanj_convrate_Vara_2","kampanj_count_Kampanj_1_snacks","kampanj_convrate_Kampanj_1_snacks","kampanj_count_Kampanj_2_Snacks_choklad_ABP_om_det_finns","kampanj_convrate_Kampanj_2_Snacks_choklad_ABP_om_det_finns","skylttyp_count_TOTAL","skylttyp_convrate_TOTAL","skylttyp_count_klubbpris","skylttyp_convrate_klubbpris","skylttyp_count_Veckans_klipp","skylttyp_convrate_Veckans_klipp","skylttyp_count_Alltid_bra_pris","skylttyp_convrate_Alltid_bra_pris","skylttyp_count_alltid_bra_pris","skylttyp_convrate_alltid_bra_pris","skylttyp_count_ordinariepris","skylttyp_convrate_ordinariepris"
"VENDELSÖ SÅGEN",202243,2022-10-30,1016,356.898,0.351277559055118,73,0.0718503937007874,64,0.062992125984252,8,0.0078740157480315,62,0.0610236220472441,0,0,0,0,11,0.0108267716535433,44,0.0433070866141732,10,0.00984251968503937,4,0.00393700787401575,80.898,0.0796240157480315,325.898,0.320765748031496,95.898,0.0943877952755905,31,0.030511811023622,9,0.00885826771653543,33,0.0324803149606299,33,0.0324803149606299,8,0.0078740157480315,62,0.0610236220472441,0,0,0,0,0,0,0,0,0,0,42,0.0413385826771654,6,0.00590551181102362,7,0.00688976377952756,9,0.00885826771653543,5,0.00492125984251968,29,0.0285433070866142,51.898,0.0510807086614173,292.898,0.288285433070866,82,0.0807086614173228,33,0.0324803149606299,0,0,76,0.0748031496062992,6,0.00590551181102362
"VENDELSÖ SÅGEN",202243,2022-10-29,1155,565.542,0.489646753246753,121,0.104761904761905,108,0.0935064935064935,2,0.00173160173160173,69,0.0597402597402597,0,0,0,0,11,0.00952380952380952,55,0.0476190476190476,1,0.000865800865800866,4,0.00346320346320346,194.542,0.168434632034632,516.542,0.447222510822511,209.542,0.181421645021645,49,0.0424242424242424,13,0.0112554112554113,59,0.0510822510822511,59,0.0510822510822511,2,0.00173160173160173,69,0.0597402597402597,0,0,0,0,0,0,0,0,0,0,43,0.0372294372294372,10,0.00865800865800866,13,0.0112554112554113,2,0.00173160173160173,3,0.0025974025974026,85,0.0735930735930736,109.542,0.0948415584415584,457.542,0.39614025974026,105,0.0909090909090909,59,0.0510822510822511,0,0,74,0.0640692640692641,10,0.00865800865800866
"VENDELSÖ SÅGEN",202243,2022-10-28,1170,576.708,0.49291282051282,118,0.100854700854701,111,0.0948717948717949,5,0.00427350427350427,34,0.0290598290598291,0,0,0,0,8,0.00683760683760684,48,0.041025641025641,0,0,6,0.00512820512820513,246.708,0.210861538461538,523.708,0.447613675213675,261.708,0.223682051282051,53,0.0452991452991453,7,0.00598290598290598,58,0.0495726495726496,58,0.0495726495726496,5,0.00427350427350427,34,0.0290598290598291,0,0,0,0,0,0,0,0,0,0,39,0.0333333333333333,7,0.00598290598290598,10,0.00854700854700855,2,0.00170940170940171,4,0.00341880341880342,96,0.0820512820512821,150.708,0.128810256410256,465.708,0.398041025641026,99,0.0846153846153846,58,0.0495726495726496,0,0,40,0.0341880341880342,7,0.00598290598290598
"VENDELSÖ SÅGEN",202243,2022-10-27,1061,520.897,0.490949104618285,122,0.114985862393968,104,0.0980207351555137,16,0.0150801131008483,74,0.0697455230914232,0,0,0,0,25,0.0235626767200754,78,0.0735155513666352,8,0.00754005655042413,8,0.00754005655042413,85.897,0.0809585296889727,467.897,0.440996229971725,112.897,0.106406220546654,53,0.0499528746465598,18,0.0169651272384543,51,0.0480678605089538,51,0.0480678605089538,16,0.0150801131008483,74,0.0697455230914232,0,0,0,0,0,0,0,0,0,0,71,0.0669180018850141,21,0.0197926484448633,11,0.0103675777568332,6,0.0056550424128181,10,0.00942507068803016,28,0.0263901979264844,57.897,0.0545683317624882,416.897,0.392928369462771,142,0.133836003770028,51,0.0480678605089538,0,0,90,0.0848256361922714,21,0.0197926484448633
"VENDELSÖ SÅGEN",202243,2022-10-26,997,360.428,0.361512537612839,89,0.0892678034102307,74,0.074222668004012,5,0.00501504513540622,35,0.0351053159478435,1,0.00100300902708124,0,0,11,0.0110330992978937,61,0.0611835506519559,8,0.00802407221664995,20,0.0200601805416249,56.428,0.0565977933801404,339.428,0.340449348044132,75.428,0.0756549648946841,21,0.0210631895687061,15,0.0150451354062187,53,0.0531594784353059,53,0.0531594784353059,5,0.00501504513540622,35,0.0351053159478435,1,0.00100300902708124,0,0,0,0,0,0,0,0,52,0.0521564694082247,7,0.00702106318956871,13,0.0130391173520562,4,0.00401203610832497,24,0.0240722166499498,16,0.0160481444332999,40.428,0.0405496489468405,286.428,0.287289869608826,88,0.0882647943831495,53,0.0531594784353059,0,0,63,0.0631895687061184,7,0.00702106318956871
"VENDELSÖ SÅGEN",202243,2022-10-25,1042,510.755,0.490167946257198,153,0.146833013435701,126,0.120921305182342,5,0.00479846449136276,44,0.0422264875239923,2,0.00191938579654511,0,0,15,0.0143953934740883,79,0.0758157389635317,4,0.00383877159309021,19,0.0182341650671785,63.755,0.0611852207293666,441.755,0.423949136276392,83.755,0.0803790786948177,69,0.0662188099808061,27,0.0259117082533589,57,0.0547024952015355,57,0.0547024952015355,5,0.00479846449136276,44,0.0422264875239923,2,0.00191938579654511,0,0,0,0,0,0,0,0,72,0.0690978886756238,9,0.00863723608445298,13,0.0124760076775432,6,0.00575815738963532,17,0.0163147792706334,28,0.0268714011516315,35.755,0.0343138195777351,384.755,0.369246641074856,168,0.161228406909789,57,0.0547024952015355,0,0,67,0.064299424184261,9,0.00863723608445298
"VENDELSÖ SÅGEN",202243,2022-10-24,958,392.015,0.409201461377871,106,0.110647181628392,92,0.0960334029227557,8,0.00835073068893528,26,0.0271398747390397,2,0.00208768267223382,0,0,9,0.00939457202505219,86,0.0897703549060543,2,0.00208768267223382,22,0.022964509394572,39.015,0.0407254697286013,348.015,0.363272442588726,73.015,0.0762160751565762,44,0.0459290187891441,14,0.0146137787056367,48,0.0501043841336117,48,0.0501043841336117,8,0.00835073068893528,26,0.0271398747390397,2,0.00208768267223382,0,0,0,0,0,0,0,0,63,0.0657620041753653,8,0.00835073068893528,24,0.0250521920668058,8,0.00835073068893528,16,0.0167014613778706,11,0.011482254697286,28.015,0.0292432150313152,300.015,0.313168058455115,121,0.126304801670146,48,0.0501043841336117,0,0,50,0.0521920668058455,8,0.00835073068893528
"VENDELSÖ SÅGEN",202233,2022-08-21,1077,120.94,0.112293407613742,6,0.00557103064066852,6,0.00557103064066852,0,0,38,0.0352831940575673,0,0,0,0,14,0.0129990714948932,17,0.0157845868152275,2,0.00185701021355617,11,0.010213556174559,26.94,0.0250139275766017,118.94,0.110436397400186,28.94,0.0268709377901578,2,0.00185701021355617,0,0,4,0.00371402042711235,4,0.00371402042711235,0,0,38,0.0352831940575673,0,0,0,0,0,0,0,0,0,0,15,0.0139275766016713,14,0.0129990714948932,2,0.00185701021355617,2,0.00185701021355617,11,0.010213556174559,15,0.0139275766016713,11.94,0.0110863509749304,114.94,0.106722376973073,17,0.0157845868152275,4,0.00371402042711235,0,0,51,0.0473537604456825,14,0.0129990714948932
"VENDELSÖ SÅGEN",202233,2022-08-20,1203,222.064,0.184591853699086,4,0.00332502078137988,4,0.00332502078137988,0,0,47,0.0390689941812136,0,0,0,0,10,0.00831255195344971,50,0.0415627597672485,2,0.00166251039068994,7,0.0058187863674148,98.064,0.0815162094763092,219.064,0.182098088113051,120.064,0.0998038237738986,3,0.00249376558603491,0,0,1,0.000831255195344971,1,0.000831255195344971,0,0,47,0.0390689941812136,0,0,0,0,0,0,0,0,0,0,30,0.0249376558603491,8,0.00665004156275977,22,0.0182876142975894,2,0.00166251039068994,7,0.0058187863674148,49,0.0407315045719036,49.064,0.0407847049044057,218.064,0.181266832917706,33,0.027431421446384,1,0.000831255195344971,0,0,56,0.0465502909393184,8,0.00665004156275977
"VENDELSÖ SÅGEN",202233,2022-08-19,1345,276.132,0.205302602230483,11,0.00817843866171004,11,0.00817843866171004,0,0,60,0.0446096654275093,0,0,0,0,23,0.0171003717472119,33,0.0245353159851301,0,0,7,0.00520446096654275,131.132,0.0974959107806691,266.132,0.197867657992565,152.132,0.113109293680297,10,0.00743494423791822,0,0,1,0.000743494423791822,1,0.000743494423791822,0,0,60,0.0446096654275093,0,0,0,0,0,0,0,0,0,0,13,0.00966542750929368,22,0.0163568773234201,21,0.0156133828996283,2,0.00148698884758364,5,0.00371747211895911,97,0.0721189591078067,34.132,0.0253769516728625,265.132,0.197124163568773,23,0.0171003717472119,1,0.000743494423791822,0,0,67,0.049814126394052,22,0.0163568773234201
