"butik","vecka","datum","antal_kvitton","zoner_count_TOTAL","zoner_convrate_TOTAL","zoner_count_Inkastare_entré","zoner_convrate_Inkastare_entré","zoner_count_F_G","zoner_convrate_F_G","zoner_count_Bröd","zoner_convrate_Bröd","zoner_count_Bake_off","zoner_convrate_Bake_off","zoner_count_Fisk","zoner_convrate_Fisk","zoner_count_Deli","zoner_convrate_Deli","zoner_count_Frys","zoner_convrate_Frys","zoner_count_Mejeri","zoner_convrate_Mejeri","zoner_count_Gavel_1","zoner_convrate_Gavel_1","zoner_count_Gavel_2","zoner_convrate_Gavel_2","zoner_count_Gavel_3","zoner_convrate_Gavel_3","kampanj_count_TOTAL","kampanj_convrate_TOTAL","skylttyp_count_kampanjvara","skylttyp_convrate_kampanjvara","kampanj_count_Kampanj_1_F_G_1","kampanj_convrate_Kampanj_1_F_G_1","kampanj_count_Kampanj_2_Hero_protein","kampanj_convrate_Kampanj_2_Hero_protein","kampanj_count_Kampanj_3_Bomben","kampanj_convrate_Kampanj_3_Bomben","kampanj_count_Kampanj_2_F_G_2","kampanj_convrate_Kampanj_2_F_G_2","kampanj_count_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_convrate_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_count_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_convrate_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_count_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_convrate_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_count_Kampanj_1_bladet_eller_Lax","kampanj_convrate_Kampanj_1_bladet_eller_Lax","kampanj_count_Deli-Mölnlycke","kampanj_convrate_Deli-Mölnlycke","kampanj_count_Deli-Triangeln","kampanj_convrate_Deli-Triangeln","kampanj_count_Deli-Trianglen","kampanj_convrate_Deli-Trianglen","kampanj_count_Deli-Dala_Järna","kampanj_convrate_Deli-Dala_Järna","kampanj_count_Kampanj_1","kampanj_convrate_Kampanj_1","kampanj_count_Kampanj_2","kampanj_convrate_Kampanj_2","kampanj_count_Vara_1","kampanj_convrate_Vara_1","kampanj_count_Vara_2","kampanj_convrate_Vara_2","kampanj_count_Kampanj_1_snacks","kampanj_convrate_Kampanj_1_snacks","kampanj_count_Kampanj_2_Snacks_choklad_ABP_om_det_finns","kampanj_convrate_Kampanj_2_Snacks_choklad_ABP_om_det_finns","skylttyp_count_TOTAL","skylttyp_convrate_TOTAL","skylttyp_count_veckans_klipp","skylttyp_convrate_veckans_klipp","skylttyp_count_klubbpris","skylttyp_convrate_klubbpris","skylttyp_count_ordinariepris","skylttyp_convrate_ordinariepris","skylttyp_count_alltid_bra_pris","skylttyp_convrate_alltid_bra_pris"
"VENDELSÖ SÅGEN",202244,2022-11-06,985,383.104,0.38893807106599,118.104,0.119902538071066,29,0.0294416243654822,28,0.0284263959390863,103,0.104568527918782,5,0.0050761421319797,0,0,5,0.0050761421319797,33,0.033502538071066,3,0.00304568527918782,17,0.017258883248731,42,0.0426395939086294,358.104,0.363557360406091,194.104,0.197059898477157,25,0.0253807106598985,19.104,0.019394923857868,74,0.0751269035532995,4,0.00406091370558376,28,0.0284263959390863,100,0.101522842639594,3,0.00304568527918782,5,0.0050761421319797,0,0,0,0,0,0,0,0,28,0.0284263959390863,10,0.0101522842639594,3,0.00304568527918782,17,0.017258883248731,19,0.0192893401015228,23,0.0233502538071066,358.104,0.363557360406091,74,0.0751269035532995,70,0.0710659898477157,0,0,20,0.0203045685279188
"VENDELSÖ SÅGEN",202244,2022-11-05,948,354.799,0.374260548523207,108.799,0.114766877637131,45,0.0474683544303797,13,0.0137130801687764,71,0.0748945147679325,3,0.00316455696202532,0,0,2,0.00210970464135021,19,0.020042194092827,3,0.00316455696202532,8,0.00843881856540084,82,0.0864978902953586,316.799,0.334176160337553,212.799,0.224471518987342,38,0.040084388185654,18.799,0.0198301687763713,52,0.0548523206751055,7,0.00738396624472574,13,0.0137130801687764,70,0.0738396624472574,1,0.00105485232067511,3,0.00316455696202532,0,0,0,0,0,0,0,0,15,0.0158227848101266,6,0.00632911392405063,2,0.00210970464135021,9,0.00949367088607595,50,0.0527426160337553,32,0.0337552742616034,316.799,0.334176160337553,52,0.0548523206751055,41,0.0432489451476793,0,0,11,0.0116033755274262
"VENDELSÖ SÅGEN",202244,2022-11-04,1022,453.522,0.443759295499022,163.522,0.160001956947162,55,0.0538160469667319,21,0.0205479452054795,75,0.073385518590998,1,0.000978473581213307,0,0,1,0.000978473581213307,35,0.0342465753424658,0,0,7,0.00684931506849315,95,0.0929549902152642,412.522,0.403641878669276,230.522,0.225559686888454,41,0.0401174168297456,18.522,0.0181232876712329,104,0.101761252446184,14,0.0136986301369863,21,0.0205479452054795,74,0.0724070450097847,1,0.000978473581213307,1,0.000978473581213307,0,0,0,0,0,0,0,0,18,0.0176125244618395,18,0.0176125244618395,0,0,7,0.00684931506849315,71,0.0694716242661448,24,0.0234833659491194,412.522,0.403641878669276,104,0.101761252446184,71,0.0694716242661448,0,0,7,0.00684931506849315
"VENDELSÖ SÅGEN",202244,2022-11-03,972,410.999,0.422838477366255,188.999,0.19444341563786,27,0.0277777777777778,24,0.0246913580246914,67,0.0689300411522634,0,0,0,0,6,0.00617283950617284,34,0.0349794238683128,2,0.00205761316872428,9,0.00925925925925926,53,0.0545267489711934,388.999,0.400204732510288,158.999,0.163579218106996,22,0.0226337448559671,16.999,0.017488683127572,150,0.154320987654321,5,0.0051440329218107,24,0.0246913580246914,66,0.0679012345679012,1,0.00102880658436214,0,0,0,0,0,0,0,0,0,0,28,0.0288065843621399,12,0.0123456790123457,3,0.00308641975308642,8,0.00823045267489712,30,0.0308641975308642,23,0.0236625514403292,388.999,0.400204732510288,150,0.154320987654321,65,0.0668724279835391,4,0.00411522633744856,11,0.0113168724279835
"VENDELSÖ SÅGEN",202244,2022-11-02,945,451.784,0.478078306878307,213.784,0.226226455026455,28,0.0296296296296296,26,0.0275132275132275,75,0.0793650793650794,0,0,0,0,5,0.00529100529100529,41,0.0433862433862434,0,0,15,0.0158730158730159,48,0.0507936507936508,428.784,0.453739682539683,162.784,0.172258201058201,23,0.0243386243386243,16.784,0.0177608465608466,174,0.184126984126984,5,0.00529100529100529,26,0.0275132275132275,74,0.0783068783068783,1,0.00105820105820106,0,0,0,0,0,0,0,0,0,0,33,0.0349206349206349,13,0.0137566137566138,1,0.00105820105820106,14,0.0148148148148148,25,0.0264550264550265,23,0.0243386243386243,428.784,0.453739682539683,174,0.184126984126984,77,0.0814814814814815,0,0,15,0.0158730158730159
"VENDELSÖ SÅGEN",202244,2022-11-01,997,468.981,0.470392176529589,226.981,0.227663991975928,39,0.0391173520561685,22,0.0220661985957874,82,0.082246740220662,5,0.00501504513540622,0,0,0,0,22,0.0220661985957874,0,0,17,0.0170511534603811,55,0.0551654964894684,444.981,0.446319959879639,188.981,0.189549648946841,24,0.0240722166499498,22.981,0.0230501504513541,180,0.180541624874624,15,0.0150451354062187,22,0.0220661985957874,80,0.0802407221664995,2,0.00200601805416249,5,0.00501504513540622,0,0,0,0,0,0,0,0,12,0.0120361083249749,10,0.0100300902708124,1,0.00100300902708124,16,0.0160481444332999,23,0.0230692076228686,32,0.0320962888665998,444.981,0.446319959879639,180,0.180541624874624,59,0.0591775325977934,0,0,17,0.0170511534603811
"VENDELSÖ SÅGEN",202244,2022-10-31,1049,544.241,0.518818875119161,295.241,0.281449952335558,57,0.0543374642516683,33,0.0314585319351764,55,0.0524308865586273,2,0.00190657769304099,0,0,6,0.00571973307912297,44,0.0419447092469018,3,0.00285986653956149,5,0.00476644423260248,44,0.0419447092469018,491.241,0.468294566253575,173.241,0.165148713060057,53,0.0505243088655863,19.241,0.0183422306959009,223,0.212583412774071,4,0.00381315538608198,33,0.0314585319351764,55,0.0524308865586273,0,0,2,0.00190657769304099,0,0,0,0,0,0,0,0,25,0.0238322211630124,25,0.0238322211630124,2,0.00190657769304099,6,0.00571973307912297,17,0.0162059103908484,27,0.0257387988560534,491.241,0.468294566253575,223,0.212583412774071,85,0.0810295519542421,2,0.00190657769304099,8,0.00762631077216397
"VENDELSÖ SÅGEN",202233,2022-08-21,1077,114.884,0.106670380687094,13.884,0.012891364902507,9,0.00835654596100279,12,0.011142061281337,23,0.021355617455896,0,0,0,0,5,0.00464252553389044,15,0.0139275766016713,2,0.00185701021355617,11,0.010213556174559,24,0.0222841225626741,105.884,0.098313834726091,59.884,0.055602599814299,9,0.00835654596100279,3.884,0.00360631383472609,1,0.000928505106778087,0,0,12,0.011142061281337,23,0.021355617455896,0,0,0,0,0,0,0,0,0,0,0,0,10,0.00928505106778087,10,0.00928505106778087,2,0.00185701021355617,11,0.010213556174559,18,0.0167130919220056,6,0.00557103064066852,105.884,0.098313834726091,1,0.000928505106778087,29,0.0269266480965645,3,0.00278551532033426,13,0.0120705663881151
"VENDELSÖ SÅGEN",202233,2022-08-20,1203,158.995,0.132165419783874,17.995,0.0149584372402328,16,0.0133000831255195,11,0.00914380714879468,22,0.0182876142975894,0,0,0,0,1,0.000831255195344971,17,0.0141313383208645,2,0.00166251039068994,7,0.0058187863674148,65,0.0540315876974231,142.995,0.118865336658354,103.995,0.0864463840399003,16,0.0133000831255195,0.995,0.000827098919368246,1,0.000831255195344971,0,0,11,0.00914380714879468,22,0.0182876142975894,0,0,0,0,0,0,0,0,0,0,0,0,4,0.00332502078137988,14,0.0116375727348296,2,0.00166251039068994,7,0.0058187863674148,40,0.0332502078137988,25,0.0207813798836243,142.995,0.118865336658354,1,0.000831255195344971,28,0.0232751454696592,1,0.000831255195344971,9,0.00748129675810474
"VENDELSÖ SÅGEN",202233,2022-08-19,1345,201.026,0.149461710037175,12.026,0.00894126394052045,11,0.00817843866171004,7,0.00520446096654275,37,0.0275092936802974,0,0,0,0,5,0.00371747211895911,36,0.0267657992565056,0,0,7,0.00520446096654275,86,0.0639405204460967,190.026,0.141283271375465,135.026,0.100391078066915,11,0.00817843866171004,1.026,0.000762825278810409,0,0,0,0,7,0.00520446096654275,37,0.0275092936802974,0,0,0,0,0,0,0,0,0,0,0,0,12,0.00892193308550186,29,0.0215613382899628,2,0.00148698884758364,5,0.00371747211895911,61,0.0453531598513011,25,0.0185873605947955,190.026,0.141283271375465,0,0,48,0.0356877323420074,0,0,7,0.00520446096654275
