"butik","vecka","datum","antal_kvitton","zoner_count_TOTAL","zoner_convrate_TOTAL","zoner_count_Inkastare_entré","zoner_convrate_Inkastare_entré","zoner_count_F_G","zoner_convrate_F_G","zoner_count_Bröd","zoner_convrate_Bröd","zoner_count_Bake_off","zoner_convrate_Bake_off","zoner_count_Fisk","zoner_convrate_Fisk","zoner_count_Deli","zoner_convrate_Deli","zoner_count_Frys","zoner_convrate_Frys","zoner_count_Mejeri","zoner_convrate_Mejeri","zoner_count_Gavel_1","zoner_convrate_Gavel_1","zoner_count_Gavel_2","zoner_convrate_Gavel_2","zoner_count_Gavel_3","zoner_convrate_Gavel_3","kampanj_count_TOTAL","kampanj_convrate_TOTAL","skylttyp_count_kampanjvara","skylttyp_convrate_kampanjvara","kampanj_count_Kampanj_1_F_G_1","kampanj_convrate_Kampanj_1_F_G_1","kampanj_count_Kampanj_2_Hero_protein","kampanj_convrate_Kampanj_2_Hero_protein","kampanj_count_Kampanj_3_Bomben","kampanj_convrate_Kampanj_3_Bomben","kampanj_count_Kampanj_2_F_G_2","kampanj_convrate_Kampanj_2_F_G_2","kampanj_count_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_convrate_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_count_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_convrate_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_count_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_convrate_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_count_Kampanj_1_bladet_eller_Lax","kampanj_convrate_Kampanj_1_bladet_eller_Lax","kampanj_count_Deli-Mölnlycke","kampanj_convrate_Deli-Mölnlycke","kampanj_count_Deli-Triangeln","kampanj_convrate_Deli-Triangeln","kampanj_count_Deli-Trianglen","kampanj_convrate_Deli-Trianglen","kampanj_count_Deli-Dala_Järna","kampanj_convrate_Deli-Dala_Järna","kampanj_count_Kampanj_1","kampanj_convrate_Kampanj_1","kampanj_count_Extra","kampanj_convrate_Extra","kampanj_count_Kampanj_2","kampanj_convrate_Kampanj_2","kampanj_count_Vara_1","kampanj_convrate_Vara_1","kampanj_count_Vara_2","kampanj_convrate_Vara_2","kampanj_count_Kampanj_1_snacks","kampanj_convrate_Kampanj_1_snacks","kampanj_count_Kampanj_2_Snacks_choklad_ABP_om_det_finns","kampanj_convrate_Kampanj_2_Snacks_choklad_ABP_om_det_finns","skylttyp_count_TOTAL","skylttyp_convrate_TOTAL","skylttyp_count_veckans_klipp","skylttyp_convrate_veckans_klipp","skylttyp_count_klubbpris","skylttyp_convrate_klubbpris","skylttyp_count_ordinariepris","skylttyp_convrate_ordinariepris","skylttyp_count_alltid_bra_pris","skylttyp_convrate_alltid_bra_pris"
"VENDELSÖ SÅGEN",202245,2022-11-13,1076,370.96,0.344758364312268,129.98,0.120799256505576,60.98,0.0566728624535316,10,0.00929368029739777,125,0.116171003717472,1,0.000929368029739777,0,0,2,0.00185873605947955,16,0.0148698884758364,1,0.000929368029739777,13,0.0120817843866171,12,0.0111524163568773,319.98,0.297379182156134,214.98,0.199795539033457,50.98,0.0473791821561338,3,0.00278810408921933,76,0.0706319702602231,10,0.00929368029739777,10,0.00929368029739777,70,0.0650557620817844,55,0.0511152416356877,1,0.000929368029739777,0,0,0,0,0,0,0,0,2,0.00185873605947955,2,0.00185873605947955,14,0.0130111524163569,5,0.00464684014869888,9,0.00836431226765799,7,0.00650557620817844,5,0.00464684014869888,319.98,0.297379182156134,76,0.0706319702602231,13,0.0120817843866171,2,0.00185873605947955,14,0.0130111524163569
"VENDELSÖ SÅGEN",202245,2022-11-12,1122,390.788,0.348295900178253,101.394,0.0903689839572193,58.394,0.0520445632798574,11,0.00980392156862745,140,0.124777183600713,1,0.00089126559714795,0,0,3,0.00267379679144385,28,0.0249554367201426,0,0,9,0.00802139037433155,39,0.0347593582887701,348.394,0.310511586452763,264.394,0.235645276292335,42.394,0.0377843137254902,10,0.0089126559714795,49,0.0436720142602496,16,0.0142602495543672,11,0.00980392156862745,98,0.0873440285204991,42,0.0374331550802139,1,0.00089126559714795,0,0,0,0,0,0,0,0,6,0.0053475935828877,3,0.00267379679144385,22,0.0196078431372549,5,0.00445632798573975,4,0.0035650623885918,17,0.0151515151515152,22,0.0196078431372549,348.394,0.310511586452763,49,0.0436720142602496,23,0.0204991087344029,3,0.00267379679144385,9,0.00802139037433155
"VENDELSÖ SÅGEN",202245,2022-11-11,1163,442.52,0.380498710232158,150.26,0.129200343938091,94.26,0.081049011177988,11,0.00945829750644884,113,0.0971625107480654,1,0.000859845227858985,0,0,10,0.00859845227858985,14,0.0120378331900258,0,0,7,0.0060189165950129,42,0.0361134995700774,380.26,0.326964746345658,258.26,0.222063628546862,62.26,0.0535339638865004,9,0.00773860705073087,79,0.0679277730008599,32,0.0275150472914875,11,0.00945829750644884,68,0.058469475494411,45,0.0386930352536543,1,0.000859845227858985,0,0,0,0,0,0,0,0,11,0.00945829750644884,1,0.000859845227858985,12,0.0103181427343078,3,0.00257953568357696,4,0.00343938091143594,28,0.0240756663800516,14,0.0120378331900258,380.26,0.326964746345658,79,0.0679277730008599,35,0.0300945829750645,1,0.000859845227858985,7,0.0060189165950129
"VENDELSÖ SÅGEN",202245,2022-11-10,949,405.508,0.427300316122234,152.254,0.160436248682824,59.254,0.0624383561643836,11,0.0115911485774499,118,0.124341412012645,0,0,0,0,13,0.0136986301369863,30,0.0316122233930453,1,0.00105374077976818,7,0.00737618545837724,14,0.0147523709167545,362.254,0.381721812434141,221.254,0.233144362486828,43.254,0.0455785036880927,4,0.00421496311907271,105,0.110642781875659,16,0.0168598524762908,11,0.0115911485774499,84,0.0885142255005269,34,0.035827186512118,0,0,0,0,0,0,0,0,0,0,23,0.0242360379346681,1,0.00105374077976818,19,0.0200210748155954,2,0.00210748155953635,6,0.00632244467860906,7,0.00737618545837724,7,0.00737618545837724,362.254,0.381721812434141,105,0.110642781875659,27,0.0284510010537408,1,0.00105374077976818,8,0.00842992623814542
"VENDELSÖ SÅGEN",202245,2022-11-09,1004,476.248,0.474350597609562,196.624,0.195840637450199,73.624,0.0733306772908366,15,0.0149402390438247,117,0.116533864541833,1,0.00099601593625498,0,0,20,0.0199203187250996,34,0.0338645418326693,0,0,5,0.0049800796812749,14,0.0139442231075697,419.624,0.41795219123506,253.624,0.252613545816733,56.624,0.056398406374502,9,0.00896414342629482,131,0.130478087649402,17,0.0169322709163347,15,0.0149402390438247,84,0.0836653386454183,33,0.0328685258964143,1,0.00099601593625498,0,0,0,0,0,0,0,0,32,0.0318725099601594,0,0,22,0.0219123505976096,0,0,5,0.0049800796812749,4,0.00398406374501992,10,0.0099601593625498,419.624,0.41795219123506,131,0.130478087649402,30,0.0298804780876494,0,0,5,0.0049800796812749
"VENDELSÖ SÅGEN",202245,2022-11-08,948,447.716,0.472274261603376,161.858,0.170736286919831,56.858,0.0599767932489451,12,0.0126582278481013,93,0.0981012658227848,0,0,0,0,56,0.0590717299578059,29,0.0305907172995781,0,0,22,0.0232067510548523,17,0.0179324894514768,401.858,0.423900843881857,251.858,0.265672995780591,45.858,0.048373417721519,11,0.0116033755274262,105,0.110759493670886,11,0.0116033755274262,12,0.0126582278481013,78,0.0822784810126582,15,0.0158227848101266,0,0,0,0,0,0,0,0,0,0,66,0.069620253164557,1,0.00105485232067511,18,0.0189873417721519,3,0.00316455696202532,19,0.020042194092827,3,0.00316455696202532,14,0.0147679324894515,401.858,0.423900843881857,105,0.110759493670886,22,0.0232067510548523,1,0.00105485232067511,22,0.0232067510548523
"VENDELSÖ SÅGEN",202245,2022-11-07,1022,432.756,0.423440313111546,184.378,0.180409001956947,54.378,0.0532074363992172,6,0.00587084148727984,86,0.0841487279843444,2,0.00195694716242661,0,0,42,0.0410958904109589,20,0.0195694716242661,2,0.00195694716242661,25,0.0244618395303327,11,0.0107632093933464,389.378,0.380996086105675,208.378,0.203892367906067,43.378,0.0424442270058708,14,0.0136986301369863,127,0.12426614481409,11,0.0107632093933464,6,0.00587084148727984,69,0.0675146771037182,17,0.0166340508806262,2,0.00195694716242661,0,0,0,0,0,0,0,0,48,0.0469667318982387,4,0.00391389432485323,10,0.00978473581213307,7,0.00684931506849315,20,0.0195694716242661,7,0.00684931506849315,4,0.00391389432485323,389.378,0.380996086105675,127,0.12426614481409,23,0.0225048923679061,4,0.00391389432485323,27,0.0264187866927593
"VENDELSÖ SÅGEN",202233,2022-08-21,1077,67.784,0.0629377901578459,11.892,0.011041782729805,12.892,0.0119702878365831,0,0,7,0.00649953574744661,0,0,0,0,4,0.00371402042711235,10,0.00928505106778087,2,0.00185701021355617,11,0.010213556174559,9,0.00835654596100279,60.892,0.0565385329619313,30.892,0.0286833797585887,6.892,0.00639925719591458,0,0,5,0.00464252553389044,6,0.00557103064066852,0,0,0,0,7,0.00649953574744661,0,0,0,0,0,0,0,0,0,0,4,0.00371402042711235,3,0.00278551532033426,7,0.00649953574744661,2,0.00185701021355617,11,0.010213556174559,4,0.00371402042711235,5,0.00464252553389044,60.892,0.0565385329619313,5,0.00464252553389044,9,0.00835654596100279,3,0.00278551532033426,13,0.0120705663881151
"VENDELSÖ SÅGEN",202233,2022-08-20,1203,107.44,0.0893100581878637,12.22,0.0101579384871155,11.22,0.00932668329177057,10,0.00831255195344971,17,0.0141313383208645,0,0,0,0,3,0.00249376558603491,8,0.00665004156275977,2,0.00166251039068994,7,0.0058187863674148,37,0.0307564422277639,97.22,0.0808146300914381,84.22,0.0700083125519534,10.22,0.0084954280964256,0,0,2,0.00166251039068994,1,0.000831255195344971,10,0.00831255195344971,12,0.00997506234413965,5,0.00415627597672485,0,0,0,0,0,0,0,0,0,0,2,0.00166251039068994,1,0.000831255195344971,8,0.00665004156275977,2,0.00166251039068994,7,0.0058187863674148,17,0.0141313383208645,20,0.0166251039068994,97.22,0.0808146300914381,2,0.00166251039068994,1,0.000831255195344971,1,0.000831255195344971,9,0.00748129675810474
"VENDELSÖ SÅGEN",202233,2022-08-19,1345,96.848,0.0720059479553903,15.424,0.0114676579925651,13.424,0.00998066914498141,3,0.00223048327137546,6,0.00446096654275093,0,0,0,0,1,0.000743494423791822,20,0.0148698884758364,0,0,7,0.00520446096654275,31,0.0230483271375465,90.424,0.0672297397769517,63.424,0.0471553903345725,6.424,0.00477620817843866,0,0,9,0.00669144981412639,7,0.00520446096654275,3,0.00223048327137546,0,0,6,0.00446096654275093,0,0,0,0,0,0,0,0,0,0,5,0.00371747211895911,0,0,16,0.0118959107806691,2,0.00148698884758364,5,0.00371747211895911,20,0.0148698884758364,11,0.00817843866171004,90.424,0.0672297397769517,9,0.00669144981412639,11,0.00817843866171004,0,0,7,0.00520446096654275
