"butik","vecka","datum","antal_kvitton","zoner_count_TOTAL","zoner_convrate_TOTAL","zoner_count_Inkastare_entré","zoner_convrate_Inkastare_entré","zoner_count_F_G","zoner_convrate_F_G","zoner_count_Bröd","zoner_convrate_Bröd","zoner_count_Bake_off","zoner_convrate_Bake_off","zoner_count_Deli","zoner_convrate_Deli","zoner_count_Frys","zoner_convrate_Frys","zoner_count_Mejeri","zoner_convrate_Mejeri","zoner_count_Gavel_1","zoner_convrate_Gavel_1","zoner_count_Gavel_2","zoner_convrate_Gavel_2","zoner_count_Gavel_3","zoner_convrate_Gavel_3","kampanj_count_TOTAL","kampanj_convrate_TOTAL","skylttyp_count_kampanjvara","skylttyp_convrate_kampanjvara","kampanj_count_Kampanj_1_F_G_1","kampanj_convrate_Kampanj_1_F_G_1","kampanj_count_Kampanj_2_Hero_protein","kampanj_convrate_Kampanj_2_Hero_protein","kampanj_count_Kampanj_3_Bomben","kampanj_convrate_Kampanj_3_Bomben","kampanj_count_Kampanj_2_F_G_2","kampanj_convrate_Kampanj_2_F_G_2","kampanj_count_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_convrate_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_count_Kampanj_2_om_vi_inte_har_två_kör_vi_Garant_hamburgerbröd_Brioche_ord_pris_ABP?","kampanj_convrate_Kampanj_2_om_vi_inte_har_två_kör_vi_Garant_hamburgerbröd_Brioche_ord_pris_ABP?","kampanj_count_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_convrate_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_count_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_convrate_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_count_Deli-Mölnlycke","kampanj_convrate_Deli-Mölnlycke","kampanj_count_Deli-Triangeln","kampanj_convrate_Deli-Triangeln","kampanj_count_Deli-Trianglen","kampanj_convrate_Deli-Trianglen","kampanj_count_Deli-Dala_Järna","kampanj_convrate_Deli-Dala_Järna","kampanj_count_Kampanj_1","kampanj_convrate_Kampanj_1","kampanj_count_Extra","kampanj_convrate_Extra","kampanj_count_Kampanj_2","kampanj_convrate_Kampanj_2","kampanj_count_Vara_1","kampanj_convrate_Vara_1","kampanj_count_Vara_2","kampanj_convrate_Vara_2","kampanj_count_Kampanj_1_snacks","kampanj_convrate_Kampanj_1_snacks","kampanj_count_Kampanj_2_Snacks_choklad_ABP_om_det_finns","kampanj_convrate_Kampanj_2_Snacks_choklad_ABP_om_det_finns","skylttyp_count_TOTAL","skylttyp_convrate_TOTAL","skylttyp_count_veckans_klipp","skylttyp_convrate_veckans_klipp","skylttyp_count_ABP","skylttyp_convrate_ABP","skylttyp_count_ordinariepris","skylttyp_convrate_ordinariepris","skylttyp_count_alltid_bra_pris","skylttyp_convrate_alltid_bra_pris"
"VENDELSÖ SÅGEN",202246,2022-11-20,950,299,0.314736842105263,195,0.205263157894737,17,0.0178947368421053,41,0.0431578947368421,13,0.0136842105263158,0,0,3,0.00315789473684211,4,0.00421052631578947,3,0.00315789473684211,14,0.0147368421052632,9,0.00947368421052632,299,0.314736842105263,76,0.08,0,0,0,0,195,0.205263157894737,17,0.0178947368421053,26,0.0273684210526316,15,0.0157894736842105,7,0.00736842105263158,6,0.00631578947368421,0,0,0,0,0,0,0,0,5,0.00526315789473684,1,0.00105263157894737,1,0.00105263157894737,3,0.00315789473684211,14,0.0147368421052632,7,0.00736842105263158,2,0.00210526315789474,299,0.314736842105263,195,0.205263157894737,10,0.0105263157894737,1,0.00105263157894737,17,0.0178947368421053
"VENDELSÖ SÅGEN",202246,2022-11-19,990,143,0.144444444444444,56,0.0565656565656566,16,0.0161616161616162,32,0.0323232323232323,8,0.00808080808080808,0,0,3,0.00303030303030303,3,0.00303030303030303,4,0.00404040404040404,6,0.00606060606060606,15,0.0151515151515152,143,0.144444444444444,68,0.0686868686868687,0,0,0,0,56,0.0565656565656566,16,0.0161616161616162,23,0.0232323232323232,9,0.00909090909090909,8,0.00808080808080808,0,0,0,0,0,0,0,0,0,0,4,0.00404040404040404,0,0,2,0.00202020202020202,0,0,10,0.0101010101010101,12,0.0121212121212121,3,0.00303030303030303,143,0.144444444444444,56,0.0565656565656566,9,0.00909090909090909,0,0,10,0.0101010101010101
"VENDELSÖ SÅGEN",202246,2022-11-18,1140,167,0.146491228070175,42,0.0368421052631579,9,0.00789473684210526,54,0.0473684210526316,17,0.0149122807017544,0,0,3,0.00263157894736842,2,0.00175438596491228,1,0.00087719298245614,7,0.00614035087719298,32,0.0280701754385965,167,0.146491228070175,102,0.0894736842105263,0,0,0,0,42,0.0368421052631579,9,0.00789473684210526,46,0.0403508771929825,8,0.00701754385964912,13,0.0114035087719298,4,0.00350877192982456,0,0,0,0,0,0,0,0,5,0.0043859649122807,0,0,0,0,4,0.00350877192982456,4,0.00350877192982456,27,0.0236842105263158,5,0.0043859649122807,167,0.146491228070175,42,0.0368421052631579,15,0.0131578947368421,0,0,8,0.00701754385964912
"VENDELSÖ SÅGEN",202246,2022-11-17,983,148,0.150559511698881,48,0.0488301119023398,12,0.0122075279755849,37,0.0376398779247202,13,0.0132248219735504,0,0,8,0.0081383519837233,6,0.00610376398779247,2,0.00203458799593082,12,0.0122075279755849,10,0.0101729399796541,148,0.150559511698881,74,0.0752797558494405,0,0,0,0,48,0.0488301119023398,12,0.0122075279755849,33,0.0335707019328586,4,0.00406917599186165,9,0.00915564598168871,4,0.00406917599186165,0,0,0,0,0,0,0,0,9,0.00915564598168871,1,0.00101729399796541,4,0.00406917599186165,10,0.0101729399796541,4,0.00406917599186165,3,0.00305188199389624,7,0.00712105798575788,148,0.150559511698881,48,0.0488301119023398,11,0.0111902339776195,1,0.00101729399796541,14,0.0142421159715158
"VENDELSÖ SÅGEN",202246,2022-11-16,963,144,0.149532710280374,36,0.0373831775700935,19,0.019730010384216,49,0.0508826583592939,18,0.0186915887850467,0,0,3,0.00311526479750779,2,0.00207684319833853,4,0.00415368639667705,6,0.00623052959501558,7,0.00726895119418484,144,0.149532710280374,81,0.0841121495327103,0,0,0,0,36,0.0373831775700935,19,0.019730010384216,36,0.0373831775700935,13,0.0134994807892004,16,0.0166147455867082,2,0.00207684319833853,0,0,0,0,0,0,0,0,2,0.00207684319833853,1,0.00103842159916926,2,0.00207684319833853,4,0.00415368639667705,6,0.00623052959501558,5,0.00519210799584631,2,0.00207684319833853,144,0.149532710280374,36,0.0373831775700935,16,0.0166147455867082,1,0.00103842159916926,10,0.0103842159916926
"VENDELSÖ SÅGEN",202246,2022-11-15,947,188,0.198521647307286,51,0.0538542766631468,30,0.0316789862724393,46,0.0485744456177402,9,0.00950369588173178,0,0,8,0.00844772967265047,13,0.013727560718057,4,0.00422386483632524,4,0.00422386483632524,23,0.0242872228088701,173,0.182682154171067,112,0.118268215417107,15,0.0158394931362196,0,0,36,0.0380147835269271,15,0.0158394931362196,35,0.0369588173178458,11,0.0116156282998944,7,0.00739176346356917,2,0.00211193241816262,0,0,0,0,0,0,0,0,6,0.00633579725448786,6,0.00633579725448786,9,0.00950369588173178,2,0.00211193241816262,6,0.00633579725448786,4,0.00422386483632524,19,0.0200633579725449,173,0.182682154171067,36,0.0380147835269271,11,0.0116156282998944,6,0.00633579725448786,8,0.00844772967265047
"VENDELSÖ SÅGEN",202246,2022-11-14,974,183,0.18788501026694,76,0.0780287474332649,47,0.0482546201232033,23,0.0236139630390144,12,0.0123203285420945,0,0,5,0.00513347022587269,8,0.0082135523613963,0,0,5,0.00513347022587269,7,0.00718685831622177,158,0.162217659137577,91,0.093429158110883,25,0.0256673511293634,0,0,51,0.0523613963039014,22,0.0225872689938398,17,0.0174537987679671,6,0.00616016427104723,9,0.00924024640657084,3,0.00308008213552361,0,0,0,0,0,0,0,0,7,0.00718685831622177,0,0,6,0.00616016427104723,2,0.00205338809034908,3,0.00308008213552361,5,0.00513347022587269,2,0.00205338809034908,158,0.162217659137577,51,0.0523613963039014,11,0.0112936344969199,0,0,5,0.00513347022587269
"VENDELSÖ SÅGEN",202233,2022-08-21,1077,62,0.0575673166202414,20,0.0185701021355617,0,0,4,0.00371402042711235,8,0.0074280408542247,0,0,6,0.00557103064066852,3,0.00278551532033426,2,0.00185701021355617,11,0.010213556174559,8,0.0074280408542247,62,0.0575673166202414,15,0.0139275766016713,0,0,0,0,20,0.0185701021355617,0,0,0,0,4,0.00371402042711235,8,0.0074280408542247,0,0,0,0,0,0,0,0,0,0,6,0.00557103064066852,3,0.00278551532033426,0,0,2,0.00185701021355617,11,0.010213556174559,8,0.0074280408542247,0,0,62,0.0575673166202414,20,0.0185701021355617,11,0.010213556174559,3,0.00278551532033426,13,0.0120705663881151
"VENDELSÖ SÅGEN",202233,2022-08-20,1203,66,0.0548628428927681,25,0.0207813798836243,5,0.00415627597672485,3,0.00249376558603491,13,0.0108063175394846,0,0,1,0.000831255195344971,1,0.000831255195344971,2,0.00166251039068994,7,0.0058187863674148,9,0.00748129675810474,61,0.0507065669160432,17,0.0141313383208645,5,0.00415627597672485,0,0,20,0.0166251039068994,0,0,0,0,3,0.00249376558603491,13,0.0108063175394846,0,0,0,0,0,0,0,0,0,0,1,0.000831255195344971,1,0.000831255195344971,0,0,2,0.00166251039068994,7,0.0058187863674148,9,0.00748129675810474,0,0,61,0.0507065669160432,20,0.0166251039068994,14,0.0116375727348296,1,0.000831255195344971,9,0.00748129675810474
"VENDELSÖ SÅGEN",202233,2022-08-19,1345,45,0.033457249070632,10,0.00743494423791822,3,0.00223048327137546,2,0.00148698884758364,6,0.00446096654275093,0,0,1,0.000743494423791822,2,0.00148698884758364,0,0,7,0.00520446096654275,14,0.0104089219330855,42,0.0312267657992565,20,0.0148698884758364,3,0.00223048327137546,0,0,7,0.00520446096654275,0,0,0,0,2,0.00148698884758364,6,0.00446096654275093,0,0,0,0,0,0,0,0,0,0,3,0.00223048327137546,0,0,0,0,2,0.00148698884758364,5,0.00371747211895911,14,0.0104089219330855,0,0,42,0.0312267657992565,7,0.00520446096654275,8,0.00594795539033457,0,0,7,0.00520446096654275
