"butik","vecka","antal_kvitton","zoner_count_TOTAL","zoner_convrate_TOTAL","zoner_count_Inkastare_entré","zoner_convrate_Inkastare_entré","zoner_count_F&G","zoner_convrate_F&G","zoner_count_Bröd","zoner_convrate_Bröd","zoner_count_Bake_off","zoner_convrate_Bake_off","zoner_count_Fisk_endast_manuell_disk","zoner_convrate_Fisk_endast_manuell_disk","zoner_count_Deli_endast_manuell","zoner_convrate_Deli_endast_manuell","zoner_count_Frys","zoner_convrate_Frys","zoner_count_Mejeri","zoner_convrate_Mejeri","zoner_count_Gavel_1","zoner_convrate_Gavel_1","zoner_count_Gavel_2","zoner_convrate_Gavel_2","zoner_count_Gavel_3","zoner_convrate_Gavel_3","kampanj_count_TOTAL","kampanj_convrate_TOTAL","skylttyp_count_kampanjvara","skylttyp_convrate_kampanjvara","kampanj_count_Kampanj_1_F&G_1","kampanj_convrate_Kampanj_1_F&G_1","kampanj_count_Kampanj_2_F&G_2","kampanj_convrate_Kampanj_2_F&G_2","kampanj_count_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_convrate_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_count_Kampanj_2_om_vi_inte_har_två_kör_vi_Garant_hamburgerbröd_Brioche_ord_pris_ABP?","kampanj_convrate_Kampanj_2_om_vi_inte_har_två_kör_vi_Garant_hamburgerbröd_Brioche_ord_pris_ABP?","kampanj_count_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_convrate_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_count_Kampanj_2_om_ej_två_kampanjer_multi_ABP","kampanj_convrate_Kampanj_2_om_ej_två_kampanjer_multi_ABP","kampanj_count_Kampanj_1_bladet_eller_skagen","kampanj_convrate_Kampanj_1_bladet_eller_skagen","kampanj_count_Kampanj_1_Triangeln_Mölnlycke_Dala_Järna","kampanj_convrate_Kampanj_1_Triangeln_Mölnlycke_Dala_Järna","kampanj_count_Kampanj_1_Frys","kampanj_convrate_Kampanj_1_Frys","kampanj_count_Kampanj_1_Mejeri","kampanj_convrate_Kampanj_1_Mejeri","kampanj_count_Kampanj_2_Mejeri","kampanj_convrate_Kampanj_2_Mejeri","kampanj_count_Kampanj_3_Bomben","kampanj_convrate_Kampanj_3_Bomben","kampanj_count_ABP","kampanj_convrate_ABP","kampanj_count_Kampanj_1_dryck","kampanj_convrate_Kampanj_1_dryck","kampanj_count_Kampanj_2_Snacks_choklad_ABP_om_det_finns","kampanj_convrate_Kampanj_2_Snacks_choklad_ABP_om_det_finns","skylttyp_count_TOTAL","skylttyp_convrate_TOTAL","skylttyp_count_klubbvara","skylttyp_convrate_klubbvara","skylttyp_count_veckans_klipp","skylttyp_convrate_veckans_klipp","skylttyp_count_alltid_bra_pris","skylttyp_convrate_alltid_bra_pris","skylttyp_count_klubbpris","skylttyp_convrate_klubbpris","skylttyp_count_ordinarie","skylttyp_convrate_ordinarie"
"VENDELSÖ SÅGEN",202234,7835,3094,0.394894703254627,1007,0.128525845564773,443,0.0565411614550096,71,0.00906190172303765,297,0.0379068283343969,0,0,0,0,1,0.000127632418634333,126,0.016081684747926,788,0.100574345883854,8,0.00102105934907466,353,0.0450542437779196,2875,0.366943203573708,1437,0.183407785577537,1007,0.128525845564773,224,0.0285896617740906,56,0.00714741544352266,15,0.001914486279515,286,0.0365028717294193,11,0.00140395660497766,0,0,0,0,1,0.000127632418634333,65,0.00829610721123165,61,0.00778557753669432,788,0.100574345883854,8,0.00102105934907466,114,0.014550095724314,239,0.0305041480536056,2875,0.366943203573708,219,0.027951499680919,788,0.100574345883854,294,0.0375239310784939,137,0.0174856413529036,0,0
"VENDELSÖ SÅGEN",202233,8306,905,0.108957380207079,95,0.0114375150493619,93,0.011196725258849,21,0.00252829280038526,286,0.0344329400433422,0,0,0,0,5,0.000601974476282206,34,0.004093426438719,60,0.00722369371538647,6,0.000722369371538647,305,0.0367204430532145,870,0.104743558873104,449,0.0540573079701421,95,0.0114375150493619,58,0.00698290392487359,20,0.00240789790512882,1,0.000120394895256441,286,0.0344329400433422,0,0,0,0,0,0,5,0.000601974476282206,27,0.00325066217192391,7,0.000842764266795088,60,0.00722369371538647,6,0.000722369371538647,123,0.0148085721165423,182,0.0219118709366723,870,0.104743558873104,35,0.00421382133397544,60,0.00722369371538647,292,0.0351553094148808,34,0.004093426438719,0,0
"VENDELSÖ SÅGEN",202232,8011,1091,0.136187741854949,156,0.0194732243165647,205,0.0255898140057421,30,0.0037448508301086,248,0.0309574335288978,0,0,0,0,5,0.0006241418050181,53,0.00661590313319186,19,0.00237173885906878,11,0.00137311197103982,364,0.0454375234053177,954,0.119086256397454,486,0.0606665834477593,156,0.0194732243165647,68,0.00848832854824616,29,0.00362002246910498,1,0.00012482836100362,248,0.0309574335288978,0,0,0,0,0,0,5,0.0006241418050181,30,0.0037448508301086,23,0.00287105230308326,19,0.00237173885906878,11,0.00137311197103982,150,0.018724254150543,214,0.0267132692547747,954,0.119086256397454,137,0.0171014854574959,19,0.00237173885906878,259,0.0323305454999376,53,0.00661590313319186,0,0
"VENDELSÖ SÅGEN",202231,7099,938,0.132131286096633,16,0.00225383856881251,198,0.0278912522890548,30,0.00422594731652345,373,0.0525426116354416,0,0,0,0,1,0.000140864910550782,32,0.00450767713762502,10,0.00140864910550782,5,0.000704324552753909,273,0.0384561205803634,932,0.131286096633329,506,0.0712776447386956,16,0.00225383856881251,192,0.0270460628257501,23,0.00323989294266798,7,0.000986054373855473,373,0.0525426116354416,0,0,0,0,0,0,1,0.000140864910550782,19,0.00267643330046485,13,0.00183124383716016,10,0.00140864910550782,5,0.000704324552753909,115,0.0161994647133399,158,0.0222566558670235,932,0.131286096633329,6,0.000845189463304691,10,0.00140864910550782,378,0.0532469361881955,32,0.00450767713762502,0,0
"VENDELSÖ SÅGEN",202230,6542,919,0.140476918373586,24,0.00366860287373892,53,0.00810149801284011,18,0.00275145215530419,449,0.0686334454295323,0,0,0,0,3,0.000458575359217365,37,0.00565576276368083,17,0.00259859370223173,7,0.00107000917150718,311,0.0475389789055335,912,0.139406909202079,395,0.0603790889636197,24,0.00366860287373892,46,0.00703148884133293,15,0.00229287679608682,3,0.000458575359217365,449,0.0686334454295323,0,0,0,0,0,0,3,0.000458575359217365,27,0.00412717823295628,10,0.00152858453072455,17,0.00259859370223173,7,0.00107000917150718,100,0.0152858453072455,211,0.032253133598288,912,0.139406909202079,7,0.00107000917150718,17,0.00259859370223173,456,0.0697034546010394,37,0.00565576276368083,0,0
"VENDELSÖ SÅGEN",202229,6718,905,0.134712712116701,29,0.00431676094075618,41,0.00610300684727598,18,0.0026793688597797,488,0.0726406668651384,0,0,0,0,3,0.000446561476629949,30,0.00446561476629949,20,0.00297707651086633,4,0.000595415302173266,272,0.0404882405477821,896,0.133373027686812,345,0.0513545698124442,29,0.00431676094075618,32,0.00476332241738613,16,0.00238166120869306,2,0.000297707651086633,488,0.0726406668651384,0,0,0,0,0,0,3,0.000446561476629949,21,0.00312593033640965,9,0.00133968442988985,20,0.00297707651086633,4,0.000595415302173266,92,0.0136945519499851,180,0.026793688597797,896,0.133373027686812,9,0.00133968442988985,20,0.00297707651086633,492,0.0732360821673117,30,0.00446561476629949,0,0
"VENDELSÖ SÅGEN",202228,6703,780,0.116365806355363,33,0.00492316873041922,58,0.00865284201103983,21,0.00313292555572132,288,0.0429658361927495,0,0,0,0,5,0.000745934656124124,30,0.00447560793674474,22,0.00328211248694614,11,0.00164105624347307,312,0.0465463225421453,769,0.11472475011189,407,0.0607190810085037,33,0.00492316873041922,47,0.00701178576756676,17,0.00253617783082202,4,0.000596747724899299,288,0.0429658361927495,0,0,0,0,0,0,5,0.000745934656124124,22,0.00328211248694614,8,0.0011934954497986,22,0.00328211248694614,11,0.00164105624347307,137,0.020438609577801,175,0.0261077129643443,769,0.11472475011189,11,0.00164105624347307,22,0.00328211248694614,299,0.0446068924362226,30,0.00447560793674474,0,0
"VENDELSÖ SÅGEN",202227,6937,688,0.0991783191581375,75,0.0108115900245063,78,0.0112440536254865,24,0.00345970880784201,137,0.0197491711114315,0,0,0,0,0,0,40,0.00576618134640334,38,0.00547787227908318,5,0.000720772668300418,291,0.0419489692950843,651,0.0938446014127144,394,0.0567968862620729,75,0.0108115900245063,41,0.00591033588006343,22,0.00317139974052184,2,0.000288309067320167,137,0.0197491711114315,0,0,0,0,0,0,0,0,26,0.00374801787516217,14,0.00201816347124117,38,0.00547787227908318,5,0.000720772668300418,94,0.0135505261640479,197,0.0283984431310365,651,0.0938446014127144,37,0.00533371774542309,38,0.00547787227908318,142,0.0204699437797319,40,0.00576618134640334,0,0
"VENDELSÖ SÅGEN",202226,7690,760,0.0988296488946684,53,0.00689206762028609,83,0.0107932379713914,22,0.00286085825747724,214,0.0278283485045514,0,0,0,0,1,0.000130039011703511,49,0.00637191157347204,15,0.00195058517555267,0,0,323,0.0420026007802341,722,0.093888166449935,406,0.0527958387516255,53,0.00689206762028609,45,0.005851755526658,18,0.0023407022106632,4,0.000520156046814044,214,0.0278283485045514,0,0,0,0,0,0,1,0.000130039011703511,34,0.00442132639791938,15,0.00195058517555267,15,0.00195058517555267,0,0,123,0.0159947984395319,200,0.0260078023407022,722,0.093888166449935,38,0.00494148244473342,15,0.00195058517555267,214,0.0278283485045514,49,0.00637191157347204,0,0
"VENDELSÖ SÅGEN",202225,7616,698,0.0916491596638655,37,0.00485819327731092,56,0.00735294117647059,23,0.00301995798319328,121,0.0158876050420168,0,0,0,0,1,0.000131302521008403,37,0.00485819327731092,22,0.00288865546218487,9,0.00118172268907563,392,0.0514705882352941,683,0.0896796218487395,479,0.0628939075630252,37,0.00485819327731092,41,0.00538340336134454,21,0.00275735294117647,2,0.000262605042016807,121,0.0158876050420168,0,0,0,0,0,0,1,0.000131302521008403,16,0.00210084033613445,21,0.00275735294117647,22,0.00288865546218487,9,0.00118172268907563,249,0.0326943277310924,143,0.0187762605042017,683,0.0896796218487395,15,0.00196953781512605,22,0.00288865546218487,130,0.0170693277310924,37,0.00485819327731092,0,0
