"butik","vecka","antal_kvitton","zoner_count_TOTAL","zoner_convrate_TOTAL","zoner_count_Inkastare_entré","zoner_convrate_Inkastare_entré","zoner_count_F&G","zoner_convrate_F&G","zoner_count_Bröd","zoner_convrate_Bröd","zoner_count_Bake_off","zoner_convrate_Bake_off","zoner_count_Fisk","zoner_convrate_Fisk","zoner_count_Deli","zoner_convrate_Deli","zoner_count_Frys","zoner_convrate_Frys","zoner_count_Mejeri","zoner_convrate_Mejeri","zoner_count_Gavel_1","zoner_convrate_Gavel_1","zoner_count_Gavel_2","zoner_convrate_Gavel_2","zoner_count_Gavel_3","zoner_convrate_Gavel_3","kampanj_count_TOTAL","kampanj_convrate_TOTAL","skylttyp_count_kampanjvara","skylttyp_convrate_kampanjvara","kampanj_count_Kampanj_1_F&G_1","kampanj_convrate_Kampanj_1_F&G_1","kampanj_count_Kampanj_2_Hero_protein","kampanj_convrate_Kampanj_2_Hero_protein","kampanj_count_Kampanj_3_Bomben","kampanj_convrate_Kampanj_3_Bomben","kampanj_count_Kampanj_2_F&G_2","kampanj_convrate_Kampanj_2_F&G_2","kampanj_count_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_convrate_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_count_Kampanj_2_om_vi_inte_har_två_kör_vi_Garant_hamburgerbröd_Brioche_ord_pris_ABP?","kampanj_convrate_Kampanj_2_om_vi_inte_har_två_kör_vi_Garant_hamburgerbröd_Brioche_ord_pris_ABP?","kampanj_count_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_convrate_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_count_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_convrate_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_count_Kampanj_1_bladet_eller_Lax","kampanj_convrate_Kampanj_1_bladet_eller_Lax","kampanj_count_Mölnlycke","kampanj_convrate_Mölnlycke","kampanj_count_Triangeln","kampanj_convrate_Triangeln","kampanj_count_Trianglen","kampanj_convrate_Trianglen","kampanj_count_Dala_Järna","kampanj_convrate_Dala_Järna","kampanj_count_Kampanj_1","kampanj_convrate_Kampanj_1","kampanj_count_Kampanj_2","kampanj_convrate_Kampanj_2","kampanj_count_ABP_3_för_25","kampanj_convrate_ABP_3_för_25","kampanj_count_ABP_2_för_28","kampanj_convrate_ABP_2_för_28","kampanj_count_Kampanj_1_snacks","kampanj_convrate_Kampanj_1_snacks","kampanj_count_Kampanj_2_Snacks_choklad_ABP_om_det_finns","kampanj_convrate_Kampanj_2_Snacks_choklad_ABP_om_det_finns","skylttyp_count_TOTAL","skylttyp_convrate_TOTAL","skylttyp_count_klubbpris","skylttyp_convrate_klubbpris","skylttyp_count_veckans_klipp","skylttyp_convrate_veckans_klipp","skylttyp_count_ABP","skylttyp_convrate_ABP","skylttyp_count_ordinarie","skylttyp_convrate_ordinarie","skylttyp_count_Deli","skylttyp_convrate_Deli","skylttyp_count_alltid_bra_pris","skylttyp_convrate_alltid_bra_pris"
"VENDELSÖ SÅGEN",202235,7358,3359.346,0.456556944821962,470.346,0.0639230769230769,408,0.055449850502854,55,0.00747485729817885,1632,0.221799402011416,0,0,0,0,93,0.0126393041587388,107,0.0145419951073661,61,0.008290296276162,15,0.00203859744495787,518,0.0703995650992117,3122.346,0.424347105191628,2001,0.27194889915738,237,0.0322098396303343,181.346,0.0246460994835553,52,0.00706713780918728,171,0.0232400108725197,7,0.000951345474313672,48,0.00652351182386518,1361,0.184968741505844,271,0.0368306605055722,0,0,0,0,0,0,0,0,0,0,156,0.0212014134275618,44,0.00597988583854308,61,0.008290296276162,15,0.00203859744495787,118,0.0160369665670019,400,0.0543625985322098,3122.346,0.424347105191628,722.346,0.0981715139983691,52,0.00706713780918728,271,0.0368306605055722,0,0,0,0,76,0.0103288937211199
"VENDELSÖ SÅGEN",202233,8306,1388.418,0.167158439682157,49.418,0.00594967493378281,96,0.0115579099446183,20,0.00240789790512882,864,0.104021189501565,0,0,0,0,8,0.000963159162051529,41,0.00493619070551409,91,0.0109559354683361,6,0.000722369371538647,213,0.025644112689622,1378.418,0.165954490729593,399,0.04803756320732,10,0.00120394895256441,39.418,0.0047457259812184,0,0,86,0.0103539609920539,0,0,20,0.00240789790512882,199,0.0239585841560318,665,0.0800626053455333,0,0,0,0,0,0,0,0,0,0,16,0.00192631832410306,33,0.00397303154346256,91,0.0109559354683361,6,0.000722369371538647,63,0.00758487840115579,150,0.0180592342884662,1378.418,0.165954490729593,217.418,0.0261760173368649,0,0,665,0.0800626053455333,0,0,0,0,97,0.0116783048398748
"VENDELSÖ SÅGEN",202232,8011,1660.022,0.207217825489951,87.022,0.010862813631257,158,0.019722881038572,16,0.00199725377605792,1088,0.135813256771939,0,0,0,0,4,0.00049931344401448,37,0.00461864935713394,39,0.00486830607914118,11,0.00137311197103982,220,0.0274622394207964,1578.022,0.196981899887654,1024,0.127824241667707,82,0.0102359256022968,5.022,0.00062688802896018,0,0,76,0.00948695543627512,0,0,16,0.00199725377605792,754,0.0941205841967295,334,0.0416926725752091,0,0,0,0,0,0,0,0,0,0,6,0.00074897016602172,35,0.0043689926351267,39,0.00486830607914118,11,0.00137311197103982,75,0.0093621270752715,145,0.0181001123455249,1578.022,0.196981899887654,170.022,0.0212235675945575,0,0,334,0.0416926725752091,0,0,0,0,50,0.006241418050181
"VENDELSÖ SÅGEN",202231,7099,1421.269,0.200206930553599,27.269,0.00384124524580927,92,0.0129595717706719,14,0.00197210874771095,959,0.1350894492182,0,0,0,0,12,0.00169037892660938,39,0.00549373151148049,37,0.00521200169037893,5,0.000704324552753909,236,0.0332441188899845,1401.269,0.197389632342583,1028,0.144809128046204,20,0.00281729821101564,7.269,0.00102394703479363,0,0,72,0.0101422735596563,0,0,14,0.00197210874771095,833,0.117340470488801,126,0.0177489787293985,0,0,0,0,0,0,0,0,0,0,16,0.00225383856881251,35,0.00493027186927736,37,0.00521200169037893,5,0.000704324552753909,64,0.00901535427525004,172,0.0242287646147345,1401.269,0.197389632342583,205.269,0.0289151993238484,0,0,126,0.0177489787293985,0,0,0,0,42,0.00591632624313284
"VENDELSÖ SÅGEN",202230,6542,782.563,0.11962136961174,44.563,0.00681183124426781,118,0.0180372974625497,11,0.001681442983797,307,0.0469275450932437,0,0,0,0,7,0.00107000917150718,39,0.00596147966982574,38,0.00580862121675329,7,0.00107000917150718,211,0.032253133598288,759.563,0.116105625191073,455,0.069550596147967,23,0.00351574442066646,21.563,0.00329608682360134,0,0,95,0.0145215530418832,0,0,11,0.001681442983797,225,0.0343931519413024,82,0.0125343931519413,0,0,0,0,0,0,0,0,0,0,11,0.001681442983797,35,0.00535004585753592,38,0.00580862121675329,7,0.00107000917150718,73,0.0111586670742892,138,0.0210944665239988,759.563,0.116105625191073,177.563,0.0271420055029043,0,0,82,0.0125343931519413,0,0,0,0,45,0.00687863038826047
"VENDELSÖ SÅGEN",202229,6718,814.031,0.121171628460851,36.031,0.00536335218815124,109,0.0162250669842215,21,0.00312593033640965,268,0.0398928252456088,0,0,0,0,43,0.00640071449836261,23,0.00342363798749628,39,0.00580529919618934,4,0.000595415302173266,271,0.0403393867222388,785.031,0.116854867520095,427,0.0635605835069961,29,0.00431676094075618,7.031,0.00104659124739506,0,0,80,0.0119083060434653,0,0,21,0.00312593033640965,200,0.0297707651086633,68,0.0101220601369455,0,0,0,0,0,0,0,0,0,0,46,0.00684727597499256,20,0.00297707651086633,39,0.00580529919618934,4,0.000595415302173266,95,0.0141411134266151,176,0.0261982732956237,785.031,0.116854867520095,247.031,0.036771509377791,0,0,68,0.0101220601369455,0,0,0,0,43,0.00640071449836261
"VENDELSÖ SÅGEN",202228,6703,792.979,0.11830210353573,3.979,0.000593614799343578,78,0.0116365806355363,16,0.0023869908995972,399,0.0595255855587051,0,0,0,0,1,0.000149186931224825,32,0.00477398179919439,38,0.00566910338654334,11,0.00164105624347307,214,0.0319260032821125,792.979,0.11830210353573,392,0.0584812770401313,0,0,3.979,0.000593614799343578,0,0,78,0.0116365806355363,0,0,16,0.0023869908995972,217,0.032373564075787,182,0.0271520214829181,0,0,0,0,0,0,0,0,0,0,13,0.00193943010592272,20,0.00298373862449649,38,0.00566910338654334,11,0.00164105624347307,65,0.00969715052961361,149,0.0222288527524989,792.979,0.11830210353573,169.979,0.0253586453826645,0,0,182,0.0271520214829181,0,0,0,0,49,0.00731015963001641
"VENDELSÖ SÅGEN",202227,6937,2202.156,0.317450771226755,9.156,0.00131987891019173,79,0.0113882081591466,36,0.00518956321176301,1742,0.251117197635866,0,0,0,0,5,0.000720772668300418,34,0.00490125414444284,63,0.00908173562058527,5,0.000720772668300418,229,0.0330113882081591,2202.156,0.317450771226755,1328,0.191437220700591,0,0,9.156,0.00131987891019173,0,0,79,0.0113882081591466,0,0,36,0.00518956321176301,1144,0.164912786507136,598,0.08620441112873,0,0,0,0,0,0,0,0,0,0,13,0.00187400893758109,26,0.00374801787516217,63,0.00908173562058527,5,0.000720772668300418,71,0.0102349718898659,158,0.0227764163182932,2202.156,0.317450771226755,208.156,0.0300066311085484,0,0,598,0.08620441112873,0,0,0,0,68,0.00980250828888569
"VENDELSÖ SÅGEN",202226,7690,1594.113,0.207296879063719,10.113,0.00131508452535761,104,0.0135240572171651,21,0.00273081924577373,1166,0.151625487646294,0,0,0,0,4,0.000520156046814044,43,0.00559167750325098,49,0.00637191157347204,0,0,197,0.0256176853055917,1594.113,0.207296879063719,454,0.059037711313394,0,0,10.113,0.00131508452535761,0,0,104,0.0135240572171651,0,0,21,0.00273081924577373,235,0.0305591677503251,931,0.121066319895969,0,0,0,0,0,0,0,0,0,0,8,0.00104031209362809,39,0.00507152145643693,49,0.00637191157347204,0,0,72,0.0093628088426528,125,0.0162548764629389,1594.113,0.207296879063719,160.113,0.0208209362808843,0,0,931,0.121066319895969,0,0,0,0,49,0.00637191157347204
"VENDELSÖ SÅGEN",202225,7616,1292.149,0.169662421218487,10.149,0.00133258928571429,188,0.0246848739495798,10,0.00131302521008403,763,0.100183823529412,0,0,0,0,5,0.000656512605042017,47,0.00617121848739496,37,0.00485819327731092,9,0.00118172268907563,223,0.0292804621848739,1292.149,0.169662421218487,543,0.071297268907563,0,0,10.149,0.00133258928571429,0,0,188,0.0246848739495798,0,0,10,0.00131302521008403,220,0.0288865546218487,543,0.071297268907563,0,0,0,0,0,0,0,0,0,0,19,0.00249474789915966,33,0.00433298319327731,37,0.00485819327731092,9,0.00118172268907563,88,0.0115546218487395,135,0.0177258403361345,1292.149,0.169662421218487,160.149,0.0210279674369748,0,0,543,0.071297268907563,0,0,0,0,46,0.00603991596638655
