"butik","vecka","antal_kvitton","zoner_count_TOTAL","zoner_convrate_TOTAL","zoner_count_Inkastare_entré","zoner_convrate_Inkastare_entré","zoner_count_F&G","zoner_convrate_F&G","zoner_count_Bröd","zoner_convrate_Bröd","zoner_count_Bake_off","zoner_convrate_Bake_off","zoner_count_Fisk","zoner_convrate_Fisk","zoner_count_Deli","zoner_convrate_Deli","zoner_count_Frys","zoner_convrate_Frys","zoner_count_Mejeri","zoner_convrate_Mejeri","zoner_count_Gavel_1","zoner_convrate_Gavel_1","zoner_count_Gavel_2","zoner_convrate_Gavel_2","zoner_count_Gavel_3","zoner_convrate_Gavel_3","kampanj_count_TOTAL","kampanj_convrate_TOTAL","skylttyp_count_kampanjvara","skylttyp_convrate_kampanjvara","kampanj_count_Kampanj_1_F&G_1","kampanj_convrate_Kampanj_1_F&G_1","kampanj_count_Kampanj_2_Hero_protein","kampanj_convrate_Kampanj_2_Hero_protein","kampanj_count_Kampanj_3_Bomben","kampanj_convrate_Kampanj_3_Bomben","kampanj_count_Kampanj_2_F&G_2","kampanj_convrate_Kampanj_2_F&G_2","kampanj_count_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_convrate_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_count_Kampanj_2_om_vi_inte_har_två_kör_vi_Garant_hamburgerbröd_Brioche_ord_pris_ABP?","kampanj_convrate_Kampanj_2_om_vi_inte_har_två_kör_vi_Garant_hamburgerbröd_Brioche_ord_pris_ABP?","kampanj_count_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_convrate_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_count_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_convrate_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_count_Kampanj_1_bladet_eller_Lax","kampanj_convrate_Kampanj_1_bladet_eller_Lax","kampanj_count_Kampanj_1_Deli","kampanj_convrate_Kampanj_1_Deli","kampanj_count_Kampanj_2_Deli","kampanj_convrate_Kampanj_2_Deli","kampanj_count_Kampanj_3_Deli","kampanj_convrate_Kampanj_3_Deli","kampanj_count_Kampanj_1_Frys","kampanj_convrate_Kampanj_1_Frys","kampanj_count_Kampanj_1_Mejeri","kampanj_convrate_Kampanj_1_Mejeri","kampanj_count_Kampanj_2_Mejeri","kampanj_convrate_Kampanj_2_Mejeri","kampanj_count_Vara_1_Gavel_1","kampanj_convrate_Vara_1_Gavel_1","kampanj_count_Vara_2_Gavel_1","kampanj_convrate_Vara_2_Gavel_1","kampanj_count_Vara_1_Gavel_2","kampanj_convrate_Vara_1_Gavel_2","kampanj_count_Kampanj_2_Snacks_choklad_ABP_om_det_finns","kampanj_convrate_Kampanj_2_Snacks_choklad_ABP_om_det_finns","skylttyp_count_TOTAL","skylttyp_convrate_TOTAL","skylttyp_count_klubbpris","skylttyp_convrate_klubbpris","skylttyp_count_veckans_klipp","skylttyp_convrate_veckans_klipp","skylttyp_count_alltid_bra_pris","skylttyp_convrate_alltid_bra_pris","skylttyp_count_ordinarie","skylttyp_convrate_ordinarie"
"UPPSALA VÄSTERTORG",202237,8152,2851.495,0.349790848871443,1041,0.12769872423945,370.495,0.0454483562315996,161,0.0197497546614328,373,0.0457556427870461,4,0.000490677134445535,42,0.00515210991167812,41,0.00502944062806673,595,0.0729882237487733,73,0.00895485770363101,21,0.00257605495583906,130,0.0159470068694799,2659.495,0.326238346418057,768.495,0.0942707311089303,192,0.0235525024533857,12,0.0014720314033366,837,0.102674190382728,178.495,0.0218958537782139,119,0.0145976447497547,42,0.00515210991167812,291,0.0356967615309127,82,0.0100588812561335,4,0.000490677134445535,0,0,0,0,42,0.00515210991167812,41,0.00502944062806673,265,0.0325073601570167,330,0.0404808635917566,42,0.00515210991167812,31,0.0038027477919529,21,0.00257605495583906,130,0.0159470068694799,2659.495,0.326238346418057,878,0.107703631010795,837,0.102674190382728,145,0.0177870461236506,31,0.0038027477919529
"UPPSALA VÄSTERTORG",202233,8577,375.48,0.0437775445960126,8,0.00093272706074385,104.48,0.0121814154133147,51,0.00594613501224204,41,0.00478022618631223,0,0,0,0,9,0.00104931794333683,79,0.00921067972484552,44,0.00512999883409117,29,0.00338113559519646,10,0.00116590882592981,367.48,0.0428448175352687,198.48,0.0231409583770549,8,0.00093272706074385,0,0,0,0,96.48,0.0112486883525708,34,0.00396409000816136,17,0.00198204500408068,5,0.000582954412964906,36,0.00419727177334732,0,0,0,0,0,0,0,0,9,0.00104931794333683,37,0.00431386265594031,42,0.00489681706890521,28,0.00326454471260347,16,0.0018654541214877,29,0.00338113559519646,10,0.00116590882592981,367.48,0.0428448175352687,60,0.00699545295557887,0,0,93,0.0108429520811473,16,0.0018654541214877
"UPPSALA VÄSTERTORG",202232,7464,557.775,0.0747286977491961,17,0.00227759914255091,212.775,0.0285068327974277,123,0.0164790996784566,49,0.00656484458735263,0,0,0,0,12,0.00160771704180064,73,0.00978027867095391,52,0.00696677384780279,12,0.00160771704180064,7,0.000937834941050375,540.775,0.0724510986066452,373.775,0.0500770364415863,17,0.00227759914255091,0,0,0,0,195.775,0.0262292336548767,111,0.0148713826366559,12,0.00160771704180064,2,0.000267952840300107,47,0.00629689174705252,0,0,0,0,0,0,0,0,12,0.00160771704180064,30,0.00401929260450161,43,0.0057609860664523,42,0.00562700964630225,10,0.00133976420150054,12,0.00160771704180064,7,0.000937834941050375,540.775,0.0724510986066452,56,0.007502679528403,0,0,101,0.0135316184351554,10,0.00133976420150054
"UPPSALA VÄSTERTORG",202231,6750,348.19,0.0515837037037037,12,0.00177777777777778,100.19,0.014842962962963,46,0.00681481481481482,61,0.00903703703703704,0,0,0,0,8,0.00118518518518519,63,0.00933333333333333,41,0.00607407407407407,10,0.00148148148148148,7,0.00103703703703704,341.19,0.0505466666666667,181.19,0.026842962962963,7,0.00103703703703704,0,0,5,0.000740740740740741,93.19,0.0138059259259259,29,0.0042962962962963,17,0.00251851851851852,0,0,61,0.00903703703703704,0,0,0,0,0,0,0,0,8,0.00118518518518519,29,0.0042962962962963,34,0.00503703703703704,31,0.00459259259259259,10,0.00148148148148148,10,0.00148148148148148,7,0.00103703703703704,341.19,0.0505466666666667,43,0.00637037037037037,5,0.000740740740740741,102,0.0151111111111111,10,0.00148148148148148
"UPPSALA VÄSTERTORG",202230,6874,419.965,0.0610947046843177,14,0.00203665987780041,169.965,0.0247257782950247,40,0.00581902822228688,41,0.00596450392784405,0,0,0,0,9,0.00130928135001455,76,0.0110561536223451,45,0.00654640675007274,8,0.00116380564445738,17,0.00247308699447192,412.965,0.0600763747454175,249.965,0.0363638347395985,7,0.0010183299389002,0,0,7,0.0010183299389002,162.965,0.0237074483561245,24,0.00349141693337213,16,0.00232761128891475,0,0,41,0.00596450392784405,0,0,0,0,0,0,0,0,9,0.00130928135001455,38,0.00552807681117253,38,0.00552807681117253,34,0.00494617398894385,11,0.00160023276112889,8,0.00116380564445738,17,0.00247308699447192,412.965,0.0600763747454175,62,0.00901949374454466,7,0.0010183299389002,83,0.0120744835612453,11,0.00160023276112889
"UPPSALA VÄSTERTORG",202229,6775,538.535,0.0794885608856088,125,0.018450184501845,170.535,0.0251712177121771,38,0.00560885608856089,14,0.00206642066420664,0,0,0,0,6,0.000885608856088561,66,0.00974169741697417,90,0.0132841328413284,17,0.00250922509225092,12,0.00177121771217712,419.535,0.0619239852398524,132.535,0.0195623616236162,119,0.0175645756457565,0,0,6,0.000885608856088561,51.535,0.00760664206642066,27,0.00398523985239852,11,0.00162361623616236,0,0,14,0.00206642066420664,0,0,0,0,0,0,0,0,6,0.000885608856088561,29,0.00428044280442804,37,0.00546125461254613,82,0.0121033210332103,8,0.00118081180811808,17,0.00250922509225092,12,0.00177121771217712,419.535,0.0619239852398524,160,0.0236162361623616,6,0.000885608856088561,113,0.0166789667896679,8,0.00118081180811808
"UPPSALA VÄSTERTORG",202228,6838,312.44,0.0456917227259433,3,0.000438724773325534,71.44,0.010447499268792,68,0.00994442819537877,47,0.00687335478210003,0,0,0,0,7,0.00102369113775958,46,0.00672711319099152,39,0.00570342205323194,23,0.00336355659549576,8,0.00116993272886809,311.44,0.0455454811348347,170.44,0.0249254167885347,1,0.000146241591108511,0,0,2,0.000292483182217023,70.44,0.0103012576776835,63,0.00921322023983621,5,0.000731207955542556,0,0,47,0.00687335478210003,0,0,0,0,0,0,0,0,7,0.00102369113775958,21,0.00307107341327874,25,0.00365603977771278,31,0.00453348932436385,8,0.00116993272886809,23,0.00336355659549576,8,0.00116993272886809,311.44,0.0455454811348347,30,0.00438724773325534,2,0.000292483182217023,101,0.0147704007019596,8,0.00116993272886809
"UPPSALA VÄSTERTORG",202227,6995,321.23,0.0459228020014296,10,0.00142959256611866,97.23,0.0138999285203717,31,0.00443173695496783,21,0.00300214438884918,0,0,2,0.000285918513223731,33,0.00471765546819157,67,0.009578270192995,34,0.00486061472480343,18,0.00257326661901358,8,0.00114367405289492,311.23,0.0444932094353109,189.23,0.0270521801286633,10,0.00142959256611866,0,0,0,0,87.23,0.012470335954253,25,0.00357398141529664,6,0.000857755539671194,0,0,21,0.00300214438884918,0,0,0,0,0,0,2,0.000285918513223731,33,0.00471765546819157,31,0.00443173695496783,36,0.00514653323802716,27,0.00385989992852037,7,0.00100071479628306,18,0.00257326661901358,8,0.00114367405289492,311.23,0.0444932094353109,49,0.00700500357398142,0,0,66,0.00943531093638313,7,0.00100071479628306
"UPPSALA VÄSTERTORG",202226,7297,323.605,0.0443476771275867,10,0.00137042620254899,71.605,0.00981293682335206,49,0.00671508839249006,14,0.00191859668356859,4,0.000548170481019597,36,0.00493353432917637,11,0.00150746882280389,54,0.00740030149376456,44,0.00602987529121557,17,0.00232972454433329,13,0.00178155406331369,313.605,0.0429772509250377,191.605,0.02625805125394,10,0.00137042620254899,0,0,0,0,61.605,0.00844251062080307,28,0.00383719336713718,21,0.00287789502535288,0,0,14,0.00191859668356859,4,0.000548170481019597,0,0,0,0,36,0.00493353432917637,11,0.00150746882280389,24,0.00328902288611758,30,0.00411127860764698,34,0.00465944908866658,10,0.00137042620254899,17,0.00232972454433329,13,0.00178155406331369,313.605,0.0429772509250377,47,0.00644100315198027,0,0,65,0.00890777031656845,10,0.00137042620254899
"UPPSALA VÄSTERTORG",202225,7309,296.215,0.040527431933233,9,0.00123135859898755,67.215,0.00919619647010535,42,0.00574634012860856,46,0.00629361061704748,0,0,0,0,6,0.000820905732658366,60,0.00820905732658366,34,0.00465179915173074,18,0.0024627171979751,14,0.00191544670953619,287.215,0.0392960733342454,136.215,0.0186366123956766,9,0.00123135859898755,0,0,0,0,58.215,0.0079648378711178,37,0.00506225201805993,5,0.000684088110548639,0,0,46,0.00629361061704748,0,0,0,0,0,0,0,0,6,0.000820905732658366,30,0.00410452866329183,30,0.00410452866329183,23,0.00314680530852374,11,0.00150499384320701,18,0.0024627171979751,14,0.00191544670953619,287.215,0.0392960733342455,53,0.00725133397181557,0,0,87,0.0119031331235463,11,0.00150499384320701
