"butik","vecka","antal_kvitton","zoner_count_TOTAL","zoner_convrate_TOTAL","zoner_count_Inkastare_entré","zoner_convrate_Inkastare_entré","zoner_count_F&G","zoner_convrate_F&G","zoner_count_Bröd","zoner_convrate_Bröd","zoner_count_Bake_off","zoner_convrate_Bake_off","zoner_count_Fisk","zoner_convrate_Fisk","zoner_count_Deli","zoner_convrate_Deli","zoner_count_Frys","zoner_convrate_Frys","zoner_count_Mejeri","zoner_convrate_Mejeri","zoner_count_Gavel_1","zoner_convrate_Gavel_1","zoner_count_Gavel_2","zoner_convrate_Gavel_2","zoner_count_Gavel_3","zoner_convrate_Gavel_3","kampanj_count_TOTAL","kampanj_convrate_TOTAL","skylttyp_count_kampanjvara","skylttyp_convrate_kampanjvara","kampanj_count_Kampanj_1_F&G_1","kampanj_convrate_Kampanj_1_F&G_1","kampanj_count_Kampanj_2_Hero_protein","kampanj_convrate_Kampanj_2_Hero_protein","kampanj_count_Kampanj_3_Bomben","kampanj_convrate_Kampanj_3_Bomben","kampanj_count_Kampanj_2_F&G_2","kampanj_convrate_Kampanj_2_F&G_2","kampanj_count_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_convrate_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_count_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_convrate_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_count_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_convrate_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_count_Kampanj_1_bladet_eller_Lax","kampanj_convrate_Kampanj_1_bladet_eller_Lax","kampanj_count_Deli-Mölnlycke","kampanj_convrate_Deli-Mölnlycke","kampanj_count_Deli-Triangeln","kampanj_convrate_Deli-Triangeln","kampanj_count_Deli-Trianglen","kampanj_convrate_Deli-Trianglen","kampanj_count_Deli-Dala_Järna","kampanj_convrate_Deli-Dala_Järna","kampanj_count_Kampanj_1","kampanj_convrate_Kampanj_1","kampanj_count_Kampanj_2","kampanj_convrate_Kampanj_2","kampanj_count_Vara_1","kampanj_convrate_Vara_1","kampanj_count_Vara_2","kampanj_convrate_Vara_2","kampanj_count_Kampanj_1_snacks","kampanj_convrate_Kampanj_1_snacks","kampanj_count_Kampanj_2_Snacks_choklad_ABP_om_det_finns","kampanj_convrate_Kampanj_2_Snacks_choklad_ABP_om_det_finns","skylttyp_count_TOTAL","skylttyp_convrate_TOTAL","skylttyp_count_klubbpris","skylttyp_convrate_klubbpris","skylttyp_count_veckans_klipp","skylttyp_convrate_veckans_klipp","skylttyp_count_alltid_bra_pris","skylttyp_convrate_alltid_bra_pris","skylttyp_count_ordinariepris","skylttyp_convrate_ordinariepris"
"VENDELSÖ SÅGEN",202242,7414,2083.496,0.281021850553008,695.444,0.0938014567035338,392,0.0528729430806582,78,0.0105206366333963,311,0.0419476665767467,5,0.000674399784192069,0,0,88,0.0118694362017804,230,0.0310223900728352,24,0.00323711896412193,84,0.0113299163744268,176.052,0.0237458861613164,1940.496,0.261734016725115,520,0.0701375775559752,143,0.0192878338278932,111.444,0.0150315619099002,441,0.0594820609657405,249,0.033585109252765,78,0.0105206366333963,188,0.0253574318856218,123,0.0165902346911249,5,0.000674399784192069,0,0,0,0,0,0,0,0,162,0.021850553007823,156,0.0210412732667926,23,0.00310223900728352,85,0.0114647963312652,47.052,0.00634637172916105,129,0.0173995144321554,1940.496,0.261734016725115,678.496,0.0915155111950364,441,0.0594820609657405,231,0.0311572700296736,70,0.00944159697868897
"VENDELSÖ SÅGEN",202233,8306,557.361,0.0671034192150253,40.539,0.00488068865880087,10,0.00120394895256441,22,0.0026486876956417,155,0.0186612087647484,0,0,0,0,108,0.0130026486876956,92,0.0110763303635926,6,0.000722369371538647,62,0.00746448350589935,61.822,0.0074430532145437,547.361,0.0658994702624609,155,0.0186612087647484,10,0.00120394895256441,10.539,0.00126884180110763,20,0.00240789790512882,0,0,22,0.0026486876956417,133,0.0160125210691067,22,0.0026486876956417,0,0,0,0,0,0,0,0,0,0,192,0.0231158198892367,8,0.000963159162051529,16,0.00192631832410306,52,0.00626053455333494,49.822,0.00599831447146641,12,0.00144473874307729,547.361,0.0658994702624609,202.361,0.0243632313989887,20,0.00240789790512882,90,0.0108355405730797,80,0.00963159162051529
"VENDELSÖ SÅGEN",202232,8011,638.923,0.0797557108975159,142.219,0.0177529646735738,10,0.0012482836100362,21,0.00262139558107602,235,0.0293346648358507,0,0,0,0,79,0.00986144051928598,2,0.00024965672200724,14,0.00174759705405068,109,0.0136062913493946,26.704,0.00333341655224067,628.923,0.0785074272874797,216,0.0269629259767819,10,0.0012482836100362,32.219,0.00402184496317563,100,0.012482836100362,0,0,21,0.00262139558107602,195,0.0243415303957059,40,0.0049931344401448,0,0,0,0,0,0,0,0,0,0,79,0.00986144051928598,2,0.00024965672200724,19,0.00237173885906878,104,0.0129821495443765,17.704,0.00220996130320809,9,0.00112345524903258,628.923,0.0785074272874797,77.923,0.00972700037448508,100,0.012482836100362,163,0.0203470228435901,72,0.00898764199226064
"VENDELSÖ SÅGEN",202231,7099,771.469,0.108672911677701,368.743,0.0519429497112269,12,0.00169037892660938,25,0.00352162276376954,180,0.0253556838991407,0,0,0,0,68,0.00957881391745316,4,0.000563459642203127,10,0.00140864910550782,72,0.0101422735596563,31.726,0.0044690801521341,759.469,0.106982532751092,157,0.0221157909564727,12,0.00169037892660938,2.743,0.000386392449640794,354,0.0498661783349768,0,0,25,0.00352162276376954,132,0.0185941681927032,48,0.00676151570643753,0,0,0,0,0,0,0,0,0,0,68,0.00957881391745316,4,0.000563459642203127,21,0.00295816312156642,61,0.00859275954359769,12.726,0.00179264685166925,19,0.00267643330046485,759.469,0.106982532751092,51.469,0.00725017608113819,354,0.0498661783349768,130,0.0183124383716016,67,0.00943794900690238
"VENDELSÖ SÅGEN",202230,6542,568.044,0.0868303271170896,73.89,0.0112947110975237,44,0.00672577193518802,17,0.00259859370223173,223,0.0340874350351574,0,0,0,0,60,0.00917150718434729,4,0.00061143381228982,9,0.00137572607765209,95,0.0145215530418832,42.154,0.00644359523081626,524.044,0.0801045551819016,178,0.027208804646897,44,0.00672577193518802,0.89,0.000136044023234485,29,0.00443289513910119,0,0,17,0.00259859370223173,161,0.0246102109446652,62,0.0094772240904922,0,0,0,0,0,0,0,0,0,0,60,0.00917150718434729,4,0.00061143381228982,21,0.00321002751452155,83,0.0126872516050138,18.154,0.00277499235707735,24,0.00366860287373892,524.044,0.0801045551819016,93.044,0.0142225619076735,29,0.00443289513910119,166,0.0253745032100275,58,0.00886579027820238
"VENDELSÖ SÅGEN",202229,6718,471.058,0.0701187853527836,35.576,0.00529562369752903,0,0,19,0.00282822268532301,212,0.0315570110151831,0,0,0,0,85,0.0126525751711819,3,0.000446561476629949,8,0.00119083060434653,80,0.0119083060434653,28.482,0.00423965465912474,471.058,0.0701187853527836,168,0.0250074426912772,0,0,7.576,0.00112771658231617,28,0.00416790711521286,0,0,19,0.00282822268532301,149,0.0221792200059542,63,0.00937779100922894,0,0,0,0,0,0,0,0,0,0,85,0.0126525751711819,3,0.000446561476629949,29,0.00431676094075618,59,0.00878237570705567,12.482,0.00185799345043168,16,0.00238166120869306,471.058,0.0701187853527836,43.058,0.00640934802024412,28,0.00416790711521286,151,0.0224769276570408,81,0.0120571598690086
"VENDELSÖ SÅGEN",202228,6703,414.866,0.0618925854095181,22.15,0.00330449052662987,0,0,16,0.0023869908995972,183,0.0273012084141429,0,0,0,0,59,0.00880202894226466,12,0.0017902431746979,18,0.00268536476204684,83,0.0123825152916605,21.716,0.00323974339847829,414.866,0.0618925854095181,135,0.0201402357153513,0,0,3.15,0.000469938833358198,19,0.00283455169327167,0,0,16,0.0023869908995972,119,0.0177532448157541,64,0.00954796359838878,0,0,0,0,0,0,0,0,0,0,59,0.00880202894226466,12,0.0017902431746979,16,0.0023869908995972,85,0.0126808891541101,10.716,0.00159868715500522,11,0.00164105624347307,414.866,0.0618925854095181,38.866,0.00579829926898404,19,0.00283455169327167,165,0.0246158436520961,57,0.00850365507981501
"VENDELSÖ SÅGEN",202227,6937,422.915,0.0609651146028543,41.401,0.00596814184806112,0,0,28,0.00403632694248234,168,0.024217961654894,0,0,0,0,62,0.00893758108692518,8,0.00115323626928067,30,0.00432463600980251,52,0.00749603575032435,33.514,0.00483119504108404,422.915,0.0609651146028543,145,0.0209024073807121,0,0,9.401,0.00135519677093845,32,0.00461294507712268,0,0,28,0.00403632694248234,117,0.0168660804382298,51,0.00735188121666426,0,0,0,0,0,0,0,0,0,0,62,0.00893758108692518,8,0.00115323626928067,38,0.00547787227908318,44,0.00634279948104368,12.514,0.00180394983422229,21,0.00302724520686176,422.915,0.0609651146028543,54.915,0.00791624621594349,32,0.00461294507712268,133,0.0191725529767911,58,0.00836096295228485
"VENDELSÖ SÅGEN",202226,7690,424.344,0.0551812743823147,31.964,0.00415656697009103,0,0,22,0.00286085825747724,190,0.0247074122236671,0,0,0,0,69,0.00897269180754226,6,0.000780234070221066,6,0.000780234070221066,63,0.0081924577373212,36.38,0.00473081924577373,424.344,0.0551812743823147,126,0.0163849154746424,0,0,7.964,0.00103563068920676,24,0.00312093628088427,0,0,22,0.00286085825747724,104,0.0135240572171651,86,0.011183355006502,0,0,0,0,0,0,0,0,0,0,71,0.00923276983094929,4,0.000520156046814044,20,0.00260078023407022,49,0.00637191157347204,20.38,0.00265019505851756,16,0.00208062418725618,424.344,0.0551812743823147,55.344,0.00719687906371912,24,0.00312093628088427,155,0.0201560468140442,64,0.00832249674902471
"VENDELSÖ SÅGEN",202225,7616,625.719,0.0821584821428571,21.489,0.00282155987394958,0,0,25,0.00328256302521008,337,0.0442489495798319,0,0,0,0,77,0.0101102941176471,18,0.00236344537815126,13,0.00170693277310924,75,0.00984768907563025,59.23,0.00777704831932773,625.719,0.0821584821428571,228,0.029936974789916,0,0,7.489,0.000983324579831933,14,0.00183823529411765,0,0,25,0.00328256302521008,203,0.0266544117647059,134,0.0175945378151261,0,0,0,0,0,0,0,0,0,0,81,0.0106355042016807,14,0.00183823529411765,18,0.00236344537815126,70,0.00919117647058824,32.23,0.00423188025210084,27,0.00354516806722689,625.719,0.0821584821428571,84.719,0.0111238182773109,14,0.00183823529411765,222,0.0291491596638655,77,0.0101102941176471
