"butik","vecka","antal_kvitton","zoner_count_TOTAL","zoner_convrate_TOTAL","zoner_count_Inkastare_entré","zoner_convrate_Inkastare_entré","zoner_count_F_G","zoner_convrate_F_G","zoner_count_Bröd","zoner_convrate_Bröd","zoner_count_Bake_off","zoner_convrate_Bake_off","zoner_count_Fisk","zoner_convrate_Fisk","zoner_count_Deli","zoner_convrate_Deli","zoner_count_Frys","zoner_convrate_Frys","zoner_count_Mejeri","zoner_convrate_Mejeri","zoner_count_Gavel_1","zoner_convrate_Gavel_1","zoner_count_Gavel_2","zoner_convrate_Gavel_2","zoner_count_Gavel_3","zoner_convrate_Gavel_3","kampanj_count_TOTAL","kampanj_convrate_TOTAL","skylttyp_count_kampanjvara","skylttyp_convrate_kampanjvara","kampanj_count_Kampanj_1_F_G_1","kampanj_convrate_Kampanj_1_F_G_1","kampanj_count_Kampanj_2_Hero_protein","kampanj_convrate_Kampanj_2_Hero_protein","kampanj_count_Kampanj_3_Bomben","kampanj_convrate_Kampanj_3_Bomben","kampanj_count_Kampanj_2_F_G_2","kampanj_convrate_Kampanj_2_F_G_2","kampanj_count_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_convrate_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_count_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_convrate_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_count_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_convrate_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_count_Kampanj_1_bladet_eller_Lax","kampanj_convrate_Kampanj_1_bladet_eller_Lax","kampanj_count_Deli-Mölnlycke","kampanj_convrate_Deli-Mölnlycke","kampanj_count_Deli-Triangeln","kampanj_convrate_Deli-Triangeln","kampanj_count_Deli-Trianglen","kampanj_convrate_Deli-Trianglen","kampanj_count_Deli-Dala_Järna","kampanj_convrate_Deli-Dala_Järna","kampanj_count_Kampanj_1","kampanj_convrate_Kampanj_1","kampanj_count_Extra","kampanj_convrate_Extra","kampanj_count_Kampanj_2","kampanj_convrate_Kampanj_2","kampanj_count_Vara_1","kampanj_convrate_Vara_1","kampanj_count_Vara_2","kampanj_convrate_Vara_2","kampanj_count_Kampanj_1_snacks","kampanj_convrate_Kampanj_1_snacks","kampanj_count_Kampanj_2_Snacks_choklad_ABP_om_det_finns","kampanj_convrate_Kampanj_2_Snacks_choklad_ABP_om_det_finns","skylttyp_count_TOTAL","skylttyp_convrate_TOTAL","skylttyp_count_veckans_klipp","skylttyp_convrate_veckans_klipp","skylttyp_count_klubbpris","skylttyp_convrate_klubbpris","skylttyp_count_ordinariepris","skylttyp_convrate_ordinariepris","skylttyp_count_alltid_bra_pris","skylttyp_convrate_alltid_bra_pris"
"VENDELSÖ SÅGEN",202245,7284,2966.496,0.40726194398682,1076.748,0.147823723228995,457.748,0.0628429434376716,76,0.0104338275672707,792,0.108731466227348,6,0.000823723228995058,0,0,146,0.0200439319055464,171,0.0234761120263591,4,0.000549148819330038,88,0.0120812740252608,149,0.0204557935200439,2621.748,0.359932454695222,1672.748,0.229646897309171,344.748,0.047329489291598,60,0.00823723228995058,672,0.0922570016474465,113,0.0155134541460736,76,0.0104338275672707,551,0.0756452498627128,241,0.0330862163646348,6,0.000823723228995058,0,0,0,0,0,0,0,0,188,0.0258099945085118,12,0.00164744645799012,117,0.0160626029654036,25,0.00343218012081274,67,0.00919824272377814,73,0.0100219659527732,76,0.0104338275672707,2621.748,0.359932454695222,672,0.0922570016474465,173,0.0237506864360242,12,0.00164744645799012,92,0.0126304228445909
"VENDELSÖ SÅGEN",202233,8306,512.584,0.0617124969901276,92.292,0.0111114856730075,67.292,0.00810161329159644,39,0.0046954009150012,54,0.00650132434384782,0,0,0,0,14,0.00168552853359018,72,0.00866843245846376,6,0.000722369371538647,62,0.00746448350589935,106,0.0127618588971828,465.292,0.05601878160366,309.292,0.0372371779436552,47.292,0.00569371538646761,0,0,45,0.00541777028653985,20,0.00240789790512882,39,0.0046954009150012,12,0.00144473874307729,42,0.00505658560077053,0,0,0,0,0,0,0,0,0,0,17,0.0020467132193595,10,0.00120394895256441,59,0.00710329882013003,16,0.00192631832410306,52,0.00626053455333494,59,0.00710329882013003,47,0.00565856007705273,465.292,0.05601878160366,45,0.00541777028653985,33,0.00397303154346256,10,0.00120394895256441,68,0.008186852877438
"VENDELSÖ SÅGEN",202232,8011,705.844,0.0881093496442392,65.422,0.00816652103357883,61.422,0.00766720758956435,36,0.00449382099613032,24,0.00299588066408688,6,0.00074897016602172,0,0,16,0.00199725377605792,166,0.0207215079266009,14,0.00174759705405068,109,0.0136062913493946,208,0.025964299088753,660.422,0.0824393958307327,482.422,0.0602199475720884,45.422,0.00566995381350643,7,0.00087379852702534,13,0.00162276869304706,16,0.00199725377605792,36,0.00449382099613032,0,0,24,0.00299588066408688,6,0.00074897016602172,0,0,0,0,0,0,0,0,4,0.00049931344401448,16,0.00199725377605792,162,0.0202221944825864,19,0.00237173885906878,104,0.0129821495443765,57,0.00711521657720634,151,0.0188490825115466,660.422,0.0824393958307327,13,0.00162276869304706,26,0.00324553738609412,16,0.00199725377605792,123,0.0153538884034453
"VENDELSÖ SÅGEN",202231,7099,478.484,0.0674016058599803,102.242,0.014402310184533,62.242,0.00876771376250176,44,0.0061980560642344,21,0.00295816312156642,0,0,0,0,8,0.00112691928440625,60,0.00845189463304691,10,0.00140864910550782,72,0.0101422735596563,99,0.0139456261445274,441.242,0.0621555148612481,301.242,0.0424344273841386,37.242,0.00524609099873222,45,0.00633892097478518,20,0.00281729821101564,25,0.00352162276376954,44,0.0061980560642344,0,0,21,0.00295816312156642,0,0,0,0,0,0,0,0,0,0,5,0.000704324552753909,8,0.00112691928440625,55,0.007747570080293,21,0.00295816312156642,61,0.00859275954359769,54,0.00760670516974222,45,0.00633892097478518,441.242,0.0621555148612481,20,0.00281729821101564,30,0.00422594731652345,8,0.00112691928440625,82,0.0115509226651641
"VENDELSÖ SÅGEN",202230,6542,552.452,0.0844469581167839,49.726,0.00760103943748089,83.726,0.0127982268419444,27,0.00412717823295628,145,0.022164475695506,1,0.000152858453072455,0,0,9,0.00137572607765209,52,0.00794863955976765,9,0.00137572607765209,95,0.0145215530418832,81,0.0123815346988688,515.726,0.0788330785692449,336.726,0.0514714154692755,36.726,0.00561387954753898,0,0,13,0.00198715988994191,47,0.00718434729440538,27,0.00412717823295628,0,0,145,0.022164475695506,1,0.000152858453072455,0,0,0,0,0,0,0,0,5,0.000764292265362275,9,0.00137572607765209,47,0.00718434729440538,21,0.00321002751452155,83,0.0126872516050138,48,0.00733720574747784,33,0.00504432895139101,515.726,0.0788330785692449,13,0.00198715988994191,53,0.00810149801284011,9,0.00137572607765209,104,0.0158972791195353
"VENDELSÖ SÅGEN",202229,6718,622.788,0.092704376302471,68.894,0.0102551354569812,202.894,0.0302015480797857,38,0.00565644537064603,68,0.0101220601369455,3,0.000446561476629949,0,0,12,0.0017862459065198,53,0.00788925275379577,8,0.00119083060434653,80,0.0119083060434653,89,0.0132479904733552,583.894,0.0869148556117892,297.894,0.0443426615064007,38.894,0.00578952069068175,15,0.00223280738314975,15,0.00223280738314975,164,0.0244120273891039,38,0.00565644537064603,47,0.00699612980053587,21,0.00312593033640965,3,0.000446561476629949,0,0,0,0,0,0,0,0,4,0.000595415302173266,12,0.0017862459065198,49,0.00729383745162251,29,0.00431676094075618,59,0.00878237570705567,59,0.00878237570705567,30,0.00446561476629949,583.894,0.0869148556117892,15,0.00223280738314975,171,0.0254540041679071,12,0.0017862459065198,88,0.0130991366478118
"VENDELSÖ SÅGEN",202228,6703,566.6,0.0845293152319857,93.8,0.0139937341488886,140.8,0.0210055199164553,30,0.00447560793674474,36,0.00537072952409369,2,0.000298373862449649,0,0,4,0.000596747724899299,68,0.0101447113232881,18,0.00268536476204684,83,0.0123825152916605,91,0.013576010741459,527.8,0.0787408623004625,290.8,0.043383559600179,38.8,0.0057884529315232,37,0.00551991645531851,18,0.00268536476204684,102,0.0152170669849321,30,0.00447560793674474,18,0.00268536476204684,18,0.00268536476204684,2,0.000298373862449649,0,0,0,0,0,0,0,0,10,0.00149186931224825,4,0.000596747724899299,58,0.00865284201103983,16,0.0023869908995972,85,0.0126808891541101,60,0.00895121587348948,31,0.00462479486796957,527.8,0.0787408623004625,18,0.00268536476204684,114,0.01700731015963,4,0.000596747724899299,101,0.0150678800537073
"VENDELSÖ SÅGEN",202227,6937,469.844,0.0677301427129883,57.422,0.00827764163182932,100.422,0.0144762865792129,23,0.00331555427418192,53,0.00764019028398443,0,0,0,0,7,0.00100908173562059,64,0.00922589015424535,30,0.00432463600980251,52,0.00749603575032435,83,0.0119648262937869,433.422,0.0624797462880208,253.422,0.0365319302292057,36.422,0.00525039642496756,0,0,21,0.00302724520686176,64,0.00922589015424535,23,0.00331555427418192,33,0.00475709961078276,20,0.00288309067320167,0,0,0,0,0,0,0,0,0,0,6,0.000864927201960502,7,0.00100908173562059,58,0.00836096295228485,38,0.00547787227908318,44,0.00634279948104368,49,0.0070635721493441,34,0.00490125414444284,433.422,0.0624797462880208,21,0.00302724520686176,70,0.0100908173562059,7,0.00100908173562059,82,0.0118206717601269
"VENDELSÖ SÅGEN",202226,7690,420.42,0.0546710013003901,45.71,0.00594408322496749,70.71,0.00919505851755527,33,0.00429128738621586,38,0.00494148244473342,0,0,0,0,17,0.00221066319895969,64,0.00832249674902471,6,0.000780234070221066,63,0.0081924577373212,83,0.0107932379713914,396.71,0.0515877763328999,235.71,0.0306514954486346,23.71,0.00308322496749025,0,0,22,0.00286085825747724,47,0.00611183355006502,33,0.00429128738621586,12,0.00156046814044213,26,0.00338101430429129,0,0,0,0,0,0,0,0,0,0,18,0.0023407022106632,11,0.00143042912873862,52,0.00676202860858257,20,0.00260078023407022,49,0.00637191157347204,57,0.00741222366710013,26,0.00338101430429129,396.71,0.0515877763328999,22,0.00286085825747724,59,0.00767230169050715,11,0.00143042912873862,69,0.00897269180754226
"VENDELSÖ SÅGEN",202225,7616,410.756,0.0539332983193277,52.378,0.00687736344537815,48.378,0.00635215336134454,32,0.00420168067226891,43,0.00564600840336134,0,0,0,0,19,0.00249474789915966,41,0.00538340336134454,13,0.00170693277310924,75,0.00984768907563025,87,0.0114233193277311,380.378,0.0499445903361345,234.378,0.0307744222689076,30.378,0.00398870798319328,0,0,22,0.00288865546218487,18,0.00236344537815126,32,0.00420168067226891,21,0.00275735294117647,22,0.00288865546218487,0,0,0,0,0,0,0,0,0,0,7,0.000919117647058824,15,0.00196953781512605,38,0.00498949579831933,18,0.00236344537815126,70,0.00919117647058824,52,0.00682773109243697,35,0.00459558823529412,380.378,0.0499445903361345,22,0.00288865546218487,21,0.00275735294117647,15,0.00196953781512605,88,0.0115546218487395
