"butik","vecka","antal_kvitton","zoner_count_TOTAL","zoner_convrate_TOTAL","zoner_count_Inkastare_entré","zoner_convrate_Inkastare_entré","zoner_count_F_G","zoner_convrate_F_G","zoner_count_Bröd","zoner_convrate_Bröd","zoner_count_Bake_off","zoner_convrate_Bake_off","zoner_count_Deli","zoner_convrate_Deli","zoner_count_Frys","zoner_convrate_Frys","zoner_count_Mejeri","zoner_convrate_Mejeri","zoner_count_Gavel_1","zoner_convrate_Gavel_1","zoner_count_Gavel_2","zoner_convrate_Gavel_2","zoner_count_Gavel_3","zoner_convrate_Gavel_3","kampanj_count_TOTAL","kampanj_convrate_TOTAL","skylttyp_count_kampanjvara","skylttyp_convrate_kampanjvara","kampanj_count_Kampanj_1_F_G_1","kampanj_convrate_Kampanj_1_F_G_1","kampanj_count_Kampanj_2_Hero_protein","kampanj_convrate_Kampanj_2_Hero_protein","kampanj_count_Kampanj_3_Bomben","kampanj_convrate_Kampanj_3_Bomben","kampanj_count_Kampanj_2_F_G_2","kampanj_convrate_Kampanj_2_F_G_2","kampanj_count_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_convrate_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_count_Kampanj_2_om_vi_inte_har_två_kör_vi_Garant_hamburgerbröd_Brioche_ord_pris_ABP?","kampanj_convrate_Kampanj_2_om_vi_inte_har_två_kör_vi_Garant_hamburgerbröd_Brioche_ord_pris_ABP?","kampanj_count_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_convrate_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_count_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_convrate_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_count_Deli-Mölnlycke","kampanj_convrate_Deli-Mölnlycke","kampanj_count_Deli-Triangeln","kampanj_convrate_Deli-Triangeln","kampanj_count_Deli-Trianglen","kampanj_convrate_Deli-Trianglen","kampanj_count_Deli-Dala_Järna","kampanj_convrate_Deli-Dala_Järna","kampanj_count_Kampanj_1","kampanj_convrate_Kampanj_1","kampanj_count_Extra","kampanj_convrate_Extra","kampanj_count_Kampanj_2","kampanj_convrate_Kampanj_2","kampanj_count_Vara_1","kampanj_convrate_Vara_1","kampanj_count_Vara_2","kampanj_convrate_Vara_2","kampanj_count_Kampanj_1_snacks","kampanj_convrate_Kampanj_1_snacks","kampanj_count_Kampanj_2_Snacks_choklad_ABP_om_det_finns","kampanj_convrate_Kampanj_2_Snacks_choklad_ABP_om_det_finns","skylttyp_count_TOTAL","skylttyp_convrate_TOTAL","skylttyp_count_veckans_klipp","skylttyp_convrate_veckans_klipp","skylttyp_count_ABP","skylttyp_convrate_ABP","skylttyp_count_ordinariepris","skylttyp_convrate_ordinariepris","skylttyp_count_alltid_bra_pris","skylttyp_convrate_alltid_bra_pris"
"VENDELSÖ SÅGEN",202246,6947,1272,0.183100618972218,504,0.0725493018569167,150,0.0215920541240823,282,0.0405930617532748,90,0.0129552324744494,0,0,33,0.00475025190729811,38,0.00546998704476753,18,0.00259104649488988,54,0.00777313948466964,103,0.0148265438318699,1232,0.177342737872463,604,0.0869440046063049,40,0.00575788109975529,0,0,464,0.0667914207571614,110,0.015834173024327,216,0.0310925579386786,66,0.00950050381459623,69,0.00993234489707787,21,0.00302288757737153,0,0,0,0,0,0,0,0,38,0.00546998704476753,9,0.00129552324744494,24,0.00345472865985317,25,0.00359867568734706,47,0.00676551029221247,63,0.00906866273211458,40,0.00575788109975529,1232,0.177342737872463,464,0.0667914207571614,83,0.0119476032819922,9,0.00129552324744494,72,0.0103641859795595
"VENDELSÖ SÅGEN",202233,8306,381,0.0458704550927041,106,0.0127618588971828,25,0.00300987238141103,28,0.00337105706718035,64,0.00770527329641223,0,0,18,0.00216710811461594,19,0.00228750300987238,6,0.000722369371538647,62,0.00746448350589935,53,0.00638092944859138,356,0.042860582711293,114,0.0137250180592343,25,0.00300987238141103,0,0,81,0.00975198651577173,0,0,0,0,28,0.00337105706718035,64,0.00770527329641223,0,0,0,0,0,0,0,0,0,0,27,0.00325066217192391,10,0.00120394895256441,0,0,16,0.00192631832410306,52,0.00626053455333494,53,0.00638092944859138,0,0,356,0.042860582711293,81,0.00975198651577173,83,0.00999277630628461,10,0.00120394895256441,68,0.008186852877438
"VENDELSÖ SÅGEN",202232,8011,500,0.06241418050181,148,0.0184745974285358,48,0.00599176132817376,45,0.0056172762451629,59,0.00736487329921358,0,0,18,0.00224691049806516,9,0.00112345524903258,14,0.00174759705405068,109,0.0136062913493946,50,0.006241418050181,452,0.0564224191736363,145,0.0181001123455249,48,0.00599176132817376,0,0,100,0.012482836100362,0,0,0,0,45,0.0056172762451629,59,0.00736487329921358,0,0,0,0,0,0,0,0,0,0,11,0.00137311197103982,16,0.00199725377605792,0,0,19,0.00237173885906878,104,0.0129821495443765,37,0.00461864935713394,13,0.00162276869304706,452,0.0564224191736363,100,0.012482836100362,68,0.00848832854824616,16,0.00199725377605792,123,0.0153538884034453
"VENDELSÖ SÅGEN",202231,7099,380,0.0535286660092971,129,0.0181715734610509,25,0.00352162276376954,38,0.00535286660092971,44,0.0061980560642344,0,0,12,0.00169037892660938,13,0.00183124383716016,10,0.00140864910550782,72,0.0101422735596563,37,0.00521200169037893,355,0.0500070432455275,104,0.0146499506972813,25,0.00352162276376954,0,0,104,0.0146499506972813,0,0,3,0.000422594731652345,35,0.00493027186927736,44,0.0061980560642344,0,0,0,0,0,0,0,0,0,0,17,0.00239470347936329,8,0.00112691928440625,0,0,21,0.00295816312156642,61,0.00859275954359769,35,0.00493027186927736,2,0.000281729821101564,355,0.0500070432455275,104,0.0146499506972813,57,0.00802929990139456,8,0.00112691928440625,82,0.0115509226651641
"VENDELSÖ SÅGEN",202230,6542,407,0.0622133904004891,136,0.0207887496178539,31,0.0047386120452461,31,0.0047386120452461,34,0.00519718740446347,0,0,16,0.00244573524915928,14,0.00214001834301437,9,0.00137572607765209,95,0.0145215530418832,41,0.00626719657597065,376,0.057474778355243,113,0.0172730051971874,31,0.0047386120452461,0,0,105,0.0160501375726078,0,0,5,0.000764292265362275,26,0.00397431977988383,34,0.00519718740446347,0,0,0,0,0,0,0,0,0,0,18,0.00275145215530419,9,0.00137572607765209,3,0.000458575359217365,21,0.00321002751452155,83,0.0126872516050138,41,0.00626719657597065,0,0,376,0.057474778355243,105,0.0160501375726078,45,0.00687863038826047,9,0.00137572607765209,104,0.0158972791195353
"VENDELSÖ SÅGEN",202229,6718,418,0.0622208990771063,122,0.0181601667162846,40,0.00595415302173266,28,0.00416790711521286,62,0.00922893718368562,0,0,20,0.00297707651086633,13,0.00193509973206311,8,0.00119083060434653,80,0.0119083060434653,45,0.00669842214944924,398,0.05924382256624,124,0.0184578743673712,20,0.00297707651086633,0,0,102,0.0151830902054183,20,0.00297707651086633,0,0,28,0.00416790711521286,62,0.00922893718368562,0,0,0,0,0,0,0,0,0,0,18,0.0026793688597797,12,0.0017862459065198,3,0.000446561476629949,29,0.00431676094075618,59,0.00878237570705567,43,0.00640071449836261,2,0.000297707651086633,398,0.05924382256624,102,0.0151830902054183,72,0.0107174754391188,12,0.0017862459065198,88,0.0130991366478118
"VENDELSÖ SÅGEN",202228,6703,437,0.0651946889452484,124,0.0184991794718783,39,0.00581829031776816,27,0.00402804714307027,74,0.011039832910637,0,0,9,0.00134268238102342,25,0.00372967328062062,18,0.00268536476204684,83,0.0123825152916605,38,0.00566910338654334,420,0.0626585111144264,121,0.0180516186782038,17,0.00253617783082202,0,0,107,0.0159630016410562,22,0.00328211248694614,0,0,27,0.00402804714307027,74,0.011039832910637,0,0,0,0,0,0,0,0,0,0,18,0.00268536476204684,4,0.000596747724899299,12,0.0017902431746979,16,0.0023869908995972,85,0.0126808891541101,37,0.00551991645531851,1,0.000149186931224825,420,0.0626585111144264,107,0.0159630016410562,87,0.0129792630165597,4,0.000596747724899299,101,0.0150678800537073
"VENDELSÖ SÅGEN",202227,6937,673,0.0970160011532363,224,0.0322906155398587,36,0.00518956321176301,151,0.0217673345826726,64,0.00922589015424535,0,0,68,0.00980250828888569,10,0.00144154533660084,30,0.00432463600980251,52,0.00749603575032435,38,0.00547787227908318,658,0.094853683148335,286,0.0412281966267839,15,0.00216231800490125,0,0,209,0.0301282975349575,21,0.00302724520686176,113,0.0162894623035894,38,0.00547787227908318,64,0.00922589015424535,0,0,0,0,0,0,0,0,0,0,71,0.0102349718898659,7,0.00100908173562059,0,0,38,0.00547787227908318,44,0.00634279948104368,35,0.00504540867810293,3,0.000432463600980251,658,0.094853683148335,209,0.0301282975349575,74,0.0106674354908462,7,0.00100908173562059,82,0.0118206717601269
"VENDELSÖ SÅGEN",202226,7690,379,0.0492847854356307,110,0.0143042912873862,37,0.00481144343302991,32,0.00416124837451235,61,0.00793237971391417,0,0,18,0.0023407022106632,8,0.00104031209362809,6,0.000780234070221066,63,0.0081924577373212,44,0.00572171651495449,359,0.0466840052015605,120,0.0156046814044213,20,0.00260078023407022,0,0,90,0.011703511053316,17,0.00221066319895969,6,0.000780234070221066,26,0.00338101430429129,61,0.00793237971391417,0,0,0,0,0,0,0,0,0,0,15,0.00195058517555267,11,0.00143042912873862,0,0,20,0.00260078023407022,49,0.00637191157347204,41,0.00533159947984395,3,0.000390117035110533,359,0.0466840052015605,90,0.011703511053316,69,0.00897269180754226,11,0.00143042912873862,69,0.00897269180754226
"VENDELSÖ SÅGEN",202225,7616,402,0.0527836134453782,117,0.0153623949579832,36,0.00472689075630252,34,0.00446428571428571,66,0.00866596638655462,0,0,19,0.00249474789915966,8,0.00105042016806723,13,0.00170693277310924,75,0.00984768907563025,34,0.00446428571428571,385,0.0505514705882353,108,0.0141806722689076,17,0.00223214285714286,0,0,100,0.0131302521008403,19,0.00249474789915966,0,0,34,0.00446428571428571,66,0.00866596638655462,0,0,0,0,0,0,0,0,0,0,12,0.00157563025210084,15,0.00196953781512605,0,0,18,0.00236344537815126,70,0.00919117647058824,31,0.0040703781512605,3,0.00039390756302521,385,0.0505514705882353,100,0.0131302521008403,74,0.00971638655462185,15,0.00196953781512605,88,0.0115546218487395
