"butik","vecka","datum","antal_kvitton","zoner_count_TOTAL","zoner_convrate_TOTAL","zoner_count_Inkastare_entré","zoner_convrate_Inkastare_entré","zoner_count_Bake_off","zoner_convrate_Bake_off","zoner_count_Mejeri","zoner_convrate_Mejeri","zoner_count_Gavel_1","zoner_convrate_Gavel_1","zoner_count_Gavel_2","zoner_convrate_Gavel_2","kampanj_count_TOTAL","kampanj_convrate_TOTAL","skylttyp_count_kampanjvara","skylttyp_convrate_kampanjvara","kampanj_count_Kampanj_1_F&G_1","kampanj_convrate_Kampanj_1_F&G_1","kampanj_count_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_convrate_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_count_Kampanj_1_Mejeri","kampanj_convrate_Kampanj_1_Mejeri","kampanj_count_Kampanj_3_Bomben","kampanj_convrate_Kampanj_3_Bomben","kampanj_count_ABP","kampanj_convrate_ABP","skylttyp_count_TOTAL","skylttyp_convrate_TOTAL","skylttyp_count_veckans_klipp","skylttyp_convrate_veckans_klipp","skylttyp_count_alltid_bra_pris","skylttyp_convrate_alltid_bra_pris","skylttyp_count_klubbpris","skylttyp_convrate_klubbpris"
"UPPSALA VÄSTERTORG",202234,2022-08-28,1009,84,0.0832507433102081,15,0.0148662041625372,27,0.0267591674925669,36,0.0356788899900892,0,0,6,0.00594648166501487,84,0.0832507433102081,15,0.0148662041625372,15,0.0148662041625372,27,0.0267591674925669,36,0.0356788899900892,0,0,6,0.00594648166501487,84,0.0832507433102081,0,0,33,0.0327056491575818,36,0.0356788899900892
"UPPSALA VÄSTERTORG",202234,2022-08-27,1075,264,0.245581395348837,110,0.102325581395349,13,0.012093023255814,39,0.0362790697674419,102,0.0948837209302326,0,0,264,0.245581395348837,110,0.102325581395349,110,0.102325581395349,13,0.012093023255814,39,0.0362790697674419,102,0.0948837209302326,0,0,264,0.245581395348837,102,0.0948837209302326,13,0.012093023255814,39,0.0362790697674419
"UPPSALA VÄSTERTORG",202234,2022-08-26,1338,485,0.362481315396114,218,0.162929745889387,21,0.015695067264574,43,0.0321375186846039,196,0.146487294469357,7,0.00523168908819133,485,0.362481315396114,218,0.162929745889387,218,0.162929745889387,21,0.015695067264574,43,0.0321375186846039,196,0.146487294469357,7,0.00523168908819133,485,0.362481315396114,196,0.146487294469357,28,0.0209267563527653,43,0.0321375186846039
"UPPSALA VÄSTERTORG",202234,2022-08-25,1215,422,0.347325102880658,184,0.151440329218107,25,0.0205761316872428,44,0.0362139917695473,167,0.137448559670782,2,0.00164609053497942,422,0.347325102880658,184,0.151440329218107,184,0.151440329218107,25,0.0205761316872428,44,0.0362139917695473,167,0.137448559670782,2,0.00164609053497942,422,0.347325102880658,167,0.137448559670782,27,0.0222222222222222,44,0.0362139917695473
"UPPSALA VÄSTERTORG",202234,2022-08-24,1234,299,0.242301458670989,126,0.102106969205835,18,0.0145867098865478,46,0.0372771474878444,109,0.0883306320907618,0,0,299,0.242301458670989,126,0.102106969205835,126,0.102106969205835,18,0.0145867098865478,46,0.0372771474878444,109,0.0883306320907618,0,0,299,0.242301458670989,109,0.0883306320907618,18,0.0145867098865478,46,0.0372771474878444
"UPPSALA VÄSTERTORG",202234,2022-08-23,1295,359,0.277220077220077,142,0.10965250965251,36,0.0277992277992278,55,0.0424710424710425,123,0.094980694980695,3,0.00231660231660232,359,0.277220077220077,142,0.10965250965251,142,0.10965250965251,36,0.0277992277992278,55,0.0424710424710425,123,0.094980694980695,3,0.00231660231660232,359,0.277220077220077,123,0.094980694980695,39,0.0301158301158301,55,0.0424710424710425
"UPPSALA VÄSTERTORG",202234,2022-08-22,1273,455,0.357423409269442,202,0.158680282796544,17,0.0133542812254517,55,0.0432050274941084,181,0.142183817753339,0,0,455,0.357423409269442,202,0.158680282796544,202,0.158680282796544,17,0.0133542812254517,55,0.0432050274941084,181,0.142183817753339,0,0,455,0.357423409269442,181,0.142183817753339,17,0.0133542812254517,55,0.0432050274941084
"UPPSALA VÄSTERTORG",202233,2022-08-21,1089,31,0.0284664830119376,9,0.00826446280991736,5,0.00459136822773186,8,0.00734618916437098,5,0.00459136822773186,4,0.00367309458218549,31,0.0284664830119376,9,0.00826446280991736,9,0.00826446280991736,5,0.00459136822773186,8,0.00734618916437098,5,0.00459136822773186,4,0.00367309458218549,31,0.0284664830119376,5,0.00459136822773186,9,0.00826446280991736,8,0.00734618916437098
"UPPSALA VÄSTERTORG",202233,2022-08-20,1063,49,0.0460959548447789,10,0.00940733772342427,27,0.0253998118532455,4,0.00376293508936971,6,0.00564440263405456,2,0.00188146754468485,49,0.0460959548447789,10,0.00940733772342427,10,0.00940733772342427,27,0.0253998118532455,4,0.00376293508936971,6,0.00564440263405456,2,0.00188146754468485,49,0.0460959548447789,6,0.00564440263405456,29,0.0272812793979304,4,0.00376293508936971
"UPPSALA VÄSTERTORG",202233,2022-08-19,1349,40,0.0296515937731653,9,0.00667160859896219,20,0.0148257968865827,5,0.00370644922164566,6,0.0044477390659748,0,0,40,0.0296515937731653,9,0.00667160859896219,9,0.00667160859896219,20,0.0148257968865827,5,0.00370644922164566,6,0.0044477390659748,0,0,40,0.0296515937731653,6,0.0044477390659748,20,0.0148257968865827,5,0.00370644922164566
"UPPSALA VÄSTERTORG",202233,2022-08-18,1299,43,0.0331023864511162,6,0.0046189376443418,19,0.014626635873749,13,0.0100076982294072,3,0.0023094688221709,2,0.00153964588144727,43,0.0331023864511162,6,0.0046189376443418,6,0.0046189376443418,19,0.014626635873749,13,0.0100076982294072,3,0.0023094688221709,2,0.00153964588144727,43,0.0331023864511162,3,0.0023094688221709,21,0.0161662817551963,13,0.0100076982294072
"UPPSALA VÄSTERTORG",202233,2022-08-17,1224,37,0.0302287581699346,5,0.00408496732026144,23,0.0187908496732026,3,0.00245098039215686,1,0.000816993464052288,5,0.00408496732026144,37,0.0302287581699346,5,0.00408496732026144,5,0.00408496732026144,23,0.0187908496732026,3,0.00245098039215686,1,0.000816993464052288,5,0.00408496732026144,37,0.0302287581699346,1,0.000816993464052288,28,0.0228758169934641,3,0.00245098039215686
"UPPSALA VÄSTERTORG",202233,2022-08-16,1253,48,0.0383080606544294,5,0.00399042298483639,32,0.0255387071029529,5,0.00399042298483639,1,0.000798084596967279,5,0.00399042298483639,48,0.0383080606544294,5,0.00399042298483639,5,0.00399042298483639,32,0.0255387071029529,5,0.00399042298483639,1,0.000798084596967279,5,0.00399042298483639,48,0.0383080606544294,1,0.000798084596967279,37,0.0295291300877893,5,0.00399042298483639
"UPPSALA VÄSTERTORG",202233,2022-08-15,1300,42,0.0323076923076923,6,0.00461538461538462,20,0.0153846153846154,4,0.00307692307692308,1,0.000769230769230769,11,0.00846153846153846,42,0.0323076923076923,6,0.00461538461538462,6,0.00461538461538462,20,0.0153846153846154,4,0.00307692307692308,1,0.000769230769230769,11,0.00846153846153846,42,0.0323076923076923,1,0.000769230769230769,31,0.0238461538461538,4,0.00307692307692308
"UPPSALA VÄSTERTORG",202232,2022-08-14,1079,46,0.0426320667284523,12,0.0111214087117702,23,0.0213160333642261,7,0.00648748841519926,3,0.00278035217794254,1,0.00092678405931418,46,0.0426320667284523,12,0.0111214087117702,12,0.0111214087117702,23,0.0213160333642261,7,0.00648748841519926,3,0.00278035217794254,1,0.00092678405931418,46,0.0426320667284523,3,0.00278035217794254,24,0.0222428174235403,7,0.00648748841519926
"UPPSALA VÄSTERTORG",202232,2022-08-13,984,34,0.0345528455284553,14,0.0142276422764228,16,0.016260162601626,0,0,4,0.0040650406504065,0,0,34,0.0345528455284553,14,0.0142276422764228,14,0.0142276422764228,16,0.016260162601626,0,0,4,0.0040650406504065,0,0,34,0.0345528455284553,4,0.0040650406504065,16,0.016260162601626,0,0
"UPPSALA VÄSTERTORG",202232,2022-08-12,1101,43,0.03905540417802,11,0.00999091734786558,24,0.0217983651226158,3,0.00272479564032698,3,0.00272479564032698,2,0.00181653042688465,43,0.03905540417802,11,0.00999091734786558,11,0.00999091734786558,24,0.0217983651226158,3,0.00272479564032698,3,0.00272479564032698,2,0.00181653042688465,43,0.03905540417802,3,0.00272479564032698,26,0.0236148955495005,3,0.00272479564032698
"UPPSALA VÄSTERTORG",202232,2022-08-11,1068,31,0.0290262172284644,9,0.00842696629213483,14,0.0131086142322097,6,0.00561797752808989,2,0.00187265917602996,0,0,31,0.0290262172284644,9,0.00842696629213483,9,0.00842696629213483,14,0.0131086142322097,6,0.00561797752808989,2,0.00187265917602996,0,0,31,0.0290262172284644,2,0.00187265917602996,14,0.0131086142322097,6,0.00561797752808989
"UPPSALA VÄSTERTORG",202232,2022-08-10,1063,30,0.0282220131702728,3,0.00282220131702728,21,0.019755409219191,5,0.00470366886171214,0,0,1,0.000940733772342427,30,0.0282220131702728,3,0.00282220131702728,3,0.00282220131702728,21,0.019755409219191,5,0.00470366886171214,0,0,1,0.000940733772342427,30,0.0282220131702728,0,0,22,0.0206961429915334,5,0.00470366886171214
"UPPSALA VÄSTERTORG",202232,2022-08-09,1032,43,0.0416666666666667,10,0.00968992248062015,21,0.0203488372093023,8,0.00775193798449612,4,0.00387596899224806,0,0,43,0.0416666666666667,10,0.00968992248062015,10,0.00968992248062015,21,0.0203488372093023,8,0.00775193798449612,4,0.00387596899224806,0,0,43,0.0416666666666667,4,0.00387596899224806,21,0.0203488372093023,8,0.00775193798449612
"UPPSALA VÄSTERTORG",202232,2022-08-08,1137,56,0.0492524186455585,7,0.00615655233069481,24,0.0211081794195251,14,0.0123131046613896,3,0.00263852242744063,8,0.00703605980650836,56,0.0492524186455585,7,0.00615655233069481,7,0.00615655233069481,24,0.0211081794195251,14,0.0123131046613896,3,0.00263852242744063,8,0.00703605980650836,56,0.0492524186455585,3,0.00263852242744063,32,0.0281442392260334,14,0.0123131046613896
"UPPSALA VÄSTERTORG",202231,2022-08-07,971,39,0.0401647785787848,12,0.0123583934088568,14,0.0144181256436663,6,0.00617919670442842,7,0.00720906282183316,0,0,39,0.0401647785787848,12,0.0123583934088568,12,0.0123583934088568,14,0.0144181256436663,6,0.00617919670442842,7,0.00720906282183316,0,0,39,0.0401647785787848,7,0.00720906282183316,14,0.0144181256436663,6,0.00617919670442842
