"butik","vecka","datum","antal_kvitton","zoner_count_TOTAL","zoner_convrate_TOTAL","zoner_count_Inkastare_entré","zoner_convrate_Inkastare_entré","zoner_count_F&G","zoner_convrate_F&G","zoner_count_Bröd","zoner_convrate_Bröd","zoner_count_Bake_off","zoner_convrate_Bake_off","zoner_count_Fisk","zoner_convrate_Fisk","zoner_count_Deli","zoner_convrate_Deli","zoner_count_Frys","zoner_convrate_Frys","zoner_count_Mejeri","zoner_convrate_Mejeri","zoner_count_Gavel_1","zoner_convrate_Gavel_1","zoner_count_Gavel_2","zoner_convrate_Gavel_2","zoner_count_Gavel_3","zoner_convrate_Gavel_3","kampanj_count_TOTAL","kampanj_convrate_TOTAL","skylttyp_count_kampanjvara","skylttyp_convrate_kampanjvara","kampanj_count_Kampanj_1_F&G_1","kampanj_convrate_Kampanj_1_F&G_1","kampanj_count_Kampanj_2_Hero_protein","kampanj_convrate_Kampanj_2_Hero_protein","kampanj_count_Kampanj_3_Bomben","kampanj_convrate_Kampanj_3_Bomben","kampanj_count_Kampanj_2_F&G_2","kampanj_convrate_Kampanj_2_F&G_2","kampanj_count_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_convrate_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_count_Kampanj_2_om_vi_inte_har_två_kör_vi_Garant_hamburgerbröd_Brioche_ord_pris_ABP?","kampanj_convrate_Kampanj_2_om_vi_inte_har_två_kör_vi_Garant_hamburgerbröd_Brioche_ord_pris_ABP?","kampanj_count_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_convrate_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_count_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_convrate_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_count_Kampanj_1_bladet_eller_Lax","kampanj_convrate_Kampanj_1_bladet_eller_Lax","kampanj_count_Mölnlycke","kampanj_convrate_Mölnlycke","kampanj_count_Triangeln","kampanj_convrate_Triangeln","kampanj_count_Kampanj_1","kampanj_convrate_Kampanj_1","kampanj_count_Kampanj_2","kampanj_convrate_Kampanj_2","kampanj_count_ABP_3_för_25","kampanj_convrate_ABP_3_för_25","kampanj_count_ABP_2_för_28","kampanj_convrate_ABP_2_för_28","kampanj_count_Kampanj_1_snacks","kampanj_convrate_Kampanj_1_snacks","kampanj_count_Kampanj_2_Snacks_choklad_ABP_om_det_finns","kampanj_convrate_Kampanj_2_Snacks_choklad_ABP_om_det_finns","skylttyp_count_TOTAL","skylttyp_convrate_TOTAL","skylttyp_count_klubbpris","skylttyp_convrate_klubbpris","skylttyp_count_veckans_klipp","skylttyp_convrate_veckans_klipp","skylttyp_count_alltid_bra_pris","skylttyp_convrate_alltid_bra_pris","skylttyp_count_ordinariepris","skylttyp_convrate_ordinariepris"
"UPPSALA VÄSTERTORG",202236,2022-09-11,1407,418,0.297085998578536,92,0.0653873489694385,126,0.0895522388059701,31,0.0220326936744847,37,0.0262970859985785,0,0,1,0.000710732054015636,1,0.000710732054015636,82,0.0582800284292822,26,0.0184790334044065,6,0.00426439232409382,16,0.0113717128642502,335,0.238095238095238,166,0.117981520966596,83,0.0589907604832978,0,0,9,0.00639658848614072,43,0.0305614783226724,0,0,31,0.0220326936744847,29,0.0206112295664534,8,0.00568585643212509,0,0,1,0.000710732054015636,0,0,4,0.00284292821606254,79,0.0561478322672352,26,0.0184790334044065,6,0.00426439232409382,7,0.00497512437810945,9,0.00639658848614072,335,0.238095238095238,83,0.0589907604832978,9,0.00639658848614072,76,0.0540156361051883,1,0.000710732054015636
"UPPSALA VÄSTERTORG",202236,2022-09-10,959,337,0.35140771637122,80,0.0834202294056309,92,0.0959332638164755,55,0.0573514077163712,16,0.0166840458811262,0,0,6,0.00625651720542232,10,0.0104275286757039,51,0.0531803962460897,10,0.0104275286757039,4,0.00417101147028154,13,0.013555787278415,292,0.304483837330553,154,0.160583941605839,45,0.0469238790406674,0,0,35,0.0364963503649635,47,0.0490093847758081,31,0.032325338894682,24,0.0250260688216893,11,0.0114702815432742,5,0.00521376433785193,0,0,6,0.00625651720542232,0,0,18,0.0187695516162669,43,0.0448383733055266,10,0.0104275286757039,4,0.00417101147028154,6,0.00625651720542232,7,0.0072992700729927,292,0.304483837330553,61,0.0636079249217935,35,0.0364963503649635,36,0.0375391032325339,6,0.00625651720542232
"UPPSALA VÄSTERTORG",202236,2022-09-09,1335,622.826,0.466536329588015,225,0.168539325842697,126,0.0943820224719101,102,0.0764044943820225,39,0.0292134831460674,4.826,0.00361498127340824,5,0.00374531835205993,18,0.0134831460674157,33,0.0247191011235955,26,0.0194756554307116,6,0.00449438202247191,38,0.0284644194756554,546.826,0.409607490636704,258.826,0.193877153558052,76,0.0569288389513109,12,0.00898876404494382,137,0.102621722846442,50,0.0374531835205993,72,0.0539325842696629,30,0.0224719101123595,18,0.0134831460674157,21,0.0157303370786517,4.826,0.00361498127340824,5,0.00374531835205993,0,0,34,0.0254681647940075,17,0.0127340823970037,26,0.0194756554307116,6,0.00449438202247191,12,0.00898876404494382,26,0.0194756554307116,546.826,0.409607490636704,63,0.0471910112359551,137,0.102621722846442,83,0.0621722846441948,5,0.00374531835205993
"UPPSALA VÄSTERTORG",202236,2022-09-08,1266,505.96,0.399652448657188,215,0.169826224328594,99,0.0781990521327014,59,0.0466034755134281,51,0.0402843601895735,2.96,0.00233807266982622,8,0.00631911532385466,10,0.00789889415481832,33,0.0260663507109005,17,0.0134281200631912,2,0.00157977883096367,9,0.00710900473933649,444.96,0.351469194312796,165.96,0.131090047393365,61,0.0481832543443918,16,0.0126382306477093,138,0.109004739336493,38,0.0300157977883096,26,0.0205371248025276,33,0.0260663507109005,28,0.0221169036334913,23,0.0181674565560821,2.96,0.00233807266982622,8,0.00631911532385466,0,0,26,0.0205371248025276,17,0.0134281200631912,17,0.0134281200631912,2,0.00157977883096367,4,0.00315955766192733,5,0.00394944707740916,444.96,0.351469194312796,59,0.0466034755134281,138,0.109004739336493,74,0.0584518167456556,8,0.00631911532385466
"UPPSALA VÄSTERTORG",202236,2022-09-07,1324,590.732,0.446172205438066,196,0.148036253776435,105,0.0793051359516616,120,0.0906344410876133,42,0.0317220543806647,4.732,0.00357401812688822,7,0.00528700906344411,27,0.020392749244713,49,0.0370090634441088,26,0.0196374622356495,4,0.00302114803625378,10,0.00755287009063444,543.732,0.410673716012085,236.732,0.178800604229607,47,0.0354984894259819,12,0.00906344410876133,137,0.103474320241692,58,0.0438066465256798,93,0.0702416918429003,27,0.020392749244713,32,0.0241691842900302,10,0.00755287009063444,4.732,0.00357401812688822,7,0.00528700906344411,0,0,50,0.0377643504531722,26,0.0196374622356495,26,0.0196374622356495,4,0.00302114803625378,3,0.00226586102719033,7,0.00528700906344411,543.732,0.410673716012085,88,0.0664652567975831,137,0.103474320241692,75,0.0566465256797583,7,0.00528700906344411
"UPPSALA VÄSTERTORG",202236,2022-09-06,1339,562.748,0.420274831964152,229,0.171023151605676,127,0.0948469006721434,66,0.0492905153099328,44,0.0328603435399552,5.748,0.00429275578790142,6,0.00448095593726662,22,0.0164301717699776,46,0.0343539955190441,10,0.00746825989544436,0,0,7,0.00522778192681105,485.748,0.362769230769231,200.748,0.149923823749066,77,0.0575056011949216,12,0.00896191187453323,140,0.104555638536221,50,0.0373412994772218,36,0.0268857356235997,30,0.0224047796863331,33,0.0246452576549664,11,0.0082150858849888,5.748,0.00429275578790142,6,0.00448095593726662,0,0,44,0.0328603435399552,24,0.0179238237490665,10,0.00746825989544436,0,0,5,0.00373412994772218,2,0.00149365197908887,485.748,0.362769230769231,80,0.0597460791635549,140,0.104555638536221,59,0.0440627333831217,6,0.00448095593726662
"UPPSALA VÄSTERTORG",202236,2022-09-05,1317,660.068,0.501190584662111,292,0.22171602126044,137,0.104024297646166,107,0.0812452543659833,34,0.0258162490508732,1.068,0.000810933940774488,2,0.00151860288534548,23,0.017463933181473,41,0.0311313591495824,14,0.0106302201974184,1,0.000759301442672741,8,0.00607441154138193,605.068,0.45942900531511,251.068,0.19063629460896,55,0.0417615793470008,21,0.0159453302961276,216,0.164009111617312,82,0.0622627182991648,87,0.0660592255125285,20,0.0151860288534548,24,0.0182232346241458,10,0.00759301442672741,1.068,0.000810933940774488,2,0.00151860288534548,0,0,48,0.0364464692482916,16,0.0121488230827639,14,0.0106302201974184,1,0.000759301442672741,2,0.00151860288534548,6,0.00455580865603645,605.068,0.45942900531511,85,0.064540622627183,216,0.164009111617312,51,0.0387243735763098,2,0.00151860288534548
"UPPSALA VÄSTERTORG",202233,2022-08-21,1089,194,0.178145087235996,81,0.0743801652892562,61,0.0560146923783287,5,0.00459136822773186,8,0.00734618916437098,0,0,4,0.00367309458218549,2,0.00183654729109275,13,0.0119375573921028,6,0.00550964187327824,4,0.00367309458218549,10,0.00918273645546373,133,0.122130394857668,70,0.0642791551882461,61,0.0560146923783287,0,0,20,0.0183654729109275,0,0,0,0,5,0.00459136822773186,5,0.00459136822773186,3,0.00275482093663912,0,0,4,0.00367309458218549,0,0,8,0.00734618916437098,7,0.00642791551882461,6,0.00550964187327824,4,0.00367309458218549,6,0.00550964187327824,4,0.00367309458218549,133,0.122130394857668,15,0.0137741046831956,20,0.0183654729109275,24,0.0220385674931129,4,0.00367309458218549
"UPPSALA VÄSTERTORG",202233,2022-08-20,1063,232.455,0.218678269049859,75,0.070555032925682,63,0.0592662276575729,7,0.00658513640639699,35,0.0329256820319849,2.455,0.00230950141110066,4,0.00376293508936971,1,0.000940733772342427,11,0.0103480714957667,8,0.00752587017873942,2,0.00188146754468485,24,0.0225776105362183,169.455,0.159412041392286,87.455,0.082271872060207,63,0.0592662276575729,3,0.00282220131702728,9,0.00846660395108184,0,0,0,0,7,0.00658513640639699,27,0.0253998118532455,8,0.00752587017873942,2.455,0.00230950141110066,4,0.00376293508936971,0,0,5,0.00470366886171214,7,0.00658513640639699,8,0.00752587017873942,2,0.00188146754468485,9,0.00846660395108184,15,0.0141110065851364,169.455,0.159412041392286,15,0.0141110065851364,9,0.00846660395108184,54,0.0507996237064911,4,0.00376293508936971
"UPPSALA VÄSTERTORG",202233,2022-08-19,1349,250.04,0.185352112676056,92,0.0681986656782802,76,0.0563380281690141,5,0.00370644922164566,24,0.0177909562638992,4.04,0.0029948109710897,3,0.0022238695329874,1,0.000741289844329133,14,0.0103780578206079,11,0.00815418828762046,0,0,20,0.0148257968865827,174.04,0.129014084507042,99.04,0.0734173461823573,76,0.0563380281690141,4,0.00296515937731653,12,0.00889547813194959,0,0,0,0,5,0.00370644922164566,20,0.0148257968865827,4,0.00296515937731653,4.04,0.0029948109710897,3,0.0022238695329874,0,0,5,0.00370644922164566,10,0.00741289844329133,11,0.00815418828762046,0,0,6,0.0044477390659748,14,0.0103780578206079,174.04,0.129014084507042,19,0.0140845070422535,12,0.00889547813194959,41,0.0303928836174944,3,0.0022238695329874
