"butik","vecka","datum","antal_kvitton","zoner_count_TOTAL","zoner_convrate_TOTAL","zoner_count_Inkastare_entré","zoner_convrate_Inkastare_entré","zoner_count_F&G","zoner_convrate_F&G","zoner_count_Bröd","zoner_convrate_Bröd","zoner_count_Bake_off","zoner_convrate_Bake_off","zoner_count_Fisk","zoner_convrate_Fisk","zoner_count_Deli","zoner_convrate_Deli","zoner_count_Frys","zoner_convrate_Frys","zoner_count_Mejeri","zoner_convrate_Mejeri","zoner_count_Gavel_1","zoner_convrate_Gavel_1","zoner_count_Gavel_2","zoner_convrate_Gavel_2","zoner_count_Gavel_3","zoner_convrate_Gavel_3","kampanj_count_TOTAL","kampanj_convrate_TOTAL","skylttyp_count_kampanjvara","skylttyp_convrate_kampanjvara","kampanj_count_Kampanj_1_F&G_1","kampanj_convrate_Kampanj_1_F&G_1","kampanj_count_Kampanj_2_Hero_protein","kampanj_convrate_Kampanj_2_Hero_protein","kampanj_count_Kampanj_3_Bomben","kampanj_convrate_Kampanj_3_Bomben","kampanj_count_Kampanj_2_F&G_2","kampanj_convrate_Kampanj_2_F&G_2","kampanj_count_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_convrate_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_count_Kampanj_2_om_vi_inte_har_två_kör_vi_Garant_hamburgerbröd_Brioche_ord_pris_ABP?","kampanj_convrate_Kampanj_2_om_vi_inte_har_två_kör_vi_Garant_hamburgerbröd_Brioche_ord_pris_ABP?","kampanj_count_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_convrate_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_count_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_convrate_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_count_Kampanj_1_bladet_eller_Lax","kampanj_convrate_Kampanj_1_bladet_eller_Lax","kampanj_count_Kampanj_1_Deli","kampanj_convrate_Kampanj_1_Deli","kampanj_count_Kampanj_2_Deli","kampanj_convrate_Kampanj_2_Deli","kampanj_count_Kampanj_3_Deli","kampanj_convrate_Kampanj_3_Deli","kampanj_count_Kampanj_1_Frys","kampanj_convrate_Kampanj_1_Frys","kampanj_count_Kampanj_1_Mejeri","kampanj_convrate_Kampanj_1_Mejeri","kampanj_count_Kampanj_2_Mejeri","kampanj_convrate_Kampanj_2_Mejeri","kampanj_count_Vara_1_Gavel_1","kampanj_convrate_Vara_1_Gavel_1","kampanj_count_Vara_2_Gavel_1","kampanj_convrate_Vara_2_Gavel_1","kampanj_count_Vara_1_Gavel_2","kampanj_convrate_Vara_1_Gavel_2","kampanj_count_Kampanj_2_Snacks_choklad_ABP_om_det_finns","kampanj_convrate_Kampanj_2_Snacks_choklad_ABP_om_det_finns","skylttyp_count_TOTAL","skylttyp_convrate_TOTAL","skylttyp_count_klubbpris","skylttyp_convrate_klubbpris","skylttyp_count_veckans_klipp","skylttyp_convrate_veckans_klipp","skylttyp_count_alltid_bra_pris","skylttyp_convrate_alltid_bra_pris","skylttyp_count_ordinarie","skylttyp_convrate_ordinarie"
"UPPSALA VÄSTERTORG",202237,2022-09-18,1074,353.245,0.328905959031657,164,0.152700186219739,66.245,0.0616806331471136,14,0.0130353817504655,35,0.0325884543761639,0,0,4,0.0037243947858473,2,0.00186219739292365,47,0.0437616387337058,6,0.00558659217877095,4,0.0037243947858473,11,0.0102420856610801,314.245,0.292593109869646,63.245,0.0588873370577281,39,0.0363128491620112,0,0,125,0.116387337057728,27.245,0.0253677839851024,11,0.0102420856610801,3,0.00279329608938547,29,0.0270018621973929,6,0.00558659217877095,0,0,0,0,0,0,4,0.0037243947858473,2,0.00186219739292365,31,0.0288640595903166,16,0.0148975791433892,5,0.00465549348230913,1,0.000931098696461825,4,0.0037243947858473,11,0.0102420856610801,314.245,0.292593109869646,110,0.102420856610801,125,0.116387337057728,15,0.0139664804469274,1,0.000931098696461825
"UPPSALA VÄSTERTORG",202237,2022-09-17,1092,372.541,0.341154761904762,112.076,0.1026336996337,57.465,0.0526236263736264,12,0.010989010989011,49,0.0448717948717949,0,0,13,0.0119047619047619,8,0.00732600732600733,82,0.0750915750915751,10,0.00915750915750916,2,0.00183150183150183,27,0.0247252747252747,346.541,0.317345238095238,124.541,0.114048534798535,26,0.0238095238095238,2.076,0.0019010989010989,84,0.0769230769230769,31.465,0.0288141025641026,7,0.00641025641025641,5,0.00457875457875458,39,0.0357142857142857,10,0.00915750915750916,0,0,0,0,0,0,13,0.0119047619047619,8,0.00732600732600733,24,0.021978021978022,58,0.0531135531135531,6,0.00549450549450549,4,0.00366300366300366,2,0.00183150183150183,27,0.0247252747252747,346.541,0.317345238095238,116,0.106227106227106,84,0.0769230769230769,18,0.0164835164835165,4,0.00366300366300366
"UPPSALA VÄSTERTORG",202237,2022-09-16,1279,306.215,0.239417513682564,45.065,0.0352345582486317,60.15,0.0470289288506646,23,0.017982799061767,43,0.0336200156372166,0,0,11,0.00860046911649726,4,0.00312744331508991,68,0.0531665363565285,23,0.017982799061767,2,0.00156372165754496,27,0.0211102423768569,275.215,0.215179827990618,113.215,0.0885183737294762,31,0.0242376856919468,7.065,0.00552384675527756,7,0.00547302580140735,29.15,0.0227912431587177,15,0.0117279124315872,8,0.00625488663017983,33,0.0258014073494918,10,0.00781860828772478,0,0,0,0,0,0,11,0.00860046911649726,4,0.00312744331508991,29,0.0226739640344019,39,0.0304925723221267,11,0.00860046911649726,12,0.00938232994526974,2,0.00156372165754496,27,0.0211102423768569,275.215,0.215179827990618,120,0.0938232994526974,7,0.00547302580140735,23,0.017982799061767,12,0.00938232994526974
"UPPSALA VÄSTERTORG",202237,2022-09-15,1176,391.95,0.333290816326531,159,0.135204081632653,43.95,0.0373724489795918,21,0.0178571428571429,62,0.0527210884353742,0,0,8,0.00680272108843537,9,0.0076530612244898,70,0.0595238095238095,10,0.00850340136054422,2,0.00170068027210884,7,0.00595238095238095,369.95,0.314583333333333,89.95,0.0764880952380952,22,0.0187074829931973,0,0,137,0.116496598639456,21.95,0.0186649659863946,17,0.0144557823129252,4,0.00340136054421769,47,0.0399659863945578,15,0.0127551020408163,0,0,0,0,0,0,8,0.00680272108843537,9,0.0076530612244898,40,0.0340136054421769,30,0.0255102040816327,4,0.00340136054421769,6,0.00510204081632653,2,0.00170068027210884,7,0.00595238095238095,369.95,0.314583333333333,116,0.0986394557823129,137,0.116496598639456,21,0.0178571428571429,6,0.00510204081632653
"UPPSALA VÄSTERTORG",202237,2022-09-14,1213,484.395,0.399336356141797,164,0.13520197856554,38.395,0.0316529266281946,35,0.0288540807914262,81,0.0667765869744435,0,0,13,0.010717230008244,3,0.00247320692497939,121,0.0997526793075021,9,0.00741962077493817,4,0.00329760923330585,16,0.0131904369332234,468.395,0.386145919208574,122.395,0.100902720527617,16,0.0131904369332234,0,0,148,0.122011541632317,22.395,0.0184624896949711,26,0.021434460016488,9,0.00741962077493817,64,0.0527617477328937,17,0.0140148392415499,0,0,0,0,0,0,13,0.010717230008244,3,0.00247320692497939,72,0.0593569661995054,49,0.0403957131079967,6,0.00494641384995878,3,0.00247320692497939,4,0.00329760923330585,16,0.0131904369332234,468.395,0.386145919208574,168,0.138499587798846,148,0.122011541632317,27,0.0222588623248145,3,0.00247320692497939
"UPPSALA VÄSTERTORG",202237,2022-09-13,1089,475.155,0.436322314049587,190.555,0.174981634527089,44.6,0.0409550045913682,34,0.0312213039485767,49,0.0449954086317723,1,0.000918273645546373,7,0.00642791551882461,6,0.00550964187327824,108,0.0991735537190083,10,0.00918273645546373,4,0.00367309458218549,21,0.0192837465564738,452.155,0.41520202020202,148.155,0.136046831955923,23,0.0211202938475666,3.555,0.00326446280991736,164,0.150596877869605,21.6,0.0198347107438017,22,0.0202020202020202,12,0.0110192837465565,37,0.0339761248852158,12,0.0110192837465565,1,0.000918273645546373,0,0,0,0,7,0.00642791551882461,6,0.00550964187327824,33,0.0303030303030303,75,0.068870523415978,7,0.00642791551882461,3,0.00275482093663912,4,0.00367309458218549,21,0.0192837465564738,452.155,0.41520202020202,114,0.104683195592287,164,0.150596877869605,23,0.0211202938475666,3,0.00275482093663912
"UPPSALA VÄSTERTORG",202237,2022-09-12,1229,497.862,0.405095199349064,215.172,0.175078925956062,59.69,0.0485679414157852,22,0.0179007323026851,54,0.0439381611065907,3,0.00244100895036615,7,0.00569568755085435,9,0.00732302685109845,99,0.080553295362083,5,0.00406834825061025,3,0.00244100895036615,21,0.0170870626525631,462.862,0.376616761594793,136.862,0.111360455655004,35,0.0284784377542718,8.172,0.0066493083807974,172,0.139951179820993,24.69,0.0200895036615134,21,0.0170870626525631,1,0.00081366965012205,42,0.0341741253051261,12,0.00976403580146461,3,0.00244100895036615,0,0,0,0,7,0.00569568755085435,9,0.00732302685109845,36,0.0292921074043938,63,0.0512611879576892,3,0.00244100895036615,2,0.0016273393002441,3,0.00244100895036615,21,0.0170870626525631,462.862,0.376616761594792,134,0.109031733116355,172,0.139951179820993,18,0.0146460537021969,2,0.0016273393002441
"UPPSALA VÄSTERTORG",202233,2022-08-21,1089,61.305,0.0562947658402204,2,0.00183654729109275,13.305,0.0122176308539945,9,0.00826446280991736,10,0.00918273645546373,0,0,0,0,1,0.000918273645546373,15,0.0137741046831956,6,0.00550964187327824,4,0.00367309458218549,1,0.000918273645546373,59.305,0.0544582185491276,29.305,0.0269100091827365,2,0.00183654729109275,0,0,0,0,11.305,0.0103810835629017,7,0.00642791551882461,2,0.00183654729109275,0,0,10,0.00918273645546373,0,0,0,0,0,0,0,0,1,0.000918273645546373,7,0.00642791551882461,8,0.00734618916437098,5,0.00459136822773186,1,0.000918273645546373,4,0.00367309458218549,1,0.000918273645546373,59.305,0.0544582185491276,10,0.00918273645546373,0,0,19,0.0174471992653811,1,0.000918273645546373
"UPPSALA VÄSTERTORG",202233,2022-08-20,1063,50.94,0.0479209783631232,0,0,15.94,0.0149952963311383,5,0.00470366886171214,6,0.00564440263405456,0,0,0,0,1,0.000940733772342427,15,0.0141110065851364,5,0.00470366886171214,2,0.00188146754468485,1,0.000940733772342427,50.94,0.0479209783631232,25.94,0.0244026340545626,0,0,0,0,0,0,15.94,0.0149952963311383,2,0.00188146754468485,3,0.00282220131702728,0,0,6,0.00564440263405456,0,0,0,0,0,0,0,0,1,0.000940733772342427,11,0.0103480714957667,4,0.00376293508936971,2,0.00188146754468485,3,0.00282220131702728,2,0.00188146754468485,1,0.000940733772342427,50.94,0.0479209783631232,12,0.0112888052681091,0,0,10,0.00940733772342427,3,0.00282220131702728
"UPPSALA VÄSTERTORG",202233,2022-08-19,1349,55.655,0.0412564862861379,1,0.000741289844329133,15.655,0.0116048925129726,4,0.00296515937731653,13,0.00963676797627873,0,0,0,0,3,0.0022238695329874,5,0.00370644922164566,10,0.00741289844329133,0,0,4,0.00296515937731653,54.655,0.0405151964418087,26.655,0.019759080800593,1,0.000741289844329133,0,0,0,0,14.655,0.0108636026686434,2,0.00148257968865827,2,0.00148257968865827,5,0.00370644922164566,8,0.00593031875463306,0,0,0,0,0,0,0,0,3,0.0022238695329874,0,0,5,0.00370644922164566,7,0.00518902891030393,3,0.0022238695329874,0,0,4,0.00296515937731653,54.655,0.0405151964418087,10,0.00741289844329133,0,0,15,0.011119347664937,3,0.0022238695329874
"UPPSALA VÄSTERTORG",202233,2022-08-18,1299,50.28,0.0387066974595843,0,0,11.28,0.00868360277136259,9,0.0069284064665127,0,0,0,0,0,0,0,0,22,0.0169361046959199,3,0.0023094688221709,2,0.00153964588144727,3,0.0023094688221709,50.28,0.0387066974595843,33.28,0.0256197074672825,0,0,0,0,0,0,11.28,0.00868360277136259,9,0.0069284064665127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.0069284064665127,13,0.0100076982294072,0,0,3,0.0023094688221709,2,0.00153964588144727,3,0.0023094688221709,50.28,0.0387066974595843,12,0.0092378752886836,0,0,2,0.00153964588144727,3,0.0023094688221709
"UPPSALA VÄSTERTORG",202233,2022-08-17,1224,50.435,0.0412050653594771,2,0.00163398692810458,15.435,0.0126102941176471,11,0.00898692810457516,4,0.00326797385620915,0,0,0,0,2,0.00163398692810458,6,0.00490196078431373,5,0.00408496732026144,5,0.00408496732026144,0,0,48.435,0.0395710784313726,29.435,0.0240482026143791,2,0.00163398692810458,0,0,0,0,13.435,0.0109763071895425,4,0.00326797385620915,7,0.00571895424836601,0,0,4,0.00326797385620915,0,0,0,0,0,0,0,0,2,0.00163398692810458,3,0.00245098039215686,3,0.00245098039215686,4,0.00326797385620915,1,0.000816993464052288,5,0.00408496732026144,0,0,48.435,0.0395710784313726,5,0.00408496732026144,0,0,13,0.0106209150326797,1,0.000816993464052288
"UPPSALA VÄSTERTORG",202233,2022-08-16,1253,44.66,0.0356424581005587,1,0.000798084596967279,10.66,0.00850758180367119,4,0.00319233838786911,5,0.00399042298483639,0,0,0,0,2,0.00159616919393456,7,0.00558659217877095,9,0.00718276137270551,5,0.00399042298483639,1,0.000798084596967279,43.66,0.0348443735035914,20.66,0.016488427773344,1,0.000798084596967279,0,0,0,0,9.66,0.00770949720670391,4,0.00319233838786911,0,0,0,0,5,0.00399042298483639,0,0,0,0,0,0,0,0,2,0.00159616919393456,2,0.00159616919393456,5,0.00399042298483639,7,0.00558659217877095,2,0.00159616919393456,5,0.00399042298483639,1,0.000798084596967279,43.66,0.0348443735035914,4,0.00319233838786911,0,0,17,0.0135674381484437,2,0.00159616919393456
"UPPSALA VÄSTERTORG",202233,2022-08-15,1300,62.205,0.04785,2,0.00153846153846154,22.205,0.0170807692307692,9,0.00692307692307692,3,0.00230769230769231,0,0,0,0,0,0,9,0.00692307692307692,6,0.00461538461538462,11,0.00846153846153846,0,0,60.205,0.0463115384615385,33.205,0.0255423076923077,2,0.00153846153846154,0,0,0,0,20.205,0.0155423076923077,6,0.00461538461538462,3,0.00230769230769231,0,0,3,0.00230769230769231,0,0,0,0,0,0,0,0,0,0,5,0.00384615384615385,4,0.00307692307692308,3,0.00230769230769231,3,0.00230769230769231,11,0.00846153846153846,0,0,60.205,0.0463115384615385,7,0.00538461538461538,0,0,17,0.0130769230769231,3,0.00230769230769231
