"butik","vecka","datum","antal_kvitton","zoner_count_TOTAL","zoner_convrate_TOTAL","zoner_count_Inkastare_entré","zoner_convrate_Inkastare_entré","zoner_count_F&G","zoner_convrate_F&G","zoner_count_Bröd","zoner_convrate_Bröd","zoner_count_Bake_off","zoner_convrate_Bake_off","zoner_count_Deli","zoner_convrate_Deli","zoner_count_Frys","zoner_convrate_Frys","zoner_count_Mejeri","zoner_convrate_Mejeri","zoner_count_Gavel_1","zoner_convrate_Gavel_1","zoner_count_Gavel_2","zoner_convrate_Gavel_2","zoner_count_Gavel_3","zoner_convrate_Gavel_3","kampanj_count_TOTAL","kampanj_convrate_TOTAL","skylttyp_count_kampanjvara","skylttyp_convrate_kampanjvara","kampanj_count_Kampanj_1_F&G_1","kampanj_convrate_Kampanj_1_F&G_1","kampanj_count_Kampanj_2_Hero_protein","kampanj_convrate_Kampanj_2_Hero_protein","kampanj_count_Kampanj_3_Bomben","kampanj_convrate_Kampanj_3_Bomben","kampanj_count_Kampanj_2_F&G_2","kampanj_convrate_Kampanj_2_F&G_2","kampanj_count_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_convrate_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_count_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_convrate_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_count_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_convrate_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_count_Mölnlycke","kampanj_convrate_Mölnlycke","kampanj_count_Trianglen","kampanj_convrate_Trianglen","kampanj_count_Dala_Järna","kampanj_convrate_Dala_Järna","kampanj_count_Kampanj_1_Frys","kampanj_convrate_Kampanj_1_Frys","kampanj_count_Kampanj_1_Mejeri","kampanj_convrate_Kampanj_1_Mejeri","kampanj_count_Kampanj_2_Mejeri","kampanj_convrate_Kampanj_2_Mejeri","kampanj_count_Vara_1_Gavel_1","kampanj_convrate_Vara_1_Gavel_1","kampanj_count_Vara_2_Gavel_1","kampanj_convrate_Vara_2_Gavel_1","kampanj_count_OBS_snabbnudlar_Trianglen","kampanj_convrate_OBS_snabbnudlar_Trianglen","kampanj_count_OBS_äggnudlar_Mölnlycke","kampanj_convrate_OBS_äggnudlar_Mölnlycke","kampanj_count_Kampanj_1_snacks","kampanj_convrate_Kampanj_1_snacks","kampanj_count_Kampanj_2_Snacks_choklad_ABP_om_det_finns","kampanj_convrate_Kampanj_2_Snacks_choklad_ABP_om_det_finns","skylttyp_count_TOTAL","skylttyp_convrate_TOTAL","skylttyp_count_Veckans_klipp","skylttyp_convrate_Veckans_klipp","skylttyp_count_alltid_bra_pris","skylttyp_convrate_alltid_bra_pris","skylttyp_count_ordinariepris","skylttyp_convrate_ordinariepris","skylttyp_count_klubbpris","skylttyp_convrate_klubbpris","skylttyp_count_ordinarie","skylttyp_convrate_ordinarie"
"UPPSALA VÄSTERTORG",202239,2022-10-02,1033,592.192,0.573273959341723,249.512,0.241541142303969,212.68,0.205885769603098,39,0.0377541142303969,38,0.0367860600193611,0,0,3,0.00290416263310745,26,0.0251694094869313,6,0.00580832526621491,11,0.010648596321394,7,0.00677637947725073,389.872,0.377417231364956,267.872,0.259314617618587,202.32,0.195856727976767,6.192,0.00599419167473379,41,0.0396902226524685,10.36,0.0100290416263311,39,0.0377541142303969,11,0.010648596321394,27,0.0261374636979671,0,0,0,0,0,0,3,0.00290416263310745,13,0.0125847047434656,13,0.0125847047434656,4,0.00387221684414327,2,0.00193610842207164,7,0.00677637947725073,4,0.00387221684414327,5,0.00484027105517909,2,0.00193610842207164,389.872,0.377417231364956,41,0.0396902226524685,66,0.063891577928364,0,0,13,0.0125847047434656,2,0.00193610842207164
"UPPSALA VÄSTERTORG",202239,2022-10-01,1135,752.699,0.663170925110132,363.474,0.32024140969163,199.225,0.175528634361233,35,0.0308370044052863,70,0.0616740088105727,0,0,3,0.0026431718061674,11,0.00969162995594714,7,0.00616740088105727,45,0.039647577092511,19,0.0167400881057269,566.184,0.498840528634361,266.184,0.234523348017621,186.515,0.164330396475771,9.959,0.00877444933920705,167,0.147136563876652,12.71,0.0111982378854626,35,0.0308370044052863,3,0.0026431718061674,67,0.0590308370044053,0,0,0,0,0,0,3,0.0026431718061674,8,0.00704845814977974,3,0.0026431718061674,4,0.00352422907488987,3,0.0026431718061674,42,0.0370044052863436,3,0.0026431718061674,12,0.0105726872246696,7,0.00616740088105727,566.184,0.498840528634361,167,0.147136563876652,122,0.107488986784141,0,0,8,0.00704845814977974,3,0.0026431718061674
"UPPSALA VÄSTERTORG",202239,2022-09-30,1257,860.842,0.684838504375497,452.647,0.360101034208433,236.195,0.187903739061257,41,0.0326173428798727,45,0.035799522673031,0,0,7,0.00556881463802705,17,0.0135242641209228,12,0.00954653937947494,22,0.0175019888623707,28,0.0222752585521082,641.542,0.510375497215593,322.542,0.256596658711217,219.3,0.174463007159905,10.347,0.00823150357995227,223,0.177406523468576,16.895,0.0134407319013524,41,0.0326173428798727,10,0.00795544948289578,35,0.0278440731901352,0,0,0,0,0,0,7,0.00556881463802705,9,0.00715990453460621,8,0.00636435958631663,11,0.00875099443118536,1,0.000795544948289578,16,0.0127287191726333,6,0.00477326968973747,18,0.0143198090692124,10,0.00795544948289578,641.542,0.510375497215593,223,0.177406523468576,86,0.0684168655529037,0,0,9,0.00715990453460621,1,0.000795544948289578
"UPPSALA VÄSTERTORG",202239,2022-09-29,1251,803.311,0.642135091926459,386.631,0.309057553956834,229.68,0.183597122302158,37,0.0295763389288569,57,0.0455635491606715,0,0,9,0.00719424460431655,34,0.0271782573940847,6,0.00479616306954436,30,0.0239808153477218,14,0.0111910471622702,585.851,0.468306155075939,301.851,0.241287769784173,217.46,0.17382893685052,12.171,0.00972901678657074,157,0.125499600319744,12.22,0.00976818545163869,37,0.0295763389288569,14,0.0111910471622702,43,0.0343725019984013,0,0,0,0,0,0,9,0.00719424460431655,27,0.0215827338129496,7,0.00559552358113509,4,0.00319744204636291,2,0.00159872102318145,28,0.0223820943245404,2,0.00159872102318145,5,0.00399680255795364,9,0.00719424460431655,585.851,0.468306155075939,157,0.125499600319744,98,0.0783373301358913,0,0,27,0.0215827338129496,2,0.00159872102318145
"UPPSALA VÄSTERTORG",202239,2022-09-28,1260,872.204,0.692225396825397,496.219,0.393824603174603,249.985,0.198400793650794,7,0.00555555555555556,47,0.0373015873015873,0,0,6,0.00476190476190476,15,0.0119047619047619,0,0,23,0.0182539682539683,28,0.0222222222222222,635.894,0.504677777777778,296.894,0.235630158730159,236.31,0.187547619047619,5.909,0.00468968253968254,254,0.201587301587302,13.675,0.0108531746031746,7,0.00555555555555556,14,0.0111111111111111,33,0.0261904761904762,0,0,0,0,0,0,6,0.00476190476190476,9,0.00714285714285714,6,0.00476190476190476,0,0,0,0,21,0.0166666666666667,2,0.00158730158730159,10,0.00793650793650794,18,0.0142857142857143,635.894,0.504677777777778,254,0.201587301587302,76,0.0603174603174603,0,0,9,0.00714285714285714,0,0
"UPPSALA VÄSTERTORG",202239,2022-09-27,1272,896.622,0.704891509433962,519.122,0.408114779874214,236.5,0.185927672955975,7,0.00550314465408805,39,0.0306603773584906,0,0,6,0.00471698113207547,28,0.0220125786163522,8,0.00628930817610063,38,0.029874213836478,15,0.0117924528301887,679.447,0.53415644654088,271.447,0.213401729559748,217.175,0.170735062893082,6.947,0.00546147798742138,295,0.231918238993711,19.325,0.0151926100628931,7,0.00550314465408805,15,0.0117924528301887,24,0.0188679245283019,0,0,0,0,0,0,6,0.00471698113207547,22,0.0172955974842767,6,0.00471698113207547,7,0.00550314465408805,1,0.000786163522012579,35,0.0275157232704403,3,0.00235849056603774,5,0.00393081761006289,10,0.00786163522012579,679.447,0.53415644654088,295,0.231918238993711,90,0.0707547169811321,0,0,22,0.0172955974842767,1,0.000786163522012579
"UPPSALA VÄSTERTORG",202239,2022-09-26,1245,814.49,0.654208835341365,433.775,0.348413654618474,224.715,0.180493975903614,14,0.0112449799196787,63,0.0506024096385542,0,0,18,0.0144578313253012,21,0.0168674698795181,9,0.0072289156626506,14,0.0112449799196787,17,0.0136546184738956,606.715,0.487321285140562,273.715,0.21985140562249,207.775,0.166887550200803,0,0,226,0.181526104417671,16.94,0.0136064257028112,14,0.0112449799196787,21,0.0168674698795181,42,0.0337349397590361,0,0,0,0,0,0,18,0.0144578313253012,13,0.0104417670682731,8,0.00642570281124498,4,0.00321285140562249,5,0.00401606425702811,5,0.00401606425702811,9,0.0072289156626506,8,0.00642570281124498,9,0.0072289156626506,606.715,0.487321285140562,226,0.181526104417671,89,0.0714859437751004,0,0,13,0.0104417670682731,5,0.00401606425702811
"UPPSALA VÄSTERTORG",202233,2022-08-21,1089,135.49,0.124416896235078,29.745,0.0273140495867769,18.745,0.0172130394857668,0,0,42,0.0385674931129477,0,0,1,0.000918273645546373,13,0.0119375573921028,6,0.00550964187327824,17,0.0156106519742883,8,0.00734618916437098,116.745,0.107203856749311,27.745,0.0254775022956841,18.745,0.0172130394857668,0,0,11,0.0101010101010101,0,0,0,0,14,0.0128558310376492,28,0.0257116620752984,0,0,0,0,0,0,1,0.000918273645546373,7,0.00642791551882461,6,0.00550964187327824,5,0.00459136822773186,1,0.000918273645546373,13,0.0119375573921028,4,0.00367309458218549,4,0.00367309458218549,4,0.00367309458218549,116.745,0.107203856749311,11,0.0101010101010101,70,0.0642791551882461,0,0,7,0.00642791551882461,1,0.000918273645546373
"UPPSALA VÄSTERTORG",202233,2022-08-20,1063,137.198,0.129066792097836,33.163,0.0311975540921919,17.035,0.0160253998118532,0,0,22,0.0206961429915334,0,0,3,0.00282220131702728,19,0.0178739416745061,5,0.00470366886171214,26,0.0244590780809031,12,0.0112888052681091,120.163,0.113041392285983,33.163,0.0311975540921919,17.035,0.0160253998118532,1.128,0.00106114769520226,15,0.0141110065851364,0,0,0,0,9,0.00846660395108184,13,0.0122295390404516,0,0,0,0,0,0,3,0.00282220131702728,8,0.00752587017873942,11,0.0103480714957667,2,0.00188146754468485,3,0.00282220131702728,24,0.0225776105362183,2,0.00188146754468485,10,0.00940733772342427,2,0.00188146754468485,120.163,0.113041392285983,15,0.0141110065851364,61,0.0573847601128881,0,0,8,0.00752587017873942,3,0.00282220131702728
"UPPSALA VÄSTERTORG",202233,2022-08-19,1349,113.141,0.0838702742772424,28.141,0.0208606375092661,13,0.00963676797627873,0,0,22,0.0163083765752409,0,0,0,0,11,0.00815418828762046,10,0.00741289844329133,20,0.0148257968865827,9,0.00667160859896219,100.141,0.0742335063009637,24.141,0.0178954781319496,13,0.00963676797627873,2.141,0.00158710155670867,13,0.00963676797627873,0,0,0,0,11,0.00815418828762046,11,0.00815418828762046,0,0,0,0,0,0,0,0,7,0.00518902891030393,4,0.00296515937731653,7,0.00518902891030393,3,0.0022238695329874,20,0.0148257968865827,0,0,9,0.00667160859896219,0,0,100.141,0.0742335063009637,13,0.00963676797627873,53,0.039288361749444,0,0,7,0.00518902891030393,3,0.0022238695329874
