"butik","vecka","antal_kvitton","zoner_count_TOTAL","zoner_convrate_TOTAL","zoner_count_Inkastare_entré","zoner_convrate_Inkastare_entré","zoner_count_F&G","zoner_convrate_F&G","zoner_count_Bröd","zoner_convrate_Bröd","zoner_count_Bake_off","zoner_convrate_Bake_off","zoner_count_Deli","zoner_convrate_Deli","zoner_count_Frys","zoner_convrate_Frys","zoner_count_Mejeri","zoner_convrate_Mejeri","zoner_count_Gavel_1","zoner_convrate_Gavel_1","zoner_count_Gavel_2","zoner_convrate_Gavel_2","zoner_count_Gavel_3","zoner_convrate_Gavel_3","kampanj_count_TOTAL","kampanj_convrate_TOTAL","skylttyp_count_kampanjvara","skylttyp_convrate_kampanjvara","kampanj_count_Kampanj_1_F&G_1","kampanj_convrate_Kampanj_1_F&G_1","kampanj_count_Kampanj_2_Hero_protein","kampanj_convrate_Kampanj_2_Hero_protein","kampanj_count_Kampanj_3_Bomben","kampanj_convrate_Kampanj_3_Bomben","kampanj_count_Kampanj_2_F&G_2","kampanj_convrate_Kampanj_2_F&G_2","kampanj_count_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_convrate_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_count_Kampanj_2_om_vi_inte_har_två_kör_vi_Garant_hamburgerbröd_Brioche_ord_pris_ABP?","kampanj_convrate_Kampanj_2_om_vi_inte_har_två_kör_vi_Garant_hamburgerbröd_Brioche_ord_pris_ABP?","kampanj_count_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_convrate_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_count_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_convrate_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_count_Mölnlycke","kampanj_convrate_Mölnlycke","kampanj_count_Triangeln","kampanj_convrate_Triangeln","kampanj_count_Kampanj_1","kampanj_convrate_Kampanj_1","kampanj_count_Kampanj_2","kampanj_convrate_Kampanj_2","kampanj_count_ABP_3_för_25","kampanj_convrate_ABP_3_för_25","kampanj_count_ABP_2_för_28","kampanj_convrate_ABP_2_för_28","kampanj_count_Kampanj_1_snacks","kampanj_convrate_Kampanj_1_snacks","kampanj_count_Kampanj_2_Snacks_choklad_ABP_om_det_finns","kampanj_convrate_Kampanj_2_Snacks_choklad_ABP_om_det_finns","skylttyp_count_TOTAL","skylttyp_convrate_TOTAL","skylttyp_count_klubbpris","skylttyp_convrate_klubbpris","skylttyp_count_veckans_klipp","skylttyp_convrate_veckans_klipp","skylttyp_count_ABP","skylttyp_convrate_ABP","skylttyp_count_Deli","skylttyp_convrate_Deli","skylttyp_count_alltid_bra_pris","skylttyp_convrate_alltid_bra_pris"
"UPPSALA VÄSTERTORG",202235,8681,4655.494,0.53628545098491,389.494,0.0448674115885267,830,0.0956111047114388,136,0.0156663978804285,2203,0.25377260684253,55,0.00633567561340859,129,0.0148600391659947,313,0.036055753945398,139,0.0160119801866144,24,0.00276465844948739,437,0.0503398226010828,4386.494,0.505298237530238,3359,0.386936988826172,269,0.0309872134546711,37.494,0.00431908766271167,83,0.00956111047114388,561,0.0646238912567677,20,0.00230388204123949,116,0.013362515839189,2120,0.244211496371386,83,0.00956111047114388,55,0.00633567561340859,0,0,281,0.0323695426794148,161,0.0185462504319779,139,0.0160119801866144,24,0.00276465844948739,76,0.00875475175671006,361,0.0415850708443728,4386.494,0.505298237530238,643.494,0.0741267135122682,83,0.00956111047114388,83,0.00956111047114388,55,0.00633567561340859,163,0.0187766386361018
"UPPSALA VÄSTERTORG",202233,8577,794.393,0.0926189809956861,53.393,0.00622513699428705,121,0.0141074967937507,31,0.00361431736038242,270,0.0314795383001049,27,0.00314795383001049,4,0.000466363530371925,44,0.00512999883409117,47,0.00547977148187012,29,0.00338113559519646,168,0.0195872682756208,774.393,0.0902871633438265,430,0.0501340795149819,20,0.00233181765185962,33.393,0.00389331934242742,0,0,101,0.0117756791418911,8,0.00093272706074385,23,0.00268159029963857,203,0.0236679491663752,67,0.00781158913372974,27,0.00314795383001049,0,0,15,0.00174886323889472,33,0.00384749912556838,47,0.00547977148187012,29,0.00338113559519646,54,0.00629590766002099,114,0.0132913606155999,774.393,0.0902871633438265,174.393,0.0203326337880378,0,0,67,0.00781158913372974,27,0.00314795383001049,76,0.00886090707706657
"UPPSALA VÄSTERTORG",202232,7464,878,0.117631296891747,108,0.0144694533762058,227,0.0304126473740622,29,0.00388531618435155,227,0.0304126473740622,47,0.00629689174705252,1,0.000133976420150054,28,0.0037513397642015,34,0.00455519828510182,12,0.00160771704180064,165,0.0221061093247588,770,0.103161843515541,475,0.0636387995712755,108,0.0144694533762058,0,0,0,0,119,0.0159431939978564,12,0.00160771704180064,17,0.00227759914255091,151,0.0202304394426581,76,0.0101822079314041,47,0.00629689174705252,0,0,6,0.000803858520900322,23,0.00308145766345123,34,0.00455519828510182,12,0.00160771704180064,57,0.00763665594855305,108,0.0144694533762058,770,0.103161843515541,126,0.0168810289389068,0,0,76,0.0101822079314041,47,0.00629689174705252,46,0.00616291532690246
"UPPSALA VÄSTERTORG",202231,6750,1756.961,0.260290518518519,16.961,0.00251274074074074,117,0.0173333333333333,23,0.00340740740740741,1327,0.196592592592593,24,0.00355555555555556,7,0.00103703703703704,34,0.00503703703703704,52,0.0077037037037037,10,0.00148148148148148,146,0.0216296296296296,1741.961,0.258068296296296,1492,0.221037037037037,15,0.00222222222222222,1.961,0.000290518518518519,0,0,102,0.0151111111111111,5,0.000740740740740741,18,0.00266666666666667,1294,0.191703703703704,33,0.00488888888888889,24,0.00355555555555556,0,0,20,0.00296296296296296,21,0.00311111111111111,52,0.0077037037037037,10,0.00148148148148148,42,0.00622222222222222,104,0.0154074074074074,1741.961,0.258068296296296,130.961,0.0194016296296296,0,0,33,0.00488888888888889,24,0.00355555555555556,62,0.00918518518518519
"UPPSALA VÄSTERTORG",202230,6874,939.871,0.136728396857725,87.871,0.0127830957230143,203,0.0295315682281059,30,0.00436427116671516,225,0.0327320337503637,124,0.0180389874890893,2,0.000290951411114344,43,0.00625545533895839,39,0.00567355251672971,8,0.00116380564445738,178,0.0258946755891766,862.871,0.125526767529823,484,0.0704102414896712,77,0.0112016293279022,10.871,0.00158146639511202,0,0,126,0.0183299389002037,9,0.00130928135001455,21,0.00305498981670061,178,0.0258946755891766,47,0.00683735816118708,124,0.0180389874890893,0,0,25,0.0036368926389293,20,0.00290951411114344,39,0.00567355251672971,8,0.00116380564445738,51,0.00741926098341577,127,0.0184754146057608,862.871,0.125526767529823,160.871,0.0234028222286878,0,0,47,0.00683735816118708,124,0.0180389874890893,47,0.00683735816118708
"UPPSALA VÄSTERTORG",202229,6775,797,0.117638376383764,42,0.00619926199261993,161,0.0237638376383764,30,0.0044280442804428,215,0.0317343173431734,41,0.00605166051660517,49,0.00723247232472325,32,0.00472324723247233,29,0.00428044280442804,17,0.00250922509225092,181,0.0267158671586716,755,0.111439114391144,435,0.0642066420664207,42,0.00619926199261993,0,0,0,0,119,0.0175645756457565,10,0.0014760147601476,20,0.0029520295202952,176,0.0259778597785978,39,0.00575645756457565,41,0.00605166051660517,0,0,58,0.00856088560885609,23,0.00339483394833948,29,0.00428044280442804,17,0.00250922509225092,56,0.00826568265682657,125,0.018450184501845,755,0.111439114391144,194,0.0286346863468635,0,0,39,0.00575645756457565,41,0.00605166051660517,46,0.00678966789667897
"UPPSALA VÄSTERTORG",202228,6838,669,0.097835624451594,13,0.00190114068441065,127,0.0185726820707809,34,0.00497221409768938,179,0.0261772448084235,47,0.00687335478210003,4,0.000584966364434045,31,0.00453348932436385,32,0.00467973091547236,23,0.00336355659549576,179,0.0261772448084235,656,0.0959344837671834,346,0.0505995905235449,13,0.00190114068441065,0,0,0,0,114,0.0166715413863703,12,0.00175489909330214,22,0.00321731500438725,135,0.019742614799649,44,0.0064346300087745,47,0.00687335478210003,0,0,9,0.0013161743199766,26,0.00380228136882129,32,0.00467973091547236,23,0.00336355659549576,41,0.00599590523544896,138,0.0201813395729746,656,0.0959344837671834,164,0.0239836209417958,0,0,44,0.0064346300087745,47,0.00687335478210003,55,0.00804328751096812
"UPPSALA VÄSTERTORG",202227,6995,2374,0.339385275196569,21,0.00300214438884918,144,0.0205861329521086,110,0.0157255182273052,1807,0.258327376697641,43,0.00614724803431022,6,0.000857755539671194,23,0.00328806290207291,42,0.00600428877769836,18,0.00257326661901358,160,0.0228734810578985,2353,0.33638313080772,1974,0.282201572551823,21,0.00300214438884918,0,0,0,0,123,0.0175839885632595,17,0.00243030736240172,93,0.0132952108649035,1753,0.2506075768406,54,0.00771979985704074,43,0.00614724803431022,0,0,18,0.00257326661901358,11,0.00157255182273052,42,0.00600428877769836,18,0.00257326661901358,37,0.00528949249463903,123,0.0175839885632595,2353,0.33638313080772,222,0.0317369549678342,0,0,54,0.00771979985704074,43,0.00614724803431022,60,0.00857755539671194
"UPPSALA VÄSTERTORG",202226,7297,630,0.0863368507605865,15,0.00205563930382349,136,0.0186377963546663,39,0.00534466218994107,226,0.0309716321776072,29,0.00397423598739208,5,0.000685213101274496,31,0.00424832122790188,27,0.00370015074688228,17,0.00232972454433329,105,0.0143894751267644,615,0.0842812114567631,376,0.0515280252158421,15,0.00205563930382349,0,0,0,0,121,0.0165821570508428,13,0.00178155406331369,26,0.00356310812662738,163,0.0223379471015486,63,0.00863368507605865,29,0.00397423598739208,0,0,15,0.00205563930382349,21,0.00287789502535288,27,0.00370015074688228,17,0.00232972454433329,33,0.00452240646841168,72,0.00986706865835275,615,0.0842812114567631,103,0.0141153898862546,0,0,63,0.00863368507605865,29,0.00397423598739208,44,0.00602987529121557
"UPPSALA VÄSTERTORG",202225,7309,876,0.119852236968122,11,0.00150499384320701,337,0.0461075386509782,39,0.00533588726227938,196,0.0268162539335066,57,0.00779860446025448,12,0.00164181146531673,34,0.00465179915173074,24,0.00328362293063347,18,0.0024627171979751,148,0.0202490080722397,865,0.118347243124914,608,0.0831851142427145,11,0.00150499384320701,0,0,0,0,326,0.0446025448077712,9,0.00123135859898755,30,0.00410452866329183,146,0.0199753728280202,50,0.00684088110548639,57,0.00779860446025448,0,0,25,0.00342044055274319,21,0.00287317006430428,24,0.00328362293063347,18,0.0024627171979751,82,0.0112190450129977,66,0.00902996305924203,865,0.118347243124914,108,0.0147763031878506,0,0,50,0.00684088110548639,57,0.00779860446025448,42,0.00574634012860856
