"butik","vecka","antal_kvitton","zoner_count_TOTAL","zoner_convrate_TOTAL","zoner_count_Inkastare_entré","zoner_convrate_Inkastare_entré","zoner_count_F&G","zoner_convrate_F&G","zoner_count_Bröd","zoner_convrate_Bröd","zoner_count_Bake_off","zoner_convrate_Bake_off","zoner_count_Fisk","zoner_convrate_Fisk","zoner_count_Deli","zoner_convrate_Deli","zoner_count_Frys","zoner_convrate_Frys","zoner_count_Mejeri","zoner_convrate_Mejeri","zoner_count_Gavel_1","zoner_convrate_Gavel_1","zoner_count_Gavel_2","zoner_convrate_Gavel_2","zoner_count_Gavel_3","zoner_convrate_Gavel_3","kampanj_count_TOTAL","kampanj_convrate_TOTAL","skylttyp_count_kampanjvara","skylttyp_convrate_kampanjvara","kampanj_count_Kampanj_1_F&G_1","kampanj_convrate_Kampanj_1_F&G_1","kampanj_count_Kampanj_3_Bomben","kampanj_convrate_Kampanj_3_Bomben","kampanj_count_Kampanj_2_F&G_2","kampanj_convrate_Kampanj_2_F&G_2","kampanj_count_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_convrate_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_count_Kampanj_2_om_vi_inte_har_två_kör_vi_Garant_hamburgerbröd_Brioche_ord_pris_ABP?","kampanj_convrate_Kampanj_2_om_vi_inte_har_två_kör_vi_Garant_hamburgerbröd_Brioche_ord_pris_ABP?","kampanj_count_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_convrate_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_count_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_convrate_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_count_Kampanj_1_bladet_eller_Lax","kampanj_convrate_Kampanj_1_bladet_eller_Lax","kampanj_count_Vara_1_Deli","kampanj_convrate_Vara_1_Deli","kampanj_count_Mölnlycke","kampanj_convrate_Mölnlycke","kampanj_count_Triangeln","kampanj_convrate_Triangeln","kampanj_count_Dala_Järna","kampanj_convrate_Dala_Järna","kampanj_count_Kampanj_1_Frys","kampanj_convrate_Kampanj_1_Frys","kampanj_count_Kampanj_1_Mejeri","kampanj_convrate_Kampanj_1_Mejeri","kampanj_count_Kampanj_2_Mejeri","kampanj_convrate_Kampanj_2_Mejeri","kampanj_count_Vara_1_Gavel_1","kampanj_convrate_Vara_1_Gavel_1","kampanj_count_Vara_2_Gavel_1","kampanj_convrate_Vara_2_Gavel_1","kampanj_count_OBS_snabbnudlar_Triangeln","kampanj_convrate_OBS_snabbnudlar_Triangeln","kampanj_count_OBS_äggnudlar_Mölnlycke","kampanj_convrate_OBS_äggnudlar_Mölnlycke","kampanj_count_Kampanj_1_snacks","kampanj_convrate_Kampanj_1_snacks","kampanj_count_Kampanj_2_Snacks_choklad_ABP_om_det_finns","kampanj_convrate_Kampanj_2_Snacks_choklad_ABP_om_det_finns","skylttyp_count_TOTAL","skylttyp_convrate_TOTAL","skylttyp_count_veckans_klipp","skylttyp_convrate_veckans_klipp","skylttyp_count_alltid_bra_pris","skylttyp_convrate_alltid_bra_pris","skylttyp_count_ordinariepris","skylttyp_convrate_ordinariepris"
"UPPSALA VÄSTERTORG",202238,8719,4221.4,0.484161027640784,1636.2,0.187659135221929,975.2,0.111847688955155,164,0.0188094965018924,272,0.0311962381006996,0,0,118,0.0135336621172153,382,0.0438123638031884,118,0.0135336621172153,85,0.00974882440646863,157,0.0180066521390068,314,0.0360133042780135,3442.2,0.394792980846427,1639.2,0.188003211377452,779.2,0.0893680467943572,857,0.098291088427572,196,0.0224796421607983,147,0.0168597316205987,17,0.00194976488129373,188,0.0215621057460718,84,0.00963413235462782,0,0,0,0,118,0.0135336621172153,0,0,0,0,382,0.0438123638031884,24,0.00275260924417938,94,0.0107810528730359,47,0.00539052643651795,38,0.00435829796995068,121,0.0138777382727377,36,0.00412891386626907,223,0.0255763275605001,91,0.0104369767175135,3442.2,0.394792980846427,857,0.098291088427572,790,0.0906067209542379,156,0.017891960087166
"UPPSALA VÄSTERTORG",202233,8577,842,0.0981695231432902,21,0.00244840853445261,31,0.00361431736038242,26,0.00303136294741751,213,0.024833857992305,0,0,27,0.00314795383001049,129,0.0150402238544946,10,0.00116590882592981,44,0.00512999883409117,158,0.018421359449691,183,0.0213361315145156,842,0.0981695231432902,196,0.0228518129882243,0,0,21,0.00244840853445261,31,0.00361431736038242,26,0.00303136294741751,0,0,146,0.0170222688585753,67,0.00781158913372974,0,0,0,0,27,0.00314795383001049,0,0,0,0,129,0.0150402238544946,10,0.00116590882592981,0,0,28,0.00326454471260347,16,0.0018654541214877,129,0.0150402238544946,29,0.00338113559519646,153,0.0178384050367261,30,0.00349772647778944,842,0.0981695231432902,21,0.00244840853445261,582,0.0678558936691151,43,0.00501340795149819
"UPPSALA VÄSTERTORG",202232,7464,1067,0.142952840300107,30,0.00401929260450161,38,0.00509110396570204,33,0.00442122186495177,219,0.0293408360128617,0,0,47,0.00629689174705252,350,0.0468917470525188,11,0.00147374062165059,52,0.00696677384780279,131,0.017550911039657,156,0.0209003215434084,1067,0.142952840300107,432,0.0578778135048231,0,0,30,0.00401929260450161,38,0.00509110396570204,33,0.00442122186495177,0,0,143,0.0191586280814577,76,0.0101822079314041,0,0,0,0,47,0.00629689174705252,0,0,0,0,350,0.0468917470525188,11,0.00147374062165059,0,0,42,0.00562700964630225,10,0.00133976420150054,119,0.0159431939978564,12,0.00160771704180064,140,0.0187566988210075,16,0.00214362272240086,1067,0.142952840300107,30,0.00401929260450161,548,0.0734190782422294,57,0.00763665594855305
"UPPSALA VÄSTERTORG",202231,6750,933,0.138222222222222,17,0.00251851851851852,305,0.0451851851851852,20,0.00296296296296296,114,0.0168888888888889,0,0,24,0.00355555555555556,121,0.0179259259259259,3,0.000444444444444444,41,0.00607407407407407,84,0.0124444444444444,204,0.0302222222222222,933,0.138222222222222,449,0.0665185185185185,0,0,17,0.00251851851851852,305,0.0451851851851852,20,0.00296296296296296,0,0,81,0.012,33,0.00488888888888889,0,0,0,0,24,0.00355555555555556,0,0,0,0,121,0.0179259259259259,3,0.000444444444444444,0,0,31,0.00459259259259259,10,0.00148148148148148,74,0.010962962962963,10,0.00148148148148148,182,0.026962962962963,22,0.00325925925925926,933,0.138222222222222,17,0.00251851851851852,433,0.0641481481481481,34,0.00503703703703704
"UPPSALA VÄSTERTORG",202230,6874,835,0.121472214140239,27,0.00392784405004364,33,0.00480069828338667,25,0.0036368926389293,138,0.0200756473668897,0,0,124,0.0180389874890893,125,0.0181844631946465,11,0.00160023276112889,45,0.00654640675007274,106,0.0154204247890602,201,0.0292406168169916,835,0.121472214140239,194,0.0282222868780914,0,0,27,0.00392784405004364,33,0.00480069828338667,25,0.0036368926389293,0,0,91,0.0132382892057026,47,0.00683735816118708,0,0,0,0,124,0.0180389874890893,0,0,0,0,125,0.0181844631946465,11,0.00160023276112889,0,0,34,0.00494617398894385,11,0.00160023276112889,98,0.0142566191446029,8,0.00116380564445738,179,0.0260401512947338,22,0.00320046552225778,835,0.121472214140239,27,0.00392784405004364,479,0.0696828629618854,135,0.0196392202502182
"UPPSALA VÄSTERTORG",202229,6775,869,0.128265682656827,18,0.00265682656826568,30,0.0044280442804428,23,0.00339483394833948,109,0.0160885608856089,2,0.00029520295202952,41,0.00605166051660517,157,0.0231734317343173,6,0.000885608856088561,90,0.0132841328413284,136,0.0200738007380074,257,0.0379335793357934,869,0.128265682656827,218,0.0321771217712177,0,0,18,0.00265682656826568,30,0.0044280442804428,23,0.00339483394833948,0,0,70,0.0103321033210332,39,0.00575645756457565,2,0.00029520295202952,0,0,41,0.00605166051660517,0,0,0,0,157,0.0231734317343173,6,0.000885608856088561,0,0,82,0.0121033210332103,8,0.00118081180811808,119,0.0175645756457565,17,0.00250922509225092,234,0.0345387453874539,23,0.00339483394833948,869,0.128265682656827,18,0.00265682656826568,584,0.0861992619926199,49,0.00723247232472325
"UPPSALA VÄSTERTORG",202228,6838,813,0.11889441357122,25,0.00365603977771278,37,0.00541093887101492,22,0.00321731500438725,174,0.025446036852881,5,0.000731207955542556,47,0.00687335478210003,113,0.0165252997952618,8,0.00116993272886809,39,0.00570342205323194,138,0.0201813395729746,205,0.0299795261772448,813,0.11889441357122,185,0.0270546943550746,0,0,25,0.00365603977771278,37,0.00541093887101492,22,0.00321731500438725,0,0,130,0.0190114068441065,44,0.0064346300087745,5,0.000731207955542556,0,0,47,0.00687335478210003,0,0,0,0,113,0.0165252997952618,8,0.00116993272886809,0,0,31,0.00453348932436385,8,0.00116993272886809,115,0.0168177829774788,23,0.00336355659549576,188,0.0274934191284001,17,0.00248610704884469,813,0.11889441357122,25,0.00365603977771278,548,0.0801403919274642,55,0.00804328751096812
"UPPSALA VÄSTERTORG",202227,6995,758.53,0.108438884917798,34.265,0.00489849892780558,26.265,0.00375482487491065,24,0.00343102215868477,141,0.0201572551822731,3,0.000428877769835597,43,0.00614724803431022,113,0.0161543959971408,7,0.00100071479628306,34,0.00486061472480343,126,0.0180128663330951,207,0.0295925661186562,753.265,0.107686204431737,173.265,0.0247698355968549,5.265,0.000752680486061472,29,0.0041458184417441,21,0.00300214438884918,24,0.00343102215868477,0,0,87,0.0124374553252323,54,0.00771979985704074,3,0.000428877769835597,0,0,43,0.00614724803431022,0,0,0,0,113,0.0161543959971408,7,0.00100071479628306,0,0,27,0.00385989992852037,7,0.00100071479628306,108,0.0154395997140815,18,0.00257326661901358,180,0.0257326661901358,27,0.00385989992852037,753.265,0.107686204431737,29,0.0041458184417441,501,0.0716225875625447,50,0.00714796283059328
"UPPSALA VÄSTERTORG",202226,7297,1033.53,0.141637659312046,165.765,0.0227168699465534,59.765,0.00819035219953406,24,0.00328902288611758,195,0.0267233109497054,0,0,29,0.00397423598739208,133,0.0182266684939016,13,0.00178155406331369,44,0.00602987529121557,104,0.0142524325065095,266,0.0364533369878032,1013.765,0.138929011922708,229.765,0.0314875976428669,19.765,0.00270864738933808,146,0.0200082225572153,40,0.00548170481019597,24,0.00328902288611758,0,0,132,0.0180896258736467,63,0.00863368507605865,0,0,0,0,29,0.00397423598739208,0,0,0,0,133,0.0182266684939016,13,0.00178155406331369,0,0,34,0.00465944908866658,10,0.00137042620254899,87,0.0119227079621762,17,0.00232972454433329,193,0.0264492257091956,73,0.0100041112786076,1013.765,0.138929011922708,146,0.0200082225572153,599,0.0820885295326847,39,0.00534466218994107
"UPPSALA VÄSTERTORG",202225,7309,1143.18,0.156407169243399,310.59,0.0424941852510603,72.59,0.00993159118894514,22,0.00300998768641401,194,0.0265426186892872,0,0,57,0.00779860446025448,127,0.0173758380079354,8,0.00109454097687782,34,0.00465179915173074,101,0.0138185798330825,217,0.0296894239978109,1105.59,0.151264194828294,229.59,0.0314119578601724,37.59,0.00514297441510466,273,0.0373512108359557,35,0.00478861677384047,22,0.00300998768641401,0,0,144,0.0197017375838008,50,0.00684088110548639,0,0,0,0,57,0.00779860446025448,0,0,0,0,127,0.0173758380079354,8,0.00109454097687782,0,0,23,0.00314680530852374,11,0.00150499384320701,83,0.0113558626351074,18,0.0024627171979751,201,0.0275003420440553,16,0.00218908195375564,1105.59,0.151264194828294,273,0.0373512108359557,535,0.0731974278287043,68,0.00930359830346149
