"butik","vecka","antal_kvitton","sales_zoner_count_TOTAL","sales_zoner_convrate_TOTAL","sales_zoner_count_Inkastare/entré","sales_zoner_convrate_Inkastare/entré","sales_zoner_count_F&G","sales_zoner_convrate_F&G","sales_zoner_count_Bröd","sales_zoner_convrate_Bröd","sales_zoner_count_Bake off","sales_zoner_convrate_Bake off","sales_zoner_count_Fisk - endast manuell disk","sales_zoner_convrate_Fisk - endast manuell disk","sales_zoner_count_Deli - endast manuell","sales_zoner_convrate_Deli - endast manuell","sales_zoner_count_Frys","sales_zoner_convrate_Frys","sales_zoner_count_Mejeri","sales_zoner_convrate_Mejeri","sales_zoner_count_Gavel 1","sales_zoner_convrate_Gavel 1","sales_zoner_count_Gavel 2","sales_zoner_convrate_Gavel 2","sales_zoner_count_Gavel 3","sales_zoner_convrate_Gavel 3","sales_kampanj_count_TOTAL","sales_kampanj_convrate_TOTAL","sales_kampanj_count_Kampanj 1 - F&G 1","sales_kampanj_convrate_Kampanj 1 - F&G 1","sales_kampanj_count_Kampanj 2 - F&G 2","sales_kampanj_convrate_Kampanj 2 - F&G 2","sales_kampanj_count_Kampanj 1 - bröd, industribakat, hamburger/korv, tortillas osv","sales_kampanj_convrate_Kampanj 1 - bröd, industribakat, hamburger/korv, tortillas osv","sales_kampanj_count_Kampanj 2 -  om vi inte har två, kör vi Garant hamburgerbröd Brioche ord.pris/ABP?","sales_kampanj_convrate_Kampanj 2 -  om vi inte har två, kör vi Garant hamburgerbröd Brioche ord.pris/ABP?","sales_kampanj_count_Kampanj 1 - frallor, bullar, baguette, bake off bröd - om ej kampanj multipris","sales_kampanj_convrate_Kampanj 1 - frallor, bullar, baguette, bake off bröd - om ej kampanj multipris","sales_kampanj_count_Kampanj 2 - om ej två kampanjer, multi ABP","sales_kampanj_convrate_Kampanj 2 - om ej två kampanjer, multi ABP","sales_kampanj_count_Kampanj 1 - bladet eller skagen","sales_kampanj_convrate_Kampanj 1 - bladet eller skagen","sales_kampanj_count_Kampanj 1 - Triangeln, Mölnlycke, Dala-Järna","sales_kampanj_convrate_Kampanj 1 - Triangeln, Mölnlycke, Dala-Järna","sales_kampanj_count_Kampanj 1 Frys","sales_kampanj_convrate_Kampanj 1 Frys","sales_kampanj_count_Kampanj 1 Mejeri","sales_kampanj_convrate_Kampanj 1 Mejeri","sales_kampanj_count_Kampanj 2 Mejeri","sales_kampanj_convrate_Kampanj 2 Mejeri","sales_kampanj_count_Kampanj 3 – Bomben","sales_kampanj_convrate_Kampanj 3 – Bomben","sales_kampanj_count_ABP","sales_kampanj_convrate_ABP","sales_kampanj_count_Kampanj 1 - dryck","sales_kampanj_convrate_Kampanj 1 - dryck","sales_kampanj_count_Kampanj 2 - Snacks, choklad, ABP om det finns","sales_kampanj_convrate_Kampanj 2 - Snacks, choklad, ABP om det finns","sales_skylttyp_count_TOTAL","sales_skylttyp_convrate_TOTAL","sales_skylttyp_count_klubbvara","sales_skylttyp_convrate_klubbvara","sales_skylttyp_count_kampanjvara","sales_skylttyp_convrate_kampanjvara","sales_skylttyp_count_veckans klipp","sales_skylttyp_convrate_veckans klipp","sales_skylttyp_count_alltid bra pris","sales_skylttyp_convrate_alltid bra pris","sales_skylttyp_count_klubbpris","sales_skylttyp_convrate_klubbpris","sales_skylttyp_count_ordinarie","sales_skylttyp_convrate_ordinarie"
"HEMKÖP UPPSALA VÄSTERTORG",202234,8439,4999,0.592368764071572,1534,0.181775091835526,1291,0.152980210925465,182,0.0215665363194691,174,0.0206185567010309,0,0,0,0,119,0.0141011968242683,586,0.0694395070505984,878,0.104040763123593,18,0.00213295414148596,217,0.0257139471501363,4462,0.528735632183908,1534,0.181775091835526,754,0.0893470790378007,148,0.0175376229411068,34,0.00402891337836237,157,0.0186041000118497,17,0.00201445668918118,0,0,0,0,119,0.0141011968242683,318,0.0376821898329186,268,0.0317573172176798,878,0.104040763123593,18,0.00213295414148596,64,0.00758383694750563,153,0.0181301102026306,4462,0.528735632183908,537,0.0636331318876644,2269,0.268870719279535,878,0.104040763123593,175,0.0207370541533357,603,0.0714539637397796,0,0
"HEMKÖP UPPSALA VÄSTERTORG",202233,8577,696,0.0811472542847149,76,0.00886090707706657,96,0.0111927247289262,35,0.00408068089075434,153,0.0178384050367261,0,0,0,0,16,0.0018654541214877,73,0.00851113442928763,23,0.00268159029963857,29,0.00338113559519646,195,0.0227352221056313,670,0.0781158913372974,76,0.00886090707706657,70,0.00816136178150869,31,0.00361431736038242,4,0.000466363530371925,146,0.0170222688585753,7,0.000816136178150869,0,0,0,0,16,0.0018654541214877,42,0.00489681706890521,31,0.00361431736038242,23,0.00268159029963857,29,0.00338113559519646,66,0.00769499825113676,129,0.0150402238544946,670,0.0781158913372974,26,0.00303136294741751,366,0.0426722630290311,23,0.00268159029963857,175,0.0204034044537717,80,0.0093272706074385,0,0
"HEMKÖP UPPSALA VÄSTERTORG",202232,7464,1074,0.143890675241158,304,0.0407288317256163,297,0.0397909967845659,30,0.00401929260450161,149,0.019962486602358,0,0,0,0,24,0.00321543408360129,74,0.00991425509110396,19,0.00254555198285102,12,0.00160771704180064,165,0.0221061093247588,836,0.112004287245445,304,0.0407288317256163,59,0.00790460878885316,27,0.00361736334405145,3,0.000401929260450161,143,0.0191586280814577,6,0.000803858520900322,0,0,0,0,24,0.00321543408360129,43,0.0057609860664523,31,0.00415326902465166,19,0.00254555198285102,12,0.00160771704180064,58,0.00777063236870311,107,0.0143354769560557,836,0.112004287245445,238,0.0318863879957128,344,0.0460878885316184,19,0.00254555198285102,155,0.0207663451232583,80,0.0107181136120043,0,0
"HEMKÖP UPPSALA VÄSTERTORG",202231,6750,923,0.136740740740741,80,0.0118518518518519,399,0.0591111111111111,36,0.00533333333333333,81,0.012,0,0,0,0,15,0.00222222222222222,63,0.00933333333333333,31,0.00459259259259259,10,0.00148148148148148,208,0.0308148148148148,898,0.133037037037037,80,0.0118518518518519,374,0.0554074074074074,34,0.00503703703703704,2,0.000296296296296296,81,0.012,0,0,0,0,0,0,15,0.00222222222222222,34,0.00503703703703704,29,0.0042962962962963,31,0.00459259259259259,10,0.00148148148148148,68,0.0100740740740741,140,0.0207407407407407,898,0.133037037037037,25,0.0037037037037037,688,0.101925925925926,31,0.00459259259259259,91,0.0134814814814815,63,0.00933333333333333,0,0
"HEMKÖP UPPSALA VÄSTERTORG",202230,6874,719,0.104597032295607,164,0.0238580157113762,68,0.00989234797788769,33,0.00480069828338667,91,0.0132382892057026,0,0,0,0,28,0.00407331975560081,58,0.00843759092231597,21,0.00305498981670061,8,0.00116380564445738,248,0.0360779749781786,700,0.10183299389002,164,0.0238580157113762,49,0.00712830957230143,30,0.00436427116671516,3,0.000436427116671516,91,0.0132382892057026,0,0,0,0,0,0,28,0.00407331975560081,38,0.00552807681117253,20,0.00290951411114344,21,0.00305498981670061,8,0.00116380564445738,73,0.0106197265056736,175,0.0254582484725051,700,0.10183299389002,19,0.00276403840558627,503,0.0731742798952575,21,0.00305498981670061,99,0.01440209485016,58,0.00843759092231597,0,0
"HEMKÖP UPPSALA VÄSTERTORG",202229,6775,554,0.0817712177121771,76,0.0112177121771218,77,0.0113653136531365,33,0.00487084870848708,70,0.0103321033210332,0,0,0,0,19,0.00280442804428044,64,0.00944649446494465,18,0.00265682656826568,17,0.00250922509225092,180,0.0265682656826568,537,0.0792619926199262,76,0.0112177121771218,60,0.00885608856088561,32,0.00472324723247233,1,0.00014760147601476,70,0.0103321033210332,0,0,0,0,0,0,19,0.00280442804428044,37,0.00546125461254613,27,0.00398523985239852,18,0.00265682656826568,17,0.00250922509225092,70,0.0103321033210332,110,0.0162361623616236,537,0.0792619926199262,17,0.00250922509225092,351,0.0518081180811808,18,0.00265682656826568,87,0.0128413284132841,64,0.00944649446494465,0,0
"HEMKÖP UPPSALA VÄSTERTORG",202228,6838,643,0.0940333430827727,87,0.0127230184264405,80,0.0116993272886809,41,0.00599590523544896,135,0.019742614799649,0,0,0,0,25,0.00365603977771278,55,0.00804328751096812,23,0.00336355659549576,23,0.00336355659549576,174,0.025446036852881,626,0.091547236033928,87,0.0127230184264405,63,0.00921322023983621,35,0.00511845568879789,6,0.000877449546651068,130,0.0190114068441065,5,0.000731207955542556,0,0,0,0,25,0.00365603977771278,25,0.00365603977771278,30,0.00438724773325534,23,0.00336355659549576,23,0.00336355659549576,72,0.0105293945598128,102,0.0149166422930681,626,0.091547236033928,17,0.00248610704884469,373,0.0545481134834747,23,0.00336355659549576,153,0.0223749634396022,60,0.00877449546651068,0,0
"HEMKÖP UPPSALA VÄSTERTORG",202227,6995,658,0.0940671908506076,82,0.011722659042173,61,0.0087205146533238,27,0.00385989992852037,92,0.0131522516082916,0,0,0,0,122,0.0174410293066476,59,0.00843459614010007,29,0.0041458184417441,18,0.00257326661901358,168,0.0240171551107934,648,0.0926375982844889,82,0.011722659042173,51,0.00729092208720515,21,0.00300214438884918,6,0.000857755539671194,87,0.0124374553252323,5,0.000714796283059328,0,0,0,0,122,0.0174410293066476,36,0.00514653323802716,23,0.00328806290207291,29,0.0041458184417441,18,0.00257326661901358,77,0.0110078627591137,91,0.0130092923516798,648,0.0926375982844889,10,0.00142959256611866,440,0.0629020729092209,29,0.0041458184417441,105,0.0150107219442459,64,0.0091493924231594,0,0
"HEMKÖP UPPSALA VÄSTERTORG",202226,7297,677,0.0927778539125668,67,0.00918185555707825,85,0.0116486227216664,37,0.00507057694943127,142,0.0194600520761957,0,0,0,0,18,0.00246676716458819,66,0.00904481293682335,11,0.00150746882280389,17,0.00232972454433329,234,0.0320679731396464,650,0.0890777031656845,67,0.00918185555707825,58,0.00794847197478416,34,0.00465944908866658,3,0.000411127860764698,133,0.0182266684939016,9,0.00123338358229409,0,0,0,0,18,0.00246676716458819,30,0.00411127860764698,36,0.00493353432917637,11,0.00150746882280389,17,0.00232972454433329,126,0.0172673701521173,108,0.0148006029875291,650,0.0890777031656845,27,0.00370015074688228,387,0.053035494038646,11,0.00150746882280389,150,0.0205563930382349,75,0.0102781965191174,0,0
"HEMKÖP UPPSALA VÄSTERTORG",202225,7309,698,0.09549870023259,103,0.014092215077302,98,0.0134081269667533,35,0.00478861677384047,150,0.0205226433164592,0,0,0,0,25,0.00342044055274319,54,0.0073881515939253,16,0.00218908195375564,18,0.0024627171979751,199,0.0272267067998358,668,0.0913941715692981,103,0.014092215077302,68,0.00930359830346149,31,0.00424134628540156,4,0.000547270488438911,144,0.0197017375838008,6,0.000820905732658366,0,0,0,0,25,0.00342044055274319,30,0.00410452866329183,24,0.00328362293063347,16,0.00218908195375564,18,0.0024627171979751,78,0.0106717745245588,121,0.0165549322752771,668,0.0913941715692981,30,0.00410452866329183,400,0.0547270488438911,16,0.00218908195375564,162,0.0221644547817759,60,0.00820905732658366,0,0
