"butik","vecka","datum","antal_kvitton","sales_zoner_count_TOTAL","sales_zoner_convrate_TOTAL","sales_zoner_count_Inkastare/entré","sales_zoner_convrate_Inkastare/entré","sales_zoner_count_F&G","sales_zoner_convrate_F&G","sales_zoner_count_Bröd","sales_zoner_convrate_Bröd","sales_zoner_count_Bake off","sales_zoner_convrate_Bake off","sales_zoner_count_Fisk - endast manuell disk","sales_zoner_convrate_Fisk - endast manuell disk","sales_zoner_count_Deli - endast manuell","sales_zoner_convrate_Deli - endast manuell","sales_zoner_count_Frys","sales_zoner_convrate_Frys","sales_zoner_count_Mejeri","sales_zoner_convrate_Mejeri","sales_zoner_count_Gavel 1","sales_zoner_convrate_Gavel 1","sales_zoner_count_Gavel 2","sales_zoner_convrate_Gavel 2","sales_zoner_count_Gavel 3","sales_zoner_convrate_Gavel 3","sales_kampanj_count_TOTAL","sales_kampanj_convrate_TOTAL","sales_kampanj_count_Kampanj 1 - F&G 1","sales_kampanj_convrate_Kampanj 1 - F&G 1","sales_kampanj_count_Kampanj 2 - F&G 2","sales_kampanj_convrate_Kampanj 2 - F&G 2","sales_kampanj_count_Kampanj 1 - bröd, industribakat, hamburger/korv, tortillas osv","sales_kampanj_convrate_Kampanj 1 - bröd, industribakat, hamburger/korv, tortillas osv","sales_kampanj_count_Kampanj 2 -  om vi inte har två, kör vi Garant hamburgerbröd Brioche ord.pris/ABP?","sales_kampanj_convrate_Kampanj 2 -  om vi inte har två, kör vi Garant hamburgerbröd Brioche ord.pris/ABP?","sales_kampanj_count_Kampanj 1 - frallor, bullar, baguette, bake off bröd - om ej kampanj multipris","sales_kampanj_convrate_Kampanj 1 - frallor, bullar, baguette, bake off bröd - om ej kampanj multipris","sales_kampanj_count_Kampanj 2 - om ej två kampanjer, multi ABP","sales_kampanj_convrate_Kampanj 2 - om ej två kampanjer, multi ABP","sales_kampanj_count_Kampanj 1 - bladet eller skagen","sales_kampanj_convrate_Kampanj 1 - bladet eller skagen","sales_kampanj_count_Kampanj 1 - Triangeln, Mölnlycke, Dala-Järna","sales_kampanj_convrate_Kampanj 1 - Triangeln, Mölnlycke, Dala-Järna","sales_kampanj_count_Kampanj 1 Frys","sales_kampanj_convrate_Kampanj 1 Frys","sales_kampanj_count_Kampanj 1 Mejeri","sales_kampanj_convrate_Kampanj 1 Mejeri","sales_kampanj_count_Kampanj 2 Mejeri","sales_kampanj_convrate_Kampanj 2 Mejeri","sales_kampanj_count_Kampanj 3 – Bomben","sales_kampanj_convrate_Kampanj 3 – Bomben","sales_kampanj_count_ABP","sales_kampanj_convrate_ABP","sales_kampanj_count_Kampanj 1 - dryck","sales_kampanj_convrate_Kampanj 1 - dryck","sales_kampanj_count_Kampanj 2 - Snacks, choklad, ABP om det finns","sales_kampanj_convrate_Kampanj 2 - Snacks, choklad, ABP om det finns","sales_skylttyp_count_TOTAL","sales_skylttyp_convrate_TOTAL","sales_skylttyp_count_klubbvara","sales_skylttyp_convrate_klubbvara","sales_skylttyp_count_kampanjvara","sales_skylttyp_convrate_kampanjvara","sales_skylttyp_count_veckans klipp","sales_skylttyp_convrate_veckans klipp","sales_skylttyp_count_alltid bra pris","sales_skylttyp_convrate_alltid bra pris","sales_skylttyp_count_klubbpris","sales_skylttyp_convrate_klubbpris","sales_skylttyp_count_ordinarie","sales_skylttyp_convrate_ordinarie"
"HEMKÖP UPPSALA VÄSTERTORG",202234,2022-08-28,1009,353,0.349851337958375,73,0.0723488602576809,156,0.154608523290387,14,0.0138751238850347,27,0.0267591674925669,0,0,0,0,13,0.0128840436075322,38,0.0376610505450942,0,0,6,0.00594648166501487,26,0.0257680872150644,295,0.292368681863231,73,0.0723488602576809,98,0.0971258671952428,14,0.0138751238850347,0,0,27,0.0267591674925669,0,0,0,0,0,0,13,0.0128840436075322,36,0.0356788899900892,2,0.00198216055500496,0,0,6,0.00594648166501487,8,0.00792864222001982,18,0.0178394449950446,295,0.292368681863231,58,0.0574826560951437,166,0.164519326065411,0,0,33,0.0327056491575818,38,0.0376610505450942,0,0
"HEMKÖP UPPSALA VÄSTERTORG",202234,2022-08-27,1075,594,0.552558139534884,182,0.169302325581395,164,0.152558139534884,15,0.013953488372093,16,0.0148837209302326,0,0,0,0,12,0.0111627906976744,54,0.0502325581395349,102,0.0948837209302326,0,0,49,0.0455813953488372,522,0.485581395348837,182,0.169302325581395,92,0.0855813953488372,14,0.0130232558139535,1,0.000930232558139535,13,0.012093023255814,3,0.0027906976744186,0,0,0,0,12,0.0111627906976744,39,0.0362790697674419,15,0.013953488372093,102,0.0948837209302326,0,0,15,0.013953488372093,34,0.0316279069767442,522,0.485581395348837,72,0.0669767441860465,278,0.258604651162791,102,0.0948837209302326,13,0.012093023255814,57,0.0530232558139535,0,0
"HEMKÖP UPPSALA VÄSTERTORG",202234,2022-08-26,1338,931,0.695814648729447,311,0.232436472346786,192,0.143497757847534,44,0.0328849028400598,25,0.0186846038863976,0,0,0,0,11,0.00822122571001495,90,0.0672645739910314,196,0.146487294469357,7,0.00523168908819133,55,0.0411061285500747,838,0.626307922272048,311,0.232436472346786,99,0.0739910313901345,34,0.0254110612855007,10,0.00747384155455904,21,0.015695067264574,4,0.00298953662182362,0,0,0,0,11,0.00822122571001495,43,0.0321375186846039,47,0.0351270553064275,196,0.146487294469357,7,0.00523168908819133,9,0.00672645739910314,46,0.0343796711509716,838,0.626307922272048,93,0.0695067264573991,427,0.319133034379671,196,0.146487294469357,28,0.0209267563527653,94,0.070254110612855,0,0
"HEMKÖP UPPSALA VÄSTERTORG",202234,2022-08-25,1215,810,0.666666666666667,255,0.209876543209877,177,0.145679012345679,23,0.0189300411522634,27,0.0222222222222222,0,0,0,0,21,0.0172839506172839,105,0.0864197530864197,167,0.137448559670782,2,0.00164609053497942,33,0.0271604938271605,739,0.608230452674897,255,0.209876543209877,106,0.0872427983539095,21,0.0172839506172839,2,0.00164609053497942,25,0.0205761316872428,2,0.00164609053497942,0,0,0,0,21,0.0172839506172839,44,0.0362139917695473,61,0.0502057613168724,167,0.137448559670782,2,0.00164609053497942,12,0.00987654320987654,21,0.0172839506172839,739,0.608230452674897,71,0.0584362139917695,367,0.302057613168724,167,0.137448559670782,27,0.0222222222222222,107,0.0880658436213992,0,0
"HEMKÖP UPPSALA VÄSTERTORG",202234,2022-08-24,1234,660,0.53484602917342,193,0.156401944894652,182,0.147487844408428,26,0.0210696920583468,21,0.0170178282009724,0,0,0,0,16,0.0129659643435981,96,0.0777957860615883,109,0.0883306320907618,0,0,17,0.0137763371150729,593,0.480551053484603,193,0.156401944894652,115,0.093192868719611,21,0.0170178282009724,5,0.00405186385737439,18,0.0145867098865478,3,0.00243111831442464,0,0,0,0,16,0.0129659643435981,46,0.0372771474878444,50,0.0405186385737439,109,0.0883306320907618,0,0,5,0.00405186385737439,12,0.00972447325769854,593,0.480551053484603,67,0.0542949756888169,300,0.243111831442464,109,0.0883306320907618,18,0.0145867098865478,99,0.080226904376013,0,0
"HEMKÖP UPPSALA VÄSTERTORG",202234,2022-08-23,1295,782,0.603861003861004,225,0.173745173745174,207,0.15984555984556,30,0.0231660231660232,40,0.0308880308880309,0,0,0,0,28,0.0216216216216216,108,0.0833976833976834,123,0.094980694980695,3,0.00231660231660232,18,0.0138996138996139,699,0.53976833976834,225,0.173745173745174,124,0.0957528957528958,26,0.0200772200772201,4,0.00308880308880309,36,0.0277992277992278,4,0.00308880308880309,0,0,0,0,28,0.0216216216216216,55,0.0424710424710425,53,0.0409266409266409,123,0.094980694980695,3,0.00231660231660232,6,0.00463320463320463,12,0.00926640926640927,699,0.53976833976834,83,0.0640926640926641,342,0.264092664092664,123,0.094980694980695,39,0.0301158301158301,112,0.0864864864864865,0,0
"HEMKÖP UPPSALA VÄSTERTORG",202234,2022-08-22,1273,869,0.682639434406913,295,0.231736056559309,213,0.167321288295365,30,0.02356637863315,18,0.01413982717989,0,0,0,0,18,0.01413982717989,95,0.0746268656716418,181,0.142183817753339,0,0,19,0.0149253731343284,776,0.609583660644148,295,0.231736056559309,120,0.0942655145326002,18,0.01413982717989,12,0.00942655145326002,17,0.0133542812254517,1,0.000785545954438335,0,0,0,0,18,0.01413982717989,55,0.0432050274941084,40,0.0314218381775334,181,0.142183817753339,0,0,9,0.00706991358994501,10,0.00785545954438335,776,0.609583660644148,93,0.0730557737627651,389,0.305577376276512,181,0.142183817753339,17,0.0133542812254517,96,0.0754124116260801,0,0
"HEMKÖP UPPSALA VÄSTERTORG",202233,2022-08-21,1089,93,0.0853994490358127,13,0.0119375573921028,22,0.0202020202020202,3,0.00275482093663912,6,0.00550964187327824,0,0,0,0,2,0.00183654729109275,14,0.0128558310376492,5,0.00459136822773186,4,0.00367309458218549,24,0.0220385674931129,89,0.0817263544536272,13,0.0119375573921028,18,0.0165289256198347,3,0.00275482093663912,0,0,5,0.00459136822773186,1,0.000918273645546373,0,0,0,0,2,0.00183654729109275,8,0.00734618916437098,6,0.00550964187327824,5,0.00459136822773186,4,0.00367309458218549,8,0.00734618916437098,16,0.014692378328742,89,0.0817263544536272,4,0.00367309458218549,56,0.0514233241505969,5,0.00459136822773186,9,0.00826446280991736,15,0.0137741046831956,0,0
"HEMKÖP UPPSALA VÄSTERTORG",202233,2022-08-20,1063,127,0.119473189087488,15,0.0141110065851364,17,0.0159924741298213,4,0.00376293508936971,28,0.026340545625588,0,0,0,0,0,0,8,0.00752587017873942,6,0.00564440263405456,2,0.00188146754468485,47,0.0442144873000941,122,0.114769520225776,15,0.0141110065851364,12,0.0112888052681091,3,0.00282220131702728,1,0.000940733772342427,27,0.0253998118532455,1,0.000940733772342427,0,0,0,0,0,0,4,0.00376293508936971,4,0.00376293508936971,6,0.00564440263405456,2,0.00188146754468485,9,0.00846660395108184,38,0.0357478833490122,122,0.114769520225776,5,0.00470366886171214,73,0.0686735653809972,6,0.00564440263405456,29,0.0272812793979304,9,0.00846660395108184,0,0
"HEMKÖP UPPSALA VÄSTERTORG",202233,2022-08-19,1349,112,0.0830244625648629,10,0.00741289844329133,7,0.00518902891030393,6,0.0044477390659748,22,0.0163083765752409,0,0,0,0,3,0.0022238695329874,9,0.00667160859896219,6,0.0044477390659748,0,0,49,0.0363232023721275,111,0.0822831727205337,10,0.00741289844329133,6,0.0044477390659748,6,0.0044477390659748,0,0,20,0.0148257968865827,2,0.00148257968865827,0,0,0,0,3,0.0022238695329874,5,0.00370644922164566,4,0.00296515937731653,6,0.0044477390659748,0,0,11,0.00815418828762046,38,0.028169014084507,111,0.0822831727205337,1,0.000741289844329133,73,0.0541141586360267,6,0.0044477390659748,20,0.0148257968865827,11,0.00815418828762046,0,0
