"butik","vecka","datum","antal_kvitton","sales_zoner_count_TOTAL","sales_zoner_frac_TOTAL","sales_zoner_count_Inkastare/entré","sales_zoner_frac_Inkastare/entré","sales_zoner_count_F&G","sales_zoner_frac_F&G","sales_zoner_count_Bröd","sales_zoner_frac_Bröd","sales_zoner_count_Bake off","sales_zoner_frac_Bake off","sales_zoner_count_Fisk","sales_zoner_frac_Fisk","sales_zoner_count_Deli","sales_zoner_frac_Deli","sales_zoner_count_Frys","sales_zoner_frac_Frys","sales_zoner_count_Mejeri","sales_zoner_frac_Mejeri","sales_zoner_count_Gavel 1","sales_zoner_frac_Gavel 1","sales_zoner_count_Gavel 2","sales_zoner_frac_Gavel 2","sales_zoner_count_Gavel 3","sales_zoner_frac_Gavel 3","sales_kampanj_count_TOTAL","sales_kampanj_frac_TOTAL","sales_kampanj_count_Kampanj 1 - F&G 1","sales_kampanj_frac_Kampanj 1 - F&G 1","sales_kampanj_count_Kampanj 2 - Hero protein","sales_kampanj_frac_Kampanj 2 - Hero protein","sales_kampanj_count_Kampanj 3 - Bomben","sales_kampanj_frac_Kampanj 3 - Bomben","sales_kampanj_count_Kampanj 2 - F&G 2","sales_kampanj_frac_Kampanj 2 - F&G 2","sales_kampanj_count_Kampanj 1 - bröd, industribakat, hamburger/korv, tortillas osv","sales_kampanj_frac_Kampanj 1 - bröd, industribakat, hamburger/korv, tortillas osv","sales_kampanj_count_Kampanj 2 -  om vi inte har två, kör vi Garant hamburgerbröd Brioche ord.pris/ABP?","sales_kampanj_frac_Kampanj 2 -  om vi inte har två, kör vi Garant hamburgerbröd Brioche ord.pris/ABP?","sales_kampanj_count_Kampanj 1 - frallor, bullar, baguette, bake off bröd - om ej kampanj multipris","sales_kampanj_frac_Kampanj 1 - frallor, bullar, baguette, bake off bröd - om ej kampanj multipris","sales_kampanj_count_Kampanj 2 - om ej två kampanjer, multi eller ordinarie","sales_kampanj_frac_Kampanj 2 - om ej två kampanjer, multi eller ordinarie","sales_kampanj_count_Kampanj 1 - bladet eller Lax","sales_kampanj_frac_Kampanj 1 - bladet eller Lax","sales_kampanj_count_Mölnlycke","sales_kampanj_frac_Mölnlycke","sales_kampanj_count_Triangeln","sales_kampanj_frac_Triangeln","sales_kampanj_count_Trianglen","sales_kampanj_frac_Trianglen","sales_kampanj_count_Kampanj 1","sales_kampanj_frac_Kampanj 1","sales_kampanj_count_Kampanj 2","sales_kampanj_frac_Kampanj 2","sales_kampanj_count_ABP_3_för_25","sales_kampanj_frac_ABP_3_för_25","sales_kampanj_count_ABP_2_för_28","sales_kampanj_frac_ABP_2_för_28","sales_kampanj_count_Kampanj 1 - snacks","sales_kampanj_frac_Kampanj 1 - snacks","sales_kampanj_count_Kampanj 2 - Snacks, choklad, ABP om det finns","sales_kampanj_frac_Kampanj 2 - Snacks, choklad, ABP om det finns","sales_skylttyp_count_TOTAL","sales_skylttyp_frac_TOTAL","sales_skylttyp_count_Kampanjvara","sales_skylttyp_frac_Kampanjvara","sales_skylttyp_count_Klubbpris","sales_skylttyp_frac_Klubbpris","sales_skylttyp_count_veckans klipp","sales_skylttyp_frac_veckans klipp","sales_skylttyp_count_klubbpris","sales_skylttyp_frac_klubbpris","sales_skylttyp_count_kampanjvara","sales_skylttyp_frac_kampanjvara","sales_skylttyp_count_ABP","sales_skylttyp_frac_ABP","sales_skylttyp_count_Ordinarie","sales_skylttyp_frac_Ordinarie","sales_skylttyp_count_Deli","sales_skylttyp_frac_Deli","sales_skylttyp_count_alltid bra pris","sales_skylttyp_frac_alltid bra pris"
"HEMKÖP UPPSALA VÄSTERTORG",202235,2022-09-04,1125,548,0.487111111111111,40,0.0355555555555556,89,0.0791111111111111,16,0.0142222222222222,240,0.213333333333333,0,0,11,0.00977777777777778,9,0.008,46,0.0408888888888889,34,0.0302222222222222,2,0.00177777777777778,61,0.0542222222222222,548,0.487111111111111,0,0,0,0,40,0.0355555555555556,89,0.0791111111111111,3,0.00266666666666667,13,0.0115555555555556,228,0.202666666666667,12,0.0106666666666667,0,0,11,0.00977777777777778,0,0,0,0,19,0.0168888888888889,36,0.032,34,0.0302222222222222,2,0.00177777777777778,5,0.00444444444444444,56,0.0497777777777778,548,0.487111111111111,97,0.0862222222222222,0,0,40,0.0355555555555556,78,0.0693333333333333,274,0.243555555555556,12,0.0106666666666667,0,0,11,0.00977777777777778,36,0.032
"HEMKÖP UPPSALA VÄSTERTORG",202235,2022-09-03,1119,621.066,0.555018766756032,53.066,0.0474226988382484,97,0.0866845397676497,17,0.0151921358355675,287,0.256478999106345,0,0,9,0.00804289544235925,15,0.0134048257372654,31,0.0277033065236819,30,0.0268096514745308,0,0,82,0.0732797140303843,599.066,0.53535835567471,22,0.0196604110813226,5.066,0.00452725647899911,26,0.0232350312779267,75,0.0670241286863271,3,0.00268096514745308,14,0.0125111706881144,274,0.244861483467382,13,0.0116175156389634,0,0,9,0.00804289544235925,0,0,0,0,28,0.0250223413762288,18,0.0160857908847185,30,0.0268096514745308,0,0,17,0.0151921358355675,65,0.0580875781948168,599.066,0.53535835567471,117,0.10455764075067,5.066,0.00452725647899911,26,0.0232350312779267,94,0.0840035746201966,305,0.272564789991063,13,0.0116175156389634,0,0,9,0.00804289544235925,30,0.0268096514745308
"HEMKÖP UPPSALA VÄSTERTORG",202235,2022-09-02,1350,743.392,0.550660740740741,81.392,0.0602903703703704,133,0.0985185185185185,26,0.0192592592592593,355,0.262962962962963,0,0,8,0.00592592592592593,16,0.0118518518518519,23,0.017037037037037,12,0.00888888888888889,1,0.000740740740740741,88,0.0651851851851852,691.392,0.512142222222222,52,0.0385185185185185,12.392,0.00917925925925926,17,0.0125925925925926,81,0.06,2,0.00148148148148148,24,0.0177777777777778,353,0.261481481481481,2,0.00148148148148148,0,0,8,0.00592592592592593,0,0,0,0,29,0.0214814814814815,10,0.00740740740740741,12,0.00888888888888889,1,0.000740740740740741,27,0.02,61,0.0451851851851852,691.392,0.512142222222222,162,0.12,12.392,0.00917925925925926,17,0.0125925925925926,101,0.0748148148148148,376,0.278518518518518,2,0.00148148148148148,0,0,8,0.00592592592592593,13,0.00962962962962963
"HEMKÖP UPPSALA VÄSTERTORG",202235,2022-09-01,1223,724.359,0.592280457890433,119.359,0.0975952575633688,94,0.0768601798855274,22,0.017988552739166,353,0.2886345053148,0,0,6,0.00490596892886345,17,0.0139002452984464,34,0.0278004905968929,17,0.0139002452984464,5,0.00408830744071954,57,0.0466067048242028,677.359,0.55385036794767,47,0.0384300899427637,7.359,0.00601717089125102,65,0.053147996729354,47,0.0384300899427637,4,0.00327064595257563,18,0.0147179067865904,335,0.273916598528209,18,0.0147179067865904,0,0,6,0.00490596892886345,0,0,0,0,35,0.0286181520850368,16,0.0130825838103025,17,0.0139002452984464,5,0.00408830744071954,8,0.00654129190515127,49,0.0400654129190515,677.359,0.55385036794767,106,0.0866721177432543,7.359,0.00601717089125102,65,0.053147996729354,84,0.0686835650040883,369,0.301717089125102,18,0.0147179067865904,0,0,6,0.00490596892886345,22,0.017988552739166
"HEMKÖP UPPSALA VÄSTERTORG",202235,2022-08-31,1250,710.301,0.5682408,86.301,0.0690408,127,0.1016,16,0.0128,331,0.2648,0,0,4,0.0032,23,0.0184,57,0.0456,14,0.0112,7,0.0056,45,0.036,675.301,0.5402408,35,0.028,4.301,0.0034408,47,0.0376,92,0.0736,2,0.0016,14,0.0112,320,0.256,11,0.0088,0,0,4,0.0032,0,0,0,0,58,0.0464,22,0.0176,14,0.0112,7,0.0056,7,0.0056,38,0.0304,675.301,0.5402408,136,0.1088,4.301,0.0034408,47,0.0376,75,0.06,377,0.3016,11,0.0088,0,0,4,0.0032,21,0.0168
"HEMKÖP UPPSALA VÄSTERTORG",202235,2022-08-30,1240,833.062,0.671824193548387,162.062,0.130695161290323,133,0.107258064516129,23,0.0185483870967742,342,0.275806451612903,0,0,9,0.00725806451612903,19,0.0153225806451613,84,0.067741935483871,15,0.0120967741935484,2,0.00161290322580645,44,0.0354838709677419,790.062,0.637146774193548,43,0.0346774193548387,4.062,0.0032758064516129,115,0.092741935483871,90,0.0725806451612903,4,0.0032258064516129,19,0.0153225806451613,331,0.266935483870968,11,0.00887096774193548,0,0,9,0.00725806451612903,0,0,0,0,71,0.057258064516129,32,0.0258064516129032,15,0.0120967741935484,2,0.00161290322580645,5,0.00403225806451613,39,0.0314516129032258,790.062,0.637146774193548,142,0.114516129032258,4.062,0.0032758064516129,115,0.092741935483871,77,0.0620967741935484,415,0.334677419354839,11,0.00887096774193548,0,0,9,0.00725806451612903,17,0.0137096774193548
"HEMKÖP UPPSALA VÄSTERTORG",202235,2022-08-29,1374,870.314,0.633416302765648,242.314,0.176356622998544,157,0.114264919941776,16,0.0116448326055313,295,0.214701601164483,0,0,8,0.00582241630276565,30,0.0218340611353712,38,0.0276564774381368,17,0.012372634643377,7,0.00509461426491994,60,0.0436681222707424,800.314,0.582470160116448,70,0.0509461426491994,4.314,0.00313973799126638,168,0.122270742358079,87,0.0633187772925764,2,0.00145560407569141,14,0.0101892285298399,279,0.203056768558952,16,0.0116448326055313,0,0,8,0.00582241630276565,0,0,0,0,41,0.0298398835516739,27,0.0196506550218341,17,0.012372634643377,7,0.00509461426491994,7,0.00509461426491994,53,0.0385735080058224,800.314,0.582470160116448,166,0.120815138282387,4.314,0.00313973799126638,168,0.122270742358079,97,0.0705967976710335,317,0.230713245997089,16,0.0116448326055313,0,0,8,0.00582241630276565,24,0.0174672489082969
"HEMKÖP UPPSALA VÄSTERTORG",202233,2022-08-21,1089,108,0.0991735537190083,4,0.00367309458218549,22,0.0202020202020202,5,0.00459136822773186,36,0.0330578512396694,0,0,4,0.00367309458218549,0,0,5,0.00459136822773186,6,0.00550964187327824,4,0.00367309458218549,22,0.0202020202020202,104,0.0955004591368228,4,0.00367309458218549,0,0,0,0,18,0.0165289256198347,3,0.00275482093663912,2,0.00183654729109275,33,0.0303030303030303,3,0.00275482093663912,0,0,4,0.00367309458218549,0,0,0,0,2,0.00183654729109275,3,0.00275482093663912,6,0.00550964187327824,4,0.00367309458218549,8,0.00734618916437098,14,0.0128558310376492,104,0.0955004591368228,33,0.0303030303030303,0,0,0,0,16,0.014692378328742,38,0.0348943985307622,3,0.00275482093663912,0,0,4,0.00367309458218549,10,0.00918273645546373
"HEMKÖP UPPSALA VÄSTERTORG",202233,2022-08-20,1063,125.128,0.117712135465663,3.128,0.00294261523988711,12,0.0112888052681091,2,0.00188146754468485,38,0.0357478833490122,0,0,4,0.00376293508936971,2,0.00188146754468485,6,0.00564440263405456,8,0.00752587017873942,2,0.00188146754468485,48,0.0451552210724365,123.128,0.115830667920978,2,0.00188146754468485,1.128,0.00106114769520226,0,0,10,0.00940733772342427,1,0.000940733772342427,1,0.000940733772342427,30,0.0282220131702728,8,0.00752587017873942,0,0,4,0.00376293508936971,0,0,0,0,4,0.00376293508936971,4,0.00376293508936971,8,0.00752587017873942,2,0.00188146754468485,11,0.0103480714957667,37,0.0348071495766698,123.128,0.115830667920978,24,0.0225776105362183,1.128,0.00106114769520226,0,0,40,0.0376293508936971,36,0.0338664158043274,8,0.00752587017873942,0,0,4,0.00376293508936971,10,0.00940733772342427
"HEMKÖP UPPSALA VÄSTERTORG",202233,2022-08-19,1349,113.141,0.0838702742772424,5.141,0.00381097108969607,19,0.0140845070422535,5,0.00370644922164566,28,0.0207561156412157,0,0,3,0.0022238695329874,0,0,9,0.00667160859896219,11,0.00815418828762046,0,0,33,0.0244625648628614,110.141,0.081646404744255,3,0.0022238695329874,2.141,0.00158710155670867,0,0,16,0.0118606375092661,1,0.000741289844329133,4,0.00296515937731653,24,0.0177909562638992,4,0.00296515937731653,0,0,3,0.0022238695329874,0,0,0,0,3,0.0022238695329874,6,0.0044477390659748,11,0.00815418828762046,0,0,17,0.0126019273535953,16,0.0118606375092661,110.141,0.081646404744255,37,0.0274277242401779,2.141,0.00158710155670867,0,0,20,0.0148257968865827,33,0.0244625648628614,4,0.00296515937731653,0,0,3,0.0022238695329874,11,0.00815418828762046
