"butik","vecka","datum","antal_kvitton","sales_zoner_count_TOTAL","sales_zoner_convrate_TOTAL","sales_zoner_count_Inkastare/entré","sales_zoner_convrate_Inkastare/entré","sales_zoner_count_F&G","sales_zoner_convrate_F&G","sales_zoner_count_Bröd","sales_zoner_convrate_Bröd","sales_zoner_count_Bake off","sales_zoner_convrate_Bake off","sales_zoner_count_Deli","sales_zoner_convrate_Deli","sales_zoner_count_Frys","sales_zoner_convrate_Frys","sales_zoner_count_Mejeri","sales_zoner_convrate_Mejeri","sales_zoner_count_Gavel 3","sales_zoner_convrate_Gavel 3","sales_kampanj_count_TOTAL","sales_kampanj_convrate_TOTAL","sales_kampanj_count_Kampanj 1 - F&G 1","sales_kampanj_convrate_Kampanj 1 - F&G 1","sales_kampanj_count_Kampanj 2 - Hero protein","sales_kampanj_convrate_Kampanj 2 - Hero protein","sales_kampanj_count_Kampanj 3 - Bomben","sales_kampanj_convrate_Kampanj 3 - Bomben","sales_kampanj_count_Kampanj 2 - F&G 2","sales_kampanj_convrate_Kampanj 2 - F&G 2","sales_kampanj_count_Kampanj 1 - bröd, industribakat, hamburger/korv, tortillas osv","sales_kampanj_convrate_Kampanj 1 - bröd, industribakat, hamburger/korv, tortillas osv","sales_kampanj_count_Kampanj 2 -  om vi inte har två, kör vi Garant hamburgerbröd Brioche ord.pris/ABP?","sales_kampanj_convrate_Kampanj 2 -  om vi inte har två, kör vi Garant hamburgerbröd Brioche ord.pris/ABP?","sales_kampanj_count_Kampanj 1 - frallor, bullar, baguette, bake off bröd - om ej kampanj multipris","sales_kampanj_convrate_Kampanj 1 - frallor, bullar, baguette, bake off bröd - om ej kampanj multipris","sales_kampanj_count_Kampanj 2 - om ej två kampanjer, multi eller ordinarie","sales_kampanj_convrate_Kampanj 2 - om ej två kampanjer, multi eller ordinarie","sales_kampanj_count_Kampanj 1 - bladet eller Lax","sales_kampanj_convrate_Kampanj 1 - bladet eller Lax","sales_kampanj_count_kampanjDeli","sales_kampanj_convrate_kampanjDeli","sales_kampanj_count_Kampanj 1","sales_kampanj_convrate_Kampanj 1","sales_kampanj_count_Kampanj 2","sales_kampanj_convrate_Kampanj 2","sales_kampanj_count_Kampanj 2 - Snacks, choklad, ABP om det finns","sales_kampanj_convrate_Kampanj 2 - Snacks, choklad, ABP om det finns","sales_skylttyp_count_TOTAL","sales_skylttyp_convrate_TOTAL","sales_skylttyp_count_klubbpris","sales_skylttyp_convrate_klubbpris","sales_skylttyp_count_Kampanjvara","sales_skylttyp_convrate_Kampanjvara","sales_skylttyp_count_veckans klipp","sales_skylttyp_convrate_veckans klipp","sales_skylttyp_count_kampanjvara","sales_skylttyp_convrate_kampanjvara","sales_skylttyp_count_alltid bra pris","sales_skylttyp_convrate_alltid bra pris"
"HEMKÖP UPPSALA VÄSTERTORG",202237,2022-09-18,1074,343.245,0.319594972067039,164,0.152700186219739,66.245,0.0616806331471136,14,0.0130353817504655,35,0.0325884543761639,4,0.0037243947858473,2,0.00186219739292365,47,0.0437616387337058,11,0.0102420856610801,304.245,0.283282122905028,39,0.0363128491620112,0,0,125,0.116387337057728,27.245,0.0253677839851024,11,0.0102420856610801,3,0.00279329608938547,29,0.0270018621973929,6,0.00558659217877095,0,0,4,0.0037243947858473,33,0.0307262569832402,16,0.0148975791433892,11,0.0102420856610801,304.245,0.283282122905028,110,0.102420856610801,0,0,125,0.116387337057728,63.245,0.0588873370577281,6,0.00558659217877095
"HEMKÖP UPPSALA VÄSTERTORG",202237,2022-09-17,1092,360.541,0.330165750915751,112.076,0.1026336996337,57.465,0.0526236263736264,12,0.010989010989011,49,0.0448717948717949,13,0.0119047619047619,8,0.00732600732600733,82,0.0750915750915751,27,0.0247252747252747,334.541,0.306356227106227,26,0.0238095238095238,2.076,0.0019010989010989,84,0.0769230769230769,31.465,0.0288141025641026,7,0.00641025641025641,5,0.00457875457875458,39,0.0357142857142857,10,0.00915750915750916,0,0,13,0.0119047619047619,32,0.0293040293040293,58,0.0531135531135531,27,0.0247252747252747,334.541,0.306356227106227,116,0.106227106227106,2.076,0.0019010989010989,84,0.0769230769230769,122.465,0.112147435897436,10,0.00915750915750916
"HEMKÖP UPPSALA VÄSTERTORG",202237,2022-09-16,1279,281.215,0.219870992963253,45.065,0.0352345582486317,60.15,0.0470289288506646,23,0.017982799061767,43,0.0336200156372166,11,0.00860046911649726,4,0.00312744331508991,68,0.0531665363565285,27,0.0211102423768569,250.215,0.195633307271306,31,0.0242376856919468,7.065,0.00552384675527756,7,0.00547302580140735,29.15,0.0227912431587177,15,0.0117279124315872,8,0.00625488663017983,33,0.0258014073494918,10,0.00781860828772478,0,0,11,0.00860046911649726,33,0.0258014073494918,39,0.0304925723221267,27,0.0211102423768569,250.215,0.195633307271306,120,0.0938232994526974,7.065,0.00552384675527756,7,0.00547302580140735,106.15,0.0829945269741986,10,0.00781860828772478
"HEMKÖP UPPSALA VÄSTERTORG",202237,2022-09-15,1176,379.95,0.323086734693878,159,0.135204081632653,43.95,0.0373724489795918,21,0.0178571428571429,62,0.0527210884353742,8,0.00680272108843537,9,0.0076530612244898,70,0.0595238095238095,7,0.00595238095238095,357.95,0.30437925170068,22,0.0187074829931973,0,0,137,0.116496598639456,21.95,0.0186649659863946,17,0.0144557823129252,4,0.00340136054421769,47,0.0399659863945578,15,0.0127551020408163,0,0,8,0.00680272108843537,49,0.0416666666666667,30,0.0255102040816327,7,0.00595238095238095,357.95,0.30437925170068,116,0.0986394557823129,0,0,137,0.116496598639456,89.95,0.0764880952380952,15,0.0127551020408163
"HEMKÖP UPPSALA VÄSTERTORG",202237,2022-09-14,1213,471.395,0.388619126133553,164,0.13520197856554,38.395,0.0316529266281946,35,0.0288540807914262,81,0.0667765869744435,13,0.010717230008244,3,0.00247320692497939,121,0.0997526793075021,16,0.0131904369332234,455.395,0.37542868920033,16,0.0131904369332234,0,0,148,0.122011541632317,22.395,0.0184624896949711,26,0.021434460016488,9,0.00741962077493817,64,0.0527617477328937,17,0.0140148392415499,0,0,13,0.010717230008244,75,0.0618301731244848,49,0.0403957131079967,16,0.0131904369332234,455.395,0.37542868920033,168,0.138499587798846,0,0,148,0.122011541632317,122.395,0.100902720527617,17,0.0140148392415499
"HEMKÖP UPPSALA VÄSTERTORG",202237,2022-09-13,1089,461.155,0.423466483011938,190.555,0.174981634527089,44.6,0.0409550045913682,34,0.0312213039485767,50,0.0459136822773186,7,0.00642791551882461,6,0.00550964187327824,108,0.0991735537190083,21,0.0192837465564738,438.155,0.402346189164371,23,0.0211202938475666,3.555,0.00326446280991736,164,0.150596877869605,21.6,0.0198347107438017,22,0.0202020202020202,12,0.0110192837465565,37,0.0339761248852158,12,0.0110192837465565,1,0.000918273645546373,7,0.00642791551882461,39,0.0358126721763085,75,0.068870523415978,21,0.0192837465564738,438.155,0.402346189164371,114,0.104683195592287,3.555,0.00326446280991736,164,0.150596877869605,144.6,0.132782369146005,12,0.0110192837465565
"HEMKÖP UPPSALA VÄSTERTORG",202237,2022-09-12,1229,489.862,0.398585842148088,215.172,0.175078925956062,59.69,0.0485679414157852,22,0.0179007323026851,57,0.0463791700569569,7,0.00569568755085435,9,0.00732302685109845,99,0.080553295362083,21,0.0170870626525631,454.862,0.370107404393816,35,0.0284784377542718,8.172,0.0066493083807974,172,0.139951179820993,24.69,0.0200895036615134,21,0.0170870626525631,1,0.00081366965012205,42,0.0341741253051261,12,0.00976403580146461,3,0.00244100895036615,7,0.00569568755085435,45,0.0366151342554923,63,0.0512611879576892,21,0.0170870626525631,454.862,0.370107404393816,134,0.109031733116355,8.172,0.0066493083807974,172,0.139951179820993,128.69,0.104711147274207,12,0.00976403580146461
"HEMKÖP UPPSALA VÄSTERTORG",202233,2022-08-21,1089,51.305,0.0471120293847567,2,0.00183654729109275,13.305,0.0122176308539945,9,0.00826446280991736,10,0.00918273645546373,0,0,1,0.000918273645546373,15,0.0137741046831956,1,0.000918273645546373,49.305,0.0452754820936639,2,0.00183654729109275,0,0,0,0,11.305,0.0103810835629017,7,0.00642791551882461,2,0.00183654729109275,0,0,10,0.00918273645546373,0,0,0,0,8,0.00734618916437098,8,0.00734618916437098,1,0.000918273645546373,49.305,0.0452754820936639,10,0.00918273645546373,0,0,0,0,29.305,0.0269100091827365,10,0.00918273645546373
"HEMKÖP UPPSALA VÄSTERTORG",202233,2022-08-20,1063,43.94,0.0413358419567262,0,0,15.94,0.0149952963311383,5,0.00470366886171214,6,0.00564440263405456,0,0,1,0.000940733772342427,15,0.0141110065851364,1,0.000940733772342427,43.94,0.0413358419567262,0,0,0,0,0,0,15.94,0.0149952963311383,2,0.00188146754468485,3,0.00282220131702728,0,0,6,0.00564440263405456,0,0,0,0,12,0.0112888052681091,4,0.00376293508936971,1,0.000940733772342427,43.94,0.0413358419567262,12,0.0112888052681091,0,0,0,0,25.94,0.0244026340545626,6,0.00564440263405456
"HEMKÖP UPPSALA VÄSTERTORG",202233,2022-08-19,1349,45.655,0.0338435878428466,1,0.000741289844329133,15.655,0.0116048925129726,4,0.00296515937731653,13,0.00963676797627873,0,0,3,0.0022238695329874,5,0.00370644922164566,4,0.00296515937731653,44.655,0.0331022979985174,1,0.000741289844329133,0,0,0,0,14.655,0.0108636026686434,2,0.00148257968865827,2,0.00148257968865827,5,0.00370644922164566,8,0.00593031875463306,0,0,0,0,3,0.0022238695329874,5,0.00370644922164566,4,0.00296515937731653,44.655,0.0331022979985174,10,0.00741289844329133,0,0,0,0,26.655,0.019759080800593,8,0.00593031875463306
